feature,importance_mean,importance_std
learning_style_Auditory,4.080953076481819e-05,0.0006814515036411827
learning_style_Auditory Kinesthetic,0.0,0.0
learning_style_Kinesthetic,0.0002990971319377422,0.0011757693805444626
learning_style_Kinesthetic Auditory,5.116686224937439e-06,0.00016898091420625982
learning_style_Kinesthetic Kinesthetic,0.0,0.0
learning_style_Read/Write,0.000835998635739088,0.0005135427685026434
learning_style_Read/Write Auditory,0.0,0.0
learning_style_Read/Write Kinesthetic,0.0,0.0
learning_style_Read/Write Visual,0.0,0.0
learning_style_Visual,-0.0001691085286438465,0.0006668111940583033
learning_style_Visual Auditory,0.00023208297789096833,4.8526914579693245e-05
learning_style_Visual Kinesthetic,0.0,0.0
learning_style_Visual Read/Write,0.0,0.0
previous courses_African American Music Survey of Interdisc Health Undergraduate Open Seminar,0.0,0.0
previous courses_Algebra Sea Power and Maritime Affairs Intermediate Scandinavian II Medicinal Plants and Herbology Economic Statistics I ACES Study Abroad Global Supply Chain Management Strategic Interntl Relations Actuarial Problem Solving Advanced Bassoon Undergraduate Capstone Seminar Advanced Jazz Trumpet Illinois Modern Ensemble Second Lang Acq and; Bilingualism Engineering Advanced Seminar Graduate Level Voice Advanced Health Finance Pediatrics Sub-Internship Adv Companion Animal Nutrition Employee Motivation and; Perfmnce Graduate Level Euphonium Dietary Prevention of Cardiovascular and Other Chronic Diseases Career Boot Camp Control System Theory and; Design Special Topics in Physics Synthesis and; Summary,0.0,0.0
previous courses_Bioscience of Human Movement Leadership Laboratory Elementary Mathematics Social Sci of Human Movement Dancing Techniques I URAP Research Apprenticeship Economic Statistics II Cooperative Education Practice Analog Signal Processing School and; Community Experiences Special Topics in Game Studies and; Design Jazz Improv:Theory and Prac II Heat Transfer Dancing Black Popular Culture,-0.0005446741357445717,8.513692906935477e-05
previous courses_Bioscience of Human Movement Visualization Drawing Oboe American Sign Language II Elementary Modern Greek II Calculus III Introduction to Global Markets and Society Tourism and Culture Natural Resource Economics Social Media Strategy Reading and Writing Data Advanced Euphonium Introduction to Romance Linguistics Game Theory Intermediate Dynamics Europe and the Mediterranean Introduction to Urology Dissertation Design Seminar Sem Spanish-American Lit Contemporary Issues in Vet Med Leadership Project Applied Financial Analysis Advanced Litigation Topics Russian for Grad Students II Seminar Media Themes,-5.318131297826767e-06,4.625416242384648e-05
previous courses_Broadway Musicals Introduction to American Literature Professional Field Experiences US History Since 1877 Undergraduate Open Seminar,0.0,0.0
previous courses_CHBE Profession Emergence of Life Farm Management Language History,0.0,0.0
"previous courses_Cello Intensive Elementary Spanish Issues in Sociology Adv Rhetoric and; Composition Elementary Organic Chemistry I Popular Cultures of Contemporary East Asia Functional Analysis and Design of Agricultural Machine Systems Introduction to Computer Systems Spacecraft Attitude Control Advanced Clarinet Psychiatry Consult and Liaison Sub-Internship Animal Sciences Seminar Advanced Professional Development for Chemists Writing Workshop in Fiction Interdisciplinary Tox Sem Trial Advocacy Atmospheric Sciences Seminar Enzyme Reaction Mechanisms Modern Architectural History, 1850-Present",0.0,0.0
previous courses_Cello Viola Engineering Graphics and; Design Harpsichord Special Topics in Japanese Aesthetic Practices Resident Internship Children's Movement Practicum III Evolution Control Systems Special Topics in Game Studies and; Design Introduction to Research Laboratory Studies in Materials Science and Engineering Intermediate Swahili II Directed Research in Digital History Programming for GIS Applied Parallel Programming Weather and Climate Data Analytics Small Animal Dermatology Applied Statistical Methods II Graduate Jazz Piano Graduate Jazz Voice Obstetrics and; Gynecology Clerkship Special Topics,0.0,0.0
"previous courses_Ceramics: Wheel Throwing Organ Special Topics in Japanese Aesthetic Practices Percussion Undergraduate Open Seminar Data Structures Wiring, Motors and Control Sys Dancing Techniques II Chicago: Planning and; Urban Life Resident Internship Landscape Construction Decision Making for Atg Junior Planning Workshop Laboratory Studies in Materials Science and Engineering Advanced Jazz Trombone Scenic Painting II Oral and; Maxillofacial Surgery II Medicine - Data Science Project (Longitudinal) Survey of Fundamental Device Physics",0.0,0.0
previous courses_Clarinet Spanish in the Professions Language and Culture in Turkey Elementary Organic Chemistry I Exp Techniqs in Molecular Biol Theory of Interest Design for Manufacturability Acting Studio II: Voice Professional Stage Management Undergraduate Group Seminar Infancy and; Early Childhood Elements of Syntax,0.0,0.0
"previous courses_Class Archaeology, Rome-Italy Music Theory and Practice II Introduction to Modern African Literature Wiring, Motors and Control Sys Accounting and Accountancy I Francophone Worlds Advanced Chinese II Tools for Sustainability Beginning Quechua II Teen Materials Physiological Basis of Strength and; Conditioning Stress Immunology Seminar Thesis Research Integrated Behavorial Health and; Health Care Computer Vision Biological Measurement II Adv Topics in Business Law Special Topics",0.0,0.0
previous courses_College Physics: Mech and; Heat Introduction to Energy Sources Theory of Arithmetic Undergraduate Open Seminar,0.0,0.0
previous courses_Contemporary Nutrition Undergraduate Open Seminar Introduction to Meteorology Little Bits to Big Ideas Elements of Conducting Seminar in Japanese Aesthetics Language and Culture in Turkey General Physical Climate,3.715557977557182e-05,7.126028148354244e-05
previous courses_Dance Activities Viewing Dance Trombone Introduction to Electronics Exploring Digital Info Technol Repertory Company Children's Movement System Programming Thesis Think Tank Social Psych in Society Lab Modeling App's Finan Plan Technqs Biochem and; Biotech Graduate Jazz Trumpet The Microbiome: Ecology and; Analysis Internship Advanced Practicum in Speech-Language Pathology,0.0,0.0
previous courses_Data Science Discovery String Instrument Class Practicum I Intermediate French II Exp Techniqs in Cellular Biol Environmental Data Science,0.0,0.0
"previous courses_Development Activities Saxophone Jazz Voice College Physics: Mech and; Heat Leadership Laboratory Voice and Movement II Yoga Practicum Eukaryotic Cell Biology Laboratory Internship in Agricultural Leadership, Education and Communications UG Experiential Learning Vector-borne Diseases Sedimentology and Stratigraphy Production Practicum IV",0.0,0.0
previous courses_Diversity in Advertising Undergraduate Open Seminar Environmental Economics Introduction to Mediated Communication Introduction to Cultural Analysis: French Identities Statistics Programming Methods IT for Networked Organizations,0.0,0.0
previous courses_Double Bass East Asian Civilizations Jazz Guitar Exploring Arts and Creativity Economic Systems in Africa Spanish Composition American Environmental History Singing in Musical Theatre Making Things Principles of Marketing Applied Aerospace Structures Junior Planning Workshop Bilingual/ESL Methods and; Materials Evolution of Infectious Disease Case Studies Global Heritage Physcs and; Modeling Semicond Dev Multimedia Storytelling Seminar in Anthropology,0.0,0.0
previous courses_Double Bass Engineering at Illinois Introduction to Advertising Early African American Literature and Culture Biological Anthropology Creative and Information Economies Business Study Abroad Pedagogy and Teaching Physics for Learning Assistants Heat Transfer Teachers as Researchers Fict and; Historical Imagination Child Development and; Technology Biomedical Instrumentation Community Planning and Engagement Numerical Analysis Applied Complex Variables Macroeconomic Theory II Financial Innovation Animal Sciences Seminar Special Topics Zoological Companion Mammal Medicine Advanced Equine Lameness Applied LiteraryTranslation II Approaches to Language Diagnostics and Clinical Reasoning Topics in GWS,0.0,0.0
