first_name,last_name,race_ethnicity,gender,international,socioeconomic status,learning_style,gpa,student semester,previous courses,course type,previous courses count,subjects in courses,unique subjects in courses,subjects of interest,subjects diversity,career aspirations,extracurricular activities,activities involvement count,future topics
f923b6cbd04868134417ea36fa6bbcd4fc5947701e0b3ef9ca5debdcf1def7c2,56ebb1175e0919b275e0a854101e631f5d785141eb4db8822946b6920440c445,Settler Colonizer,Male,Domestic,Lower,['Auditory'],4.0014383902472455,5.920381456158452,"[""Intro Gender and; Women's Studies"", 'Harp', 'Intro to Applied Statistics', 'Exploring the Greek and Roman World', 'Behavioral Neuroscience', 'Media Law in Historical Context', 'Computing in Astronomy', 'Fields and Waves II', 'Japan Lit in Translation I']","['Practice', 'Lecture-Discussion', 'Discussion/Recitation', 'Online Discussion', 'Lecture']",0.06431460452246765,"['CPSC', 'MUSC', 'ECE', 'CWL', 'SOC', 'JOUR', 'PSYC', 'CLCV', 'ASTR']",9,[],1,[],"['Linguistics Club', 'Biomedical Engineering Society']",2,"['Food Science and Human Nutrition', 'Microbiology', 'Atmospheric Sciences', 'History']"
04589f4322bc8b5ba148c544335c2bbe55b69854e66acdef375e1a5bbb09e5df,bdba8e4c01482da0ccc1b20aebd9cd09c802ca50cee5638a44bfb706376d9428,Settler Colonizer,Female,Domestic,Lower,['Visual'],3.552543365810843,3.969437140570748,"['Introduction to Astronomy', 'Bassoon', 'Science of Food Preparation', 'Fundamental Organic Chem I', 'Accelerated Chemistry II']","['Practice', 'Lecture', 'Online Lecture', 'Online']",0.01563281287329063,"['MUSC', 'FSHN', 'CHEM', 'ASTR']",4,[],2,[],"['Business Club', 'Near Eastern Languages and Cultures Club']",2,"['Labor and Employment Relations', 'Persian', 'Latina/Latino Studies']"
9e30ab47d4a7970fd6b62fd031e6410c40265195c9fce7509eb3250a6fc0b266,009d492f0f15654fb60a750b1ae49c4267070d2c1b2edf9a3ab54db71be7cad8,Settler Colonizer,Female,Domestic,Lower,['Read/Write'],2.9319390156842093,5.957740724121769,"['Undergraduate Open Seminar', 'Stress Management', 'Emergence of Life', 'Computer-Aided Design', 'Introduction to Meteorology', 'Literature of Modern Theatre', 'Design History Survey', 'The Craft Essay: Creative Reading, Reflection, and Revision', 'Undergraduate Special Course', 'Field Experience', 'Concepts of Machine Learning', 'Interpreting Clinical Research in Speech and; Hearing Science', 'Biochem and; Phys Basis of Life', 'Comm Partners and; Health', 'Energy and Security', 'Foundations of Information Processing', 'NPRE Laboratory', 'Environmental Health', 'Senior Project']","['Laboratory-Discussion', 'Lecture-Discussion', 'Discussion/Recitation', 'Online', 'Lecture', 'Independent Study']",0.9337163589549669,"['SHS', 'LAS', 'MCB', 'THEA', 'ARTH', 'IB', 'CW', 'KIN', 'ME', 'AHS', 'NPRE', 'GEOL', 'GGIS', 'IS', 'GLBL', 'NRES', 'ENVS']",17,[],2,[],['Film Club'],1,"['Religious Studies', 'Aerospace Engineering', 'Spanish']"
43bc57550c7e8ca88ddbede7f8cf170dc28a9aeb4af8d73dc9c6af3f691e6788,906a2e80999043c850d1db45fdd142e935f69efb22bfab3ed685a41691480c5d,Settler Colonizer,Female,Domestic,Lower,['Visual'],4.033704490839296,7.96077319165528,"[""Intro Gender and; Women's Studies"", 'Intro to British Literature', 'Intro to Academic Writing I', 'Life in the Andes', 'The Twentieth-Century American Novel', 'Artsful Teaching through Integ', 'Ceramics Sculpture I', 'Applied Statistical Methods and; Data Analytics 2', 'Comm Partners and; Health', 'Workers, Unions, and Politics', 'Social Research Methods', 'Latin American Literatures and; Cultures from 1800', 'Language and; Minorities in Europe', 'Earth Resources Sustainability', 'Intermediate Stand Arabic II', 'Robot Dynamics and Control', 'Graduate Level Flute', 'Pediatrics Sub-Internship', 'Neonatal Intensive Care', 'Taxation of Business Entities', 'Strategic Management']","['Practice', 'Studio', 'Lecture-Discussion', 'Online', 'Lecture']",1.9662031246464127,"['ARTS', 'ACE', 'SE', 'SPAN', 'ESE', 'CLE', 'FAA', 'ACCY', 'ENGL', 'LER', 'SOC', 'HDFS', 'LAST', 'BADM', 'SHS', 'MUSC', 'ARAB', 'EURO', 'ESL']",19,[],3,[],"['Persian Language Club', 'Agricultural Communications Club']",2,"['Languages', 'Health and Human Services']"
5ca81feabbf3be8f2ecb7ad167c3aee442fed97f9f723a472fee0c4651d3534c,01edb763794ad0ce2d62fe2073ef5421ff66b5114906cce236d6e8a7cd5d6dbc,Settler Colonizer,Female,Domestic,Lower,['Kinesthetic'],2.631799707601479,10.033539761538295,"['Harpsichord', 'Undergraduate Open Seminar', 'Supp Brass Inst: Trumpet', 'Motor Development and Control', 'Professional Internship', 'Representation', 'Design Communications II', 'Electrical and Electronic Circuits', 'UG Experiential Learning', 'Evolution', 'Materials Laboratory II', 'Repertory Jazz Orchestra', 'Where the Arts Meets Physics', 'Traditional Rendering Techniques', 'Mathematical Internship', 'Graduate Level Lyric Theatre Voice', 'Obstetrics and; Gynecology Clerkship', 'Urban Design Research Studio', 'Pathobiology III', 'Design: Technology and Performance', 'Capstone Project']","['Laboratory-Discussion', 'Practice', 'Internship', 'Research', 'Laboratory']",1.9866779457271708,"['MUSC', 'THEA', 'IB', 'ARCH', 'ECE', 'CLE', 'KIN', 'PHYS', 'LA', 'UP', 'MUS', 'MSE', 'VM', 'GLBL', 'MATH', 'ANSC']",16,[],2,[],[],0,"['Asian Studies', 'Education']"
2f447e73d79b6662358bb433efb2c57fd68ae662fd9b268ed8750f7473de6a07,b00c46465078b4172674b36fdf10cd92d3919194183138dd09f905627eaf85d8,Settler Colonizer,Male,Domestic,Lower,['Visual'],2.812137504694494,4.004085369103483,"['The Green Room', 'Microcomputer Applications', 'Technical Systems in Agr', 'Music Theory and Practice II', 'Immigration: A Global Phenomenon with Local Implications', 'Interaction Design Foundation', 'Survey of World Cinema II', 'Intro Sound and; Hearing Science', 'Environmental Economics', 'Art in China']","['Studio', 'Lecture-Discussion', 'Online Lab', 'Packaged Section', 'Lecture']",0.07235702278026657,"['SHS', 'ARTD', 'ARTH', 'ACE', 'DANC', 'MUS', 'MACS', 'ETMA', 'ECON', 'LAST']",10,[],3,[],[],0,"['Basque', 'Music']"
514e82704520d086ccfe8ef4710ead8bf650a0eb1fbf6bc326180d467b57a780,5e0aa510a23081b8e1b54397d9b22e44729e6d7a2d5ec7970254a7ecdcd53c85,Settler Colonizer,Male,Domestic,Lower,['Kinesthetic'],2.390014594681318,-0.06179059287584692,"['Supp Brass Inst: Euph/Tuba', 'German Diction', 'Leadership Laboratory', 'Viola', 'Engineering Graphics and; Design']","['Laboratory-Discussion', 'Practice', 'Laboratory']",0.027204372205543836,"['MILS', 'MUSC', 'SE', 'MUS']",4,[],3,['Family Therapist'],[],0,"['German', 'Horticulture', 'Recreation, Sport, and Tourism', 'Swahili']"
8a771bad122eeccbacce29e7aa91acbfe3b1e215fe03f5fda3803af436abd9ca,bed1f8891424cd749d22a3166b11f00418631f2c280580f6a81b3e08cf561e89,Settler Colonizer,Male,Domestic,Lower,['Kinesthetic'],2.771194024236466,3.9669812259481874,"['Voice', 'Dance I', 'Engineering Graphics and; Design', 'Resident Internship', 'ACES Study Abroad']","['Laboratory', 'Practice', 'Internship', 'Study Abroad']",-0.009698462987160261,"['MUSC', 'DANC', 'SE', 'NRES', 'ACES']",5,[],2,['Research Scientist'],[],0,"['Communications', 'Languages', 'Greek']"
20261a66def3dccf601b0a485087823cacd955e137a78315b4c1edb9e288e0a2,eeebd533ebeefdf5ef52f3d0c0d965cf72cb53cc15c164e9c44344d0716556e6,Settler Colonizer,Female,Domestic,Lower,['Visual'],3.6076898030972964,10.029060526031468,"['Undergraduate Open Seminar', 'Cello', 'Chinese Reading and Writing', 'American Sign Language II', 'Intro to Korea Through Film', 'Animal Behavior', 'Teachers as Researchers', 'Psychology of Gender', 'Colloquium in EALC', 'Entrepreneurship: New Venture Creation', 'Ceramic Materials and; Properties', 'Crop Growth and Management', 'Railway Signaling and; Control', 'Practice III', 'Monetary Policy', 'Group Representation Theory', 'Intersectional Pedagogies', 'Water Quality Control Proc I', 'Parallel Computer Architecture', 'Graduate Level Double Bass', 'Neurology Sub-Internship', 'Current Topics in Computing Education Research', 'Aerospace Syst Engineering II']","['Practice', 'Lecture-Discussion', 'Online', 'Lecture', 'Online Lecture Discussion']",2.0440963583291327,"['AE', 'LING', 'ANTH', 'ECON', 'ARTE', 'CLE', 'EALC', 'MSE', 'MATH', 'CPSC', 'BADM', 'MUSC', 'CEE', 'ANSC', 'GWS', 'SOCW', 'CHIN', 'CS', 'PSYC']",19,[],4,[],"['Yiddish Language Club', 'Model United Nations', 'Latino Student Union']",3,['Agricultural Science Education']
83498d8eea384f2ba9ec9f1c02a7fc447a5c859a574af8603d9c7b4f06785dce,ac047b73f80555229ca804e9db8cbd72cc2aa80d8adf4ee82797bb1528342b28,Settler Colonizer,Female,Domestic,Lower,['Read/Write'],2.125273280839383,9.988198772636848,"['Undergraduate Open Seminar', 'Data Science Discovery', 'Intro to British Literature', 'Popular Music Studies', 'Caribbean Latina/o Migration', 'Off-Campus Internship', 'Research Design for Information Sciences', 'Modern Political Theory', 'Accounting Institutions and Regulation', 'Communication in Nutrition', 'Spreadsheet Models and Applications', 'Independent Study', 'Applied Research Methods', 'Crop Growth and Development', ""Master's Project"", 'Thesis Research', 'High-Performance Geospatial Computing', 'Business Associations I', 'Graduate Laboratory', 'Methods of Data Science', 'Special Problems', 'Doctoral ProSeminar', 'Leadership in Early Childhood Special Education', 'Libraries, Information and Society']","['Laboratory-Discussion', 'Lecture-Discussion', 'Discussion/Recitation', 'Online', 'Lecture', 'Independent Study']",1.9443512423108258,"['ARTS', 'ACE', 'HUM', 'IS', 'ETMA', 'SPED', 'JOUR', 'CPSC', 'ACCY', 'TAM', 'MUS', 'ENGL', 'HDFS', 'SHS', 'PS', 'LAW', 'BIOP', 'HIST', 'GGIS', 'FSHN', 'STAT']",21,[],3,[],[],0,"['Environmental Science', 'Agricultural Health and Safety', 'Management']"
