models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.995,0.1,13.661874999999998,2191,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.662187499999998,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.662499999999998,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.662812499999998,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.663124999999997,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.663437499999997,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.663749999999997,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.664062499999996,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.664374999999996,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.664687499999996,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.664999999999996,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.665312499999995,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.665624999999995,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.665937499999995,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.666249999999994,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.666562499999994,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.666874999999994,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.667187499999994,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.667499999999993,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.667812499999993,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.668124999999993,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.668437499999992,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.668749999999992,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.669062499999992,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.669374999999992,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.669687499999991,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97875,0.1,13.669999999999991,2139,26
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.971875,0.1,13.670416666666656,2117,26
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.971875,0.1,13.67083333333332,2117,26
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.971875,0.1,13.671249999999985,2117,26
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.971875,0.1,13.671666666666649,2117,26
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.971875,0.1,13.672083333333314,2117,26
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.971875,0.1,13.672499999999978,2117,26
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.971875,0.1,13.672916666666643,2117,26
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.971875,0.1,13.673333333333307,2117,26
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.971875,0.1,13.673749999999972,2117,26
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.971875,0.1,13.674166666666636,2117,26
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.971875,0.1,13.6745833333333,2117,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666661456, random_state=0)",0.0004166666666661456,0.970625,0.1,13.674999999999967,2113,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666661456, random_state=0)",0.0004166666666661456,0.970625,0.1,13.675416666666633,2113,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.963125,0.1,13.675833333333301,2089,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.963125,0.1,13.67624999999997,2089,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.963125,0.1,13.676666666666637,2089,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.963125,0.1,13.677083333333306,2089,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.963125,0.1,13.677499999999974,2089,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.963125,0.1,13.677916666666642,2089,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.963125,0.1,13.67833333333331,2089,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.963125,0.1,13.678749999999978,2089,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.963125,0.1,13.679166666666646,2089,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.963125,0.1,13.679583333333314,2089,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.963125,0.1,13.679999999999982,2089,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.963125,0.1,13.68041666666665,2089,26
"DecisionTreeRegressor(ccp_alpha=0.00041666666667083523, random_state=0)",0.00041666666667083523,0.9625,0.1,13.680833333333322,2087,26
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.958125,0.105,13.681302083333321,2073,26
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.958125,0.105,13.68177083333332,2073,26
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.958125,0.105,13.68223958333332,2073,26
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.958125,0.105,13.68270833333332,2073,26
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.958125,0.105,13.68317708333332,2073,26
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.958125,0.105,13.683645833333319,2073,26
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.958125,0.105,13.684114583333319,2073,26
"DecisionTreeRegressor(ccp_alpha=0.0004999999999881766, random_state=0)",0.0004999999999881766,0.9575,0.105,13.684614583333307,2071,26
"DecisionTreeRegressor(ccp_alpha=0.0004999999999995453, random_state=0)",0.0004999999999995453,0.956875,0.105,13.685114583333306,2069,26
"DecisionTreeRegressor(ccp_alpha=0.0005000000000052296, random_state=0)",0.0005000000000052296,0.95625,0.105,13.685614583333312,2067,26
"DecisionTreeRegressor(ccp_alpha=0.0005208333333393966, random_state=0)",0.0005208333333393966,0.955625,0.105,13.686135416666652,2065,26
"DecisionTreeRegressor(ccp_alpha=0.0006026785714323068, random_state=0)",0.0006026785714323068,0.954375,0.105,13.686738095238084,2063,26
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.951875,0.105,13.687363095238084,2059,26
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.951875,0.105,13.687988095238083,2059,26
"DecisionTreeRegressor(ccp_alpha=0.0007499999999936336, random_state=0)",0.0007499999999936336,0.948125,0.105,13.688738095238076,2053,26
"DecisionTreeRegressor(ccp_alpha=0.0007499999999936336, random_state=0)",0.0007499999999936336,0.948125,0.105,13.689488095238069,2053,26
"DecisionTreeRegressor(ccp_alpha=0.0007499999999936336, random_state=0)",0.0007499999999936336,0.948125,0.105,13.690238095238062,2053,26
"DecisionTreeRegressor(ccp_alpha=0.0007500000000004547, random_state=0)",0.0007500000000004547,0.94625,0.105,13.690988095238062,2051,26
"DecisionTreeRegressor(ccp_alpha=0.0007500000000050022, random_state=0)",0.0007500000000050022,0.9425,0.105,13.691738095238067,2045,26
"DecisionTreeRegressor(ccp_alpha=0.0007500000000050022, random_state=0)",0.0007500000000050022,0.9425,0.105,13.692488095238073,2045,26
"DecisionTreeRegressor(ccp_alpha=0.0007500000000050022, random_state=0)",0.0007500000000050022,0.9425,0.105,13.693238095238078,2045,26
"DecisionTreeRegressor(ccp_alpha=0.000833333333328028, random_state=0)",0.000833333333328028,0.94125,0.105,13.694071428571405,2043,26
"DecisionTreeRegressor(ccp_alpha=0.0008333333333348492, random_state=0)",0.0008333333333348492,0.93625,0.105,13.69490476190474,2035,26
"DecisionTreeRegressor(ccp_alpha=0.0008333333333348492, random_state=0)",0.0008333333333348492,0.93625,0.105,13.695738095238074,2035,26
"DecisionTreeRegressor(ccp_alpha=0.0008333333333348492, random_state=0)",0.0008333333333348492,0.93625,0.105,13.696571428571408,2035,26
"DecisionTreeRegressor(ccp_alpha=0.0008333333333348492, random_state=0)",0.0008333333333348492,0.93625,0.105,13.697404761904743,2035,26
"DecisionTreeRegressor(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.934375,0.105,13.698342261904742,2033,26
"DecisionTreeRegressor(ccp_alpha=0.0010208333333343944, random_state=0)",0.0010208333333343944,0.93375,0.105,13.699363095238077,2031,26
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.925,0.105,13.700613095238078,2017,26
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.925,0.105,13.701863095238078,2017,26
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.925,0.105,13.703113095238079,2017,26
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.925,0.105,13.70436309523808,2017,26
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.925,0.105,13.70561309523808,2017,26
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.925,0.105,13.70686309523808,2017,26
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.925,0.105,13.708113095238081,2017,26
"DecisionTreeRegressor(ccp_alpha=0.001666666666656056, random_state=0)",0.001666666666656056,0.919375,0.1,13.709779761904738,2011,26
"DecisionTreeRegressor(ccp_alpha=0.001666666666656056, random_state=0)",0.001666666666656056,0.919375,0.1,13.711446428571394,2011,26
"DecisionTreeRegressor(ccp_alpha=0.001666666666656056, random_state=0)",0.001666666666656056,0.919375,0.1,13.71311309523805,2011,26
"DecisionTreeRegressor(ccp_alpha=0.0016666666666696984, random_state=0)",0.0016666666666696984,0.9175,0.1,13.71477976190472,2009,26
"DecisionTreeRegressor(ccp_alpha=0.001875, random_state=0)",0.001875,0.91625,0.1,13.71665476190472,2005,26
"DecisionTreeRegressor(ccp_alpha=0.001875, random_state=0)",0.001875,0.91625,0.1,13.71852976190472,2005,26
"DecisionTreeRegressor(ccp_alpha=0.001999999999998181, random_state=0)",0.001999999999998181,0.915625,0.1,13.72052976190472,2003,26
"DecisionTreeRegressor(ccp_alpha=0.0020833333333337123, random_state=0)",0.0020833333333337123,0.915,0.1,13.722613095238053,2001,26
"DecisionTreeRegressor(ccp_alpha=0.0025, random_state=0)",0.0025,0.914375,0.1,13.725113095238052,1999,26
"DecisionTreeRegressor(ccp_alpha=0.002604166666665151, random_state=0)",0.002604166666665151,0.91375,0.1,13.727717261904717,1997,26
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.89875,0.1,13.730529761904716,1973,26
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.89875,0.1,13.733342261904715,1973,26
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.89875,0.1,13.736154761904714,1973,26
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.89875,0.1,13.738967261904714,1973,26
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.89875,0.1,13.741779761904713,1973,26
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.89875,0.1,13.744592261904712,1973,26
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.89875,0.1,13.747404761904711,1973,26
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.89875,0.1,13.75021726190471,1973,26
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.89875,0.1,13.75302976190471,1973,26
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.89875,0.1,13.755842261904709,1973,26
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.89875,0.1,13.758654761904708,1973,26
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.89875,0.1,13.761467261904707,1973,26
"DecisionTreeRegressor(ccp_alpha=0.0035208333333207518, random_state=0)",0.0035208333333207518,0.8975,0.1025,13.764988095238028,1971,26
"DecisionTreeRegressor(ccp_alpha=0.00375, random_state=0)",0.00375,0.891875,0.1025,13.768738095238028,1965,26
"DecisionTreeRegressor(ccp_alpha=0.00375, random_state=0)",0.00375,0.891875,0.1025,13.772488095238028,1965,26
"DecisionTreeRegressor(ccp_alpha=0.00375, random_state=0)",0.00375,0.891875,0.1025,13.776238095238028,1965,26
"DecisionTreeRegressor(ccp_alpha=0.0045000000000001705, random_state=0)",0.0045000000000001705,0.88875,0.1025,13.780738095238029,1963,26
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.87875,0.1025,13.78573809523803,1947,26
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.87875,0.1025,13.79073809523803,1947,26
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.87875,0.1025,13.79573809523803,1947,26
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.87875,0.1025,13.800738095238032,1947,26
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.87875,0.1025,13.805738095238032,1947,26
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.87875,0.1025,13.810738095238033,1947,26
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.87875,0.1025,13.815738095238034,1947,26
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.87875,0.1025,13.820738095238035,1947,26
"DecisionTreeRegressor(ccp_alpha=0.005113636363637113, random_state=0)",0.005113636363637113,0.878125,0.1025,13.825851731601672,1945,26
"DecisionTreeRegressor(ccp_alpha=0.0052812499999997445, random_state=0)",0.0052812499999997445,0.8775,0.105,13.831132981601671,1943,26
"DecisionTreeRegressor(ccp_alpha=0.00666666666665833, random_state=0)",0.00666666666665833,0.875625,0.105,13.83779964826833,1941,26
"DecisionTreeRegressor(ccp_alpha=0.006666666666667282, random_state=0)",0.006666666666667282,0.871875,0.105,13.844466314934998,1937,26
"DecisionTreeRegressor(ccp_alpha=0.006666666666667282, random_state=0)",0.006666666666667282,0.871875,0.105,13.851132981601666,1937,26
"DecisionTreeRegressor(ccp_alpha=0.006666666666667709, random_state=0)",0.006666666666667709,0.868125,0.105,13.857799648268333,1933,26
"DecisionTreeRegressor(ccp_alpha=0.006666666666667709, random_state=0)",0.006666666666667709,0.868125,0.105,13.864466314935001,1933,26
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.856875,0.105,13.872278814935001,1915,26
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.856875,0.105,13.880091314935001,1915,26
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.856875,0.105,13.887903814935001,1915,26
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.856875,0.105,13.895716314935001,1915,26
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.856875,0.105,13.903528814935001,1915,26
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.856875,0.105,13.911341314935001,1915,26
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.856875,0.105,13.919153814935001,1915,26
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.856875,0.105,13.926966314935001,1915,26
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.856875,0.105,13.934778814935001,1915,26
"DecisionTreeRegressor(ccp_alpha=0.008437499999995657, random_state=0)",0.008437499999995657,0.85625,0.105,13.943216314934997,1913,26
"DecisionTreeRegressor(ccp_alpha=0.008437499999998863, random_state=0)",0.008437499999998863,0.855,0.105,13.951653814934996,1911,26
"DecisionTreeRegressor(ccp_alpha=0.008437499999999716, random_state=0)",0.008437499999999716,0.85375,0.105,13.960091314934996,1909,26
"DecisionTreeRegressor(ccp_alpha=0.010416666666664015, random_state=0)",0.010416666666664015,0.853125,0.105,13.97050798160166,1907,26
"DecisionTreeRegressor(ccp_alpha=0.010725446428567693, random_state=0)",0.010725446428567693,0.8525,0.105,13.981233428030228,1905,26
"DecisionTreeRegressor(ccp_alpha=0.01125, random_state=0)",0.01125,0.84375,0.105,13.992483428030228,1891,26
"DecisionTreeRegressor(ccp_alpha=0.01125, random_state=0)",0.01125,0.84375,0.105,14.003733428030229,1891,26
"DecisionTreeRegressor(ccp_alpha=0.01125, random_state=0)",0.01125,0.84375,0.105,14.014983428030229,1891,26
"DecisionTreeRegressor(ccp_alpha=0.01125, random_state=0)",0.01125,0.84375,0.105,14.02623342803023,1891,26
"DecisionTreeRegressor(ccp_alpha=0.01125, random_state=0)",0.01125,0.84375,0.105,14.03748342803023,1891,26
"DecisionTreeRegressor(ccp_alpha=0.01125, random_state=0)",0.01125,0.84375,0.105,14.04873342803023,1891,26
"DecisionTreeRegressor(ccp_alpha=0.01125, random_state=0)",0.01125,0.84375,0.105,14.05998342803023,1891,26
"DecisionTreeRegressor(ccp_alpha=0.0125, random_state=0)",0.0125,0.840625,0.105,14.07248342803023,1889,26
"DecisionTreeRegressor(ccp_alpha=0.012604166666669699, random_state=0)",0.012604166666669699,0.838125,0.105,14.0850875946969,1885,26
"DecisionTreeRegressor(ccp_alpha=0.012604166666669699, random_state=0)",0.012604166666669699,0.838125,0.105,14.097691761363569,1885,26
"DecisionTreeRegressor(ccp_alpha=0.0153125, random_state=0)",0.0153125,0.818125,0.1025,14.11300426136357,1853,26
"DecisionTreeRegressor(ccp_alpha=0.0153125, random_state=0)",0.0153125,0.818125,0.1025,14.12831676136357,1853,26
"DecisionTreeRegressor(ccp_alpha=0.0153125, random_state=0)",0.0153125,0.818125,0.1025,14.14362926136357,1853,26
"DecisionTreeRegressor(ccp_alpha=0.0153125, random_state=0)",0.0153125,0.818125,0.1025,14.15894176136357,1853,26
"DecisionTreeRegressor(ccp_alpha=0.0153125, random_state=0)",0.0153125,0.818125,0.1025,14.17425426136357,1853,26
"DecisionTreeRegressor(ccp_alpha=0.0153125, random_state=0)",0.0153125,0.818125,0.1025,14.18956676136357,1853,26
"DecisionTreeRegressor(ccp_alpha=0.0153125, random_state=0)",0.0153125,0.818125,0.1025,14.20487926136357,1853,26
"DecisionTreeRegressor(ccp_alpha=0.0153125, random_state=0)",0.0153125,0.818125,0.1025,14.220191761363571,1853,26
