models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9975,0.0875,3.25125,2185,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.2515625000000004,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.2518750000000005,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.2521875000000007,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.252500000000001,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.252812500000001,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.253125000000001,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.2534375000000013,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.2537500000000015,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.2540625000000016,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.254375000000002,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.254687500000002,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.255000000000002,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.2553125000000023,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.2556250000000024,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.2559375000000026,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.2562500000000028,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.256562500000003,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.256875000000003,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.2571875000000032,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.2575000000000034,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.2578125000000036,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.2581250000000037,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.258437500000004,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.258750000000004,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.259062500000004,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.2593750000000044,2131,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.980625,0.0925,3.2596875000000045,2131,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9725,0.09,3.2601041666666686,2105,33
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9725,0.09,3.2609374999999967,2105,33
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9725,0.09,3.261354166666661,2105,33
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9725,0.09,3.261770833333325,2105,33
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9725,0.09,3.262187499999989,2105,33
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9725,0.09,3.262604166666653,2105,33
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9725,0.09,3.263020833333317,2105,33
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9725,0.09,3.263437499999981,2105,33
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9725,0.09,3.263854166666645,2105,33
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9725,0.09,3.2642708333333093,2105,33
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9725,0.09,3.2646874999999733,2105,33
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9725,0.09,3.2651041666666374,2105,33
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.9675,0.0875,3.265520833333305,2089,33
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.9675,0.0875,3.2659374999999726,2089,33
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.9675,0.0875,3.2663541666666402,2089,33
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.9675,0.0875,3.266770833333308,2089,33
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.9675,0.0875,3.2671874999999755,2089,33
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.9675,0.0875,3.267604166666643,2089,33
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.9675,0.0875,3.2680208333333107,2089,33
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.9675,0.0875,3.2684374999999783,2089,33
"DecisionTreeRegressor(ccp_alpha=0.00041666666667083523, random_state=0)",0.00041666666667083523,0.966875,0.0875,3.268854166666649,2087,33
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.961875,0.08,3.269322916666649,2073,33
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.961875,0.08,3.269791666666649,2073,33
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.961875,0.08,3.270260416666649,2073,33
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.961875,0.08,3.271197916666649,2073,33
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.961875,0.08,3.271666666666649,2073,33
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.961875,0.08,3.272135416666649,2073,33
"DecisionTreeRegressor(ccp_alpha=0.0004999999999995453, random_state=0)",0.0004999999999995453,0.96125,0.08,3.272635416666649,2071,33
"DecisionTreeRegressor(ccp_alpha=0.0005000000000052296, random_state=0)",0.0005000000000052296,0.958125,0.08,3.273135416666654,2061,33
"DecisionTreeRegressor(ccp_alpha=0.0005000000000052296, random_state=0)",0.0005000000000052296,0.958125,0.08,3.273635416666659,2061,33
"DecisionTreeRegressor(ccp_alpha=0.0005000000000052296, random_state=0)",0.0005000000000052296,0.958125,0.08,3.274135416666664,2061,33
"DecisionTreeRegressor(ccp_alpha=0.0005000000000052296, random_state=0)",0.0005000000000052296,0.958125,0.08,3.274635416666669,2061,33
"DecisionTreeRegressor(ccp_alpha=0.0005000000000052296, random_state=0)",0.0005000000000052296,0.958125,0.08,3.275135416666674,2061,33
"DecisionTreeRegressor(ccp_alpha=0.0006026785714323068, random_state=0)",0.0006026785714323068,0.956875,0.0825,3.2757380952381063,2059,33
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.953125,0.0825,3.276363095238106,2053,33
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.953125,0.0825,3.276988095238106,2053,33
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.953125,0.0825,3.277613095238106,2053,33
"DecisionTreeRegressor(ccp_alpha=0.000703125, random_state=0)",0.000703125,0.951875,0.0825,3.2783162202381058,2051,33
"DecisionTreeRegressor(ccp_alpha=0.0007499999999936336, random_state=0)",0.0007499999999936336,0.948125,0.0825,3.2790662202380996,2045,33
"DecisionTreeRegressor(ccp_alpha=0.0007499999999936336, random_state=0)",0.0007499999999936336,0.948125,0.0825,3.2798162202380934,2045,33
"DecisionTreeRegressor(ccp_alpha=0.0007499999999936336, random_state=0)",0.0007499999999936336,0.948125,0.0825,3.280566220238087,2045,33
"DecisionTreeRegressor(ccp_alpha=0.0007500000000004547, random_state=0)",0.0007500000000004547,0.94625,0.0825,3.2813162202380877,2043,33
"DecisionTreeRegressor(ccp_alpha=0.0007500000000050022, random_state=0)",0.0007500000000050022,0.94125,0.0825,3.2820662202380926,2035,33
"DecisionTreeRegressor(ccp_alpha=0.0007500000000050022, random_state=0)",0.0007500000000050022,0.94125,0.0825,3.2828162202380975,2035,33
"DecisionTreeRegressor(ccp_alpha=0.0007500000000050022, random_state=0)",0.0007500000000050022,0.94125,0.0825,3.2835662202381024,2035,33
"DecisionTreeRegressor(ccp_alpha=0.0007500000000050022, random_state=0)",0.0007500000000050022,0.94125,0.0825,3.2843162202381073,2035,33
"DecisionTreeRegressor(ccp_alpha=0.000833333333328028, random_state=0)",0.000833333333328028,0.94,0.0825,3.2851495535714355,2033,33
"DecisionTreeRegressor(ccp_alpha=0.0008333333333348492, random_state=0)",0.0008333333333348492,0.9375,0.085,3.2859828869047703,2029,33
"DecisionTreeRegressor(ccp_alpha=0.0008333333333348492, random_state=0)",0.0008333333333348492,0.9375,0.085,3.286816220238105,2029,33
"DecisionTreeRegressor(ccp_alpha=0.0009374999999988631, random_state=0)",0.0009374999999988631,0.936875,0.085,3.2877537202381037,2027,33
"DecisionTreeRegressor(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.93375,0.085,3.288691220238104,2023,33
"DecisionTreeRegressor(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.93375,0.085,3.289628720238104,2023,33
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.92375,0.085,3.290878720238104,2007,33
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.92375,0.085,3.292128720238104,2007,33
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.92375,0.085,3.2933787202381044,2007,33
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.92375,0.085,3.2946287202381046,2007,33
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.92375,0.085,3.295878720238105,2007,33
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.92375,0.085,3.297128720238105,2007,33
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.92375,0.085,3.298378720238105,2007,33
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.92375,0.085,3.2996287202381054,2007,33
"DecisionTreeRegressor(ccp_alpha=0.001666666666656056, random_state=0)",0.001666666666656056,0.91625,0.085,3.3012953869047617,1999,33
"DecisionTreeRegressor(ccp_alpha=0.001666666666656056, random_state=0)",0.001666666666656056,0.91625,0.085,3.302962053571418,1999,33
"DecisionTreeRegressor(ccp_alpha=0.001666666666656056, random_state=0)",0.001666666666656056,0.91625,0.085,3.304628720238074,1999,33
"DecisionTreeRegressor(ccp_alpha=0.001666666666656056, random_state=0)",0.001666666666656056,0.91625,0.085,3.3062953869047305,1999,33
"DecisionTreeRegressor(ccp_alpha=0.001875, random_state=0)",0.001875,0.915625,0.085,3.3081703869047305,1997,33
"DecisionTreeRegressor(ccp_alpha=0.002109375, random_state=0)",0.002109375,0.913125,0.085,3.3123891369047307,1993,33
"DecisionTreeRegressor(ccp_alpha=0.002604166666665151, random_state=0)",0.002604166666665151,0.9125,0.085,3.314993303571396,1991,33
"DecisionTreeRegressor(ccp_alpha=0.002708333333334849, random_state=0)",0.002708333333334849,0.910625,0.085,3.3204099702380656,1987,33
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.893125,0.085,3.3232224702380657,1959,32
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.893125,0.085,3.326034970238066,1959,32
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.893125,0.085,3.328847470238066,1959,32
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.893125,0.085,3.331659970238066,1959,32
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.893125,0.085,3.334472470238066,1959,32
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.893125,0.085,3.3372849702380663,1959,32
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.893125,0.085,3.3400974702380664,1959,32
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.893125,0.085,3.3429099702380665,1959,32
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.893125,0.085,3.3457224702380666,1959,32
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.893125,0.085,3.3485349702380667,1959,32
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.893125,0.085,3.351347470238067,1959,32
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.893125,0.085,3.354159970238067,1959,32
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.893125,0.085,3.356972470238067,1959,32
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.893125,0.085,3.359784970238067,1959,32
"DecisionTreeRegressor(ccp_alpha=0.0030000000000086403, random_state=0)",0.0030000000000086403,0.89,0.085,3.3627849702380757,1957,32
"DecisionTreeRegressor(ccp_alpha=0.00375, random_state=0)",0.00375,0.88625,0.085,3.366534970238076,1953,32
"DecisionTreeRegressor(ccp_alpha=0.00375, random_state=0)",0.00375,0.88625,0.085,3.370284970238076,1953,32
"DecisionTreeRegressor(ccp_alpha=0.00390625, random_state=0)",0.00390625,0.884375,0.085,3.374191220238076,1951,32
"DecisionTreeRegressor(ccp_alpha=0.003937500000008641, random_state=0)",0.003937500000008641,0.884375,0.085,3.3781287202380845,1949,32
"DecisionTreeRegressor(ccp_alpha=0.00421875, random_state=0)",0.00421875,0.876875,0.085,3.3823474702380847,1943,32
"DecisionTreeRegressor(ccp_alpha=0.00421875, random_state=0)",0.00421875,0.876875,0.085,3.386566220238085,1943,32
"DecisionTreeRegressor(ccp_alpha=0.00421875, random_state=0)",0.00421875,0.876875,0.085,3.390784970238085,1943,32
"DecisionTreeRegressor(ccp_alpha=0.0045000000000001705, random_state=0)",0.0045000000000001705,0.87375,0.085,3.395284970238085,1941,32
"DecisionTreeRegressor(ccp_alpha=0.0046875, random_state=0)",0.0046875,0.873125,0.085,3.3999724702380854,1939,32
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.855625,0.085,3.4049724702380852,1911,32
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.855625,0.085,3.409972470238085,1911,32
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.855625,0.085,3.414972470238085,1911,32
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.855625,0.085,3.419972470238085,1911,32
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.855625,0.085,3.424972470238085,1911,32
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.855625,0.085,3.4299724702380847,1911,32
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.855625,0.085,3.4349724702380846,1911,32
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.855625,0.085,3.4399724702380845,1911,32
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.855625,0.085,3.4449724702380844,1911,32
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.855625,0.085,3.4499724702380843,1911,32
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.855625,0.085,3.454972470238084,1911,32
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.855625,0.085,3.459972470238084,1911,32
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.855625,0.085,3.464972470238084,1911,32
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.855625,0.085,3.469972470238084,1911,32
"DecisionTreeRegressor(ccp_alpha=0.006666666666667425, random_state=0)",0.006666666666667425,0.855625,0.085,3.476639136904751,1909,32
"DecisionTreeRegressor(ccp_alpha=0.006666666666668561, random_state=0)",0.006666666666668561,0.85375,0.085,3.4833058035714197,1907,32
"DecisionTreeRegressor(ccp_alpha=0.007202380952379598, random_state=0)",0.007202380952379598,0.851875,0.085,3.4905081845237995,1905,32
"DecisionTreeRegressor(ccp_alpha=0.0075, random_state=0)",0.0075,0.846875,0.0825,3.4980081845237994,1901,32
"DecisionTreeRegressor(ccp_alpha=0.0075, random_state=0)",0.0075,0.846875,0.0825,3.505508184523799,1901,32
"DecisionTreeRegressor(ccp_alpha=0.007520833333308019, random_state=0)",0.007520833333308019,0.848125,0.0825,3.5130290178571073,1899,32
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.844375,0.0825,3.5208415178571073,1893,32
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.844375,0.0825,3.5286540178571073,1893,32
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.844375,0.0825,3.5364665178571073,1893,32
"DecisionTreeRegressor(ccp_alpha=0.008437499999999716, random_state=0)",0.008437499999999716,0.843125,0.0825,3.544904017857107,1891,32
"DecisionTreeRegressor(ccp_alpha=0.010416666666665152, random_state=0)",0.010416666666665152,0.84125,0.0825,3.5553206845237724,1889,32
"DecisionTreeRegressor(ccp_alpha=0.010416666666667426, random_state=0)",0.010416666666667426,0.840625,0.0825,3.5657373511904398,1887,32
"DecisionTreeRegressor(ccp_alpha=0.01125, random_state=0)",0.01125,0.833125,0.0825,3.5769873511904398,1875,32
