models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.98875,0.1275,0.0,2229,31
"DecisionTreeRegressor(ccp_alpha=0.000234375, random_state=0)",0.000234375,0.988125,0.1275,0.00046875,2225,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.00078125,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.00109375,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.0014062500000000002,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.0017187500000000002,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.00203125,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.00234375,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.0026562499999999998,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.0029687499999999996,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.0032812499999999994,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.0035937499999999993,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.003906249999999999,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.004218749999999999,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.00453125,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.00484375,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.00515625,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.0054687500000000005,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.005781250000000001,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.006093750000000001,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.006406250000000001,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.006718750000000002,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.007031250000000002,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.007343750000000002,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.0076562500000000025,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.007968750000000002,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.008281250000000002,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.008593750000000002,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.008906250000000003,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.009218750000000003,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.009531250000000003,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.009843750000000004,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.010156250000000004,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.010468750000000004,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.010781250000000004,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.011093750000000005,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.011406250000000005,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.011718750000000005,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.012031250000000005,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.012343750000000006,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.012656250000000006,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.963125,0.1275,0.012968750000000006,2145,30
"DecisionTreeRegressor(ccp_alpha=0.0003749999999968168, random_state=0)",0.0003749999999968168,0.961875,0.1275,0.01371874999999364,2141,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.950625,0.125,0.01455208333332167,2105,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.950625,0.125,0.014968749999985683,2105,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.950625,0.125,0.01580208333331371,2105,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.950625,0.125,0.016218749999977727,2105,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.950625,0.125,0.016635416666641742,2105,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.950625,0.125,0.017052083333305757,2105,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.950625,0.125,0.017468749999969772,2105,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.950625,0.125,0.0183020833332978,2105,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.950625,0.125,0.018718749999961815,2105,30
