models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.994375,0.125,0.0,2171,34
"DecisionTreeRegressor(ccp_alpha=0.0002604166666696983, random_state=0)",0.0002604166666696983,0.99375,0.125,0.0005208333333393966,2167,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.0008333333333393966,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.0011458333333393966,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.0014583333333393967,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.0017708333333393968,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.0020833333333393966,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.0023958333333393964,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.0027083333333393963,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.003020833333339396,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.003333333333339396,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.003645833333339396,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.003958333333339396,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.004270833333339396,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.004583333333339396,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.0048958333333393965,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.005208333333339397,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.005520833333339397,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.005833333333339397,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.006145833333339398,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.006458333333339398,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.006770833333339398,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.0070833333333393984,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.007395833333339399,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.007708333333339399,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.0080208333333394,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.0083333333333394,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.0086458333333394,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.0089583333333394,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.0092708333333394,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.0095833333333394,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1275,0.009895833333339401,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0003749999999968168, random_state=0)",0.0003749999999968168,0.9725,0.1275,0.010645833333333035,2099,34
"DecisionTreeRegressor(ccp_alpha=0.0003749999999968168, random_state=0)",0.0003749999999968168,0.9725,0.1275,0.01139583333332667,2099,34
"DecisionTreeRegressor(ccp_alpha=0.0003750000000025011, random_state=0)",0.0003750000000025011,0.97125,0.1275,0.012145833333331671,2095,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.96375,0.1225,0.012562499999995685,2071,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.96375,0.1225,0.012979166666659698,2071,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.96375,0.1225,0.013395833333323712,2071,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.96375,0.1225,0.013812499999987725,2071,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.96375,0.1225,0.014645833333315754,2071,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.96375,0.1225,0.015062499999979767,2071,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.96375,0.1225,0.015479166666643781,2071,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.96375,0.1225,0.015895833333307796,2071,34
