models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.973125,0.0875,38.23696626984124,2281,34
"DecisionTreeRegressor(ccp_alpha=0.0002500000000026148, random_state=0)",0.0002500000000026148,0.9725,0.085,38.23746626984124,2277,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.23777876984124,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.23809126984124,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.23840376984124,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.23871626984124,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.23902876984124,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.23934126984124,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.23965376984124,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.23996626984124,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.24027876984124,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.24059126984124,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.24090376984124,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.24121626984124,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.24152876984124,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.24184126984124,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.24215376984124,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.24246626984124,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.24277876984124,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.24309126984124,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.24340376984124,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.24371626984124,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.244028769841236,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.244341269841236,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.244653769841236,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.244966269841235,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.245278769841235,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.245591269841235,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.245903769841235,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.246216269841234,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.246528769841234,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.246841269841234,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.24715376984123,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.24746626984123,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.085,38.24777876984123,2211,34
"DecisionTreeRegressor(ccp_alpha=0.0003749999999968168, random_state=0)",0.0003749999999968168,0.950625,0.085,38.24852876984123,2207,34
"DecisionTreeRegressor(ccp_alpha=0.0003750000000025011, random_state=0)",0.0003750000000025011,0.949375,0.085,38.24927876984123,2203,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.936875,0.085,38.2496954365079,2163,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.936875,0.085,38.250112103174565,2163,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.936875,0.085,38.25052876984123,2163,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.936875,0.085,38.2509454365079,2163,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.936875,0.085,38.251362103174564,2163,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.936875,0.085,38.25177876984123,2163,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.936875,0.085,38.2521954365079,2163,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.936875,0.085,38.25261210317456,2163,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.936875,0.085,38.25302876984123,2163,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.936875,0.085,38.253445436507896,2163,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.936875,0.085,38.25386210317456,2163,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.936875,0.085,38.25427876984123,2163,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.936875,0.085,38.254695436507895,2163,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.936875,0.085,38.25511210317456,2163,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.936875,0.085,38.25552876984123,2163,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.936875,0.085,38.25594543650789,2163,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.936875,0.085,38.25636210317456,2163,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.936875,0.085,38.256778769841226,2163,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.936875,0.085,38.25719543650789,2163,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.936875,0.085,38.25761210317456,2163,34
"DecisionTreeRegressor(ccp_alpha=0.00041666666666657193, random_state=0)",0.00041666666666657193,0.93625,0.085,38.258028769841225,2161,34
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.92875,0.0875,38.25844543650789,2137,34
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.92875,0.0875,38.25886210317456,2137,34
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.92875,0.0875,38.259278769841224,2137,34
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.92875,0.0875,38.25969543650789,2137,34
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.92875,0.0875,38.260112103174556,2137,34
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.92875,0.0875,38.26052876984122,2137,34
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.92875,0.0875,38.26094543650789,2137,34
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.92875,0.0875,38.261362103174555,2137,34
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.92875,0.0875,38.26177876984122,2137,34
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.92875,0.0875,38.26219543650789,2137,34
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.92875,0.0875,38.262612103174554,2137,34
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.92875,0.0875,38.26302876984122,2137,34
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.924375,0.0875,38.26349751984122,2123,34
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.924375,0.0875,38.26396626984123,2123,34
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.924375,0.0875,38.26443501984123,2123,34
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.924375,0.0875,38.26490376984123,2123,34
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.924375,0.0875,38.265372519841236,2123,34
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.924375,0.0875,38.26584126984124,2123,34
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.924375,0.0875,38.26631001984124,2123,34
"DecisionTreeRegressor(ccp_alpha=0.00047619047618695736, random_state=0)",0.00047619047618695736,0.92375,0.0875,38.26678621031743,2121,34
"DecisionTreeRegressor(ccp_alpha=0.0004999999999881766, random_state=0)",0.0004999999999881766,0.923125,0.0875,38.267286210317415,2119,34
"DecisionTreeRegressor(ccp_alpha=0.0004999999999995453, random_state=0)",0.0004999999999995453,0.9225,0.0875,38.26778621031742,2117,34
"DecisionTreeRegressor(ccp_alpha=0.0005000000000009664, random_state=0)",0.0005000000000009664,0.921875,0.0875,38.26828621031742,2115,34
"DecisionTreeRegressor(ccp_alpha=0.0005000000000052296, random_state=0)",0.0005000000000052296,0.92,0.0875,38.26878621031742,2109,34
"DecisionTreeRegressor(ccp_alpha=0.0005000000000052296, random_state=0)",0.0005000000000052296,0.92,0.0875,38.269286210317425,2109,34
"DecisionTreeRegressor(ccp_alpha=0.0005000000000052296, random_state=0)",0.0005000000000052296,0.92,0.0875,38.26978621031743,2109,34
"DecisionTreeRegressor(ccp_alpha=0.0005208333333393966, random_state=0)",0.0005208333333393966,0.919375,0.0875,38.27030704365077,2107,34
"DecisionTreeRegressor(ccp_alpha=0.0006026785714323068, random_state=0)",0.0006026785714323068,0.918125,0.0875,38.2709097222222,2105,34
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.916875,0.0875,38.2715347222222,2103,34
"DecisionTreeRegressor(ccp_alpha=0.0007499999999936336, random_state=0)",0.0007499999999936336,0.914375,0.0875,38.272284722222196,2099,34
"DecisionTreeRegressor(ccp_alpha=0.0007499999999936336, random_state=0)",0.0007499999999936336,0.914375,0.0875,38.27303472222219,2099,34
"DecisionTreeRegressor(ccp_alpha=0.0007499999999947705, random_state=0)",0.0007499999999947705,0.9125,0.0875,38.27378472222219,2097,34
"DecisionTreeRegressor(ccp_alpha=0.0007500000000050022, random_state=0)",0.0007500000000050022,0.91125,0.0875,38.27453472222219,2095,34
"DecisionTreeRegressor(ccp_alpha=0.0007812499999988631, random_state=0)",0.0007812499999988631,0.910625,0.0875,38.27531597222219,2093,34
"DecisionTreeRegressor(ccp_alpha=0.0008333333333348492, random_state=0)",0.0008333333333348492,0.909375,0.0875,38.27614930555552,2091,34
"DecisionTreeRegressor(ccp_alpha=0.0008888888888873225, random_state=0)",0.0008888888888873225,0.9075,0.0875,38.27703819444441,2089,34
"DecisionTreeRegressor(ccp_alpha=0.0009374999999988631, random_state=0)",0.0009374999999988631,0.906875,0.0875,38.27797569444441,2087,34
"DecisionTreeRegressor(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.90125,0.09,38.27891319444441,2081,34
"DecisionTreeRegressor(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.90125,0.09,38.279850694444406,2081,34
"DecisionTreeRegressor(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.90125,0.09,38.280788194444405,2081,34
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.895,0.09,38.282038194444404,2071,34
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.895,0.09,38.2832881944444,2071,34
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.895,0.09,38.2845381944444,2071,34
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.895,0.09,38.2857881944444,2071,34
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.895,0.09,38.2870381944444,2071,34
"DecisionTreeRegressor(ccp_alpha=0.001666666666656056, random_state=0)",0.001666666666656056,0.889375,0.09,38.28870486111106,2065,34
"DecisionTreeRegressor(ccp_alpha=0.001666666666656056, random_state=0)",0.001666666666656056,0.889375,0.09,38.290371527777715,2065,34
"DecisionTreeRegressor(ccp_alpha=0.001666666666656056, random_state=0)",0.001666666666656056,0.889375,0.09,38.29203819444437,2065,34
"DecisionTreeRegressor(ccp_alpha=0.0016666666666662877, random_state=0)",0.0016666666666662877,0.8875,0.09,38.29370486111104,2063,34
"DecisionTreeRegressor(ccp_alpha=0.0016874999999996019, random_state=0)",0.0016874999999996019,0.885625,0.09,38.29539236111104,2061,34
"DecisionTreeRegressor(ccp_alpha=0.001875, random_state=0)",0.001875,0.88375,0.0925,38.29726736111104,2055,34
"DecisionTreeRegressor(ccp_alpha=0.001875, random_state=0)",0.001875,0.88375,0.0925,38.29914236111104,2055,34
"DecisionTreeRegressor(ccp_alpha=0.001875, random_state=0)",0.001875,0.88375,0.0925,38.301017361111036,2055,34
"DecisionTreeRegressor(ccp_alpha=0.001999999999999602, random_state=0)",0.001999999999999602,0.883125,0.095,38.30301736111104,2053,34
"DecisionTreeRegressor(ccp_alpha=0.0022321428571467905, random_state=0)",0.0022321428571467905,0.881875,0.095,38.30748164682533,2049,34
"DecisionTreeRegressor(ccp_alpha=0.0025, random_state=0)",0.0025,0.879375,0.095,38.30998164682533,2047,34
"DecisionTreeRegressor(ccp_alpha=0.002520833333333314, random_state=0)",0.002520833333333314,0.87875,0.095,38.31250248015866,2045,34
"DecisionTreeRegressor(ccp_alpha=0.0026041666666668565, random_state=0)",0.0026041666666668565,0.878125,0.095,38.31510664682533,2043,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.856875,0.095,38.317919146825325,2009,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.856875,0.095,38.32073164682532,2009,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.856875,0.095,38.32354414682532,2009,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.856875,0.095,38.32635664682532,2009,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.856875,0.095,38.329169146825315,2009,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.856875,0.095,38.33198164682531,2009,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.856875,0.095,38.33479414682531,2009,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.856875,0.095,38.33760664682531,2009,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.856875,0.095,38.340419146825305,2009,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.856875,0.095,38.3432316468253,2009,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.856875,0.095,38.3460441468253,2009,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.856875,0.095,38.3488566468253,2009,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.856875,0.095,38.351669146825294,2009,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.856875,0.095,38.35448164682529,2009,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.856875,0.095,38.35729414682529,2009,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.856875,0.095,38.36010664682529,2009,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.856875,0.095,38.362919146825284,2009,34
"DecisionTreeRegressor(ccp_alpha=0.003472222222218306, random_state=0)",0.003472222222218306,0.85625,0.095,38.366391369047506,2007,34
"DecisionTreeRegressor(ccp_alpha=0.00375, random_state=0)",0.00375,0.850625,0.0875,38.3701413690475,2001,34
"DecisionTreeRegressor(ccp_alpha=0.00375, random_state=0)",0.00375,0.850625,0.0875,38.3738913690475,2001,34
"DecisionTreeRegressor(ccp_alpha=0.00375, random_state=0)",0.00375,0.850625,0.0875,38.377641369047495,2001,34
"DecisionTreeRegressor(ccp_alpha=0.00421875, random_state=0)",0.00421875,0.840625,0.0875,38.381860119047495,1993,34
"DecisionTreeRegressor(ccp_alpha=0.00421875, random_state=0)",0.00421875,0.840625,0.0875,38.386078869047495,1993,34
"DecisionTreeRegressor(ccp_alpha=0.00421875, random_state=0)",0.00421875,0.840625,0.0875,38.390297619047494,1993,34
"DecisionTreeRegressor(ccp_alpha=0.00421875, random_state=0)",0.00421875,0.840625,0.0875,38.394516369047494,1993,34
"DecisionTreeRegressor(ccp_alpha=0.004500000000007276, random_state=0)",0.004500000000007276,0.8375,0.0875,38.3990163690475,1991,34
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.82625,0.0875,38.404016369047504,1973,34
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.82625,0.0875,38.40901636904751,1973,34
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.82625,0.0875,38.41401636904751,1973,34
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.82625,0.0875,38.41901636904751,1973,34
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.82625,0.0875,38.424016369047514,1973,34
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.82625,0.0875,38.42901636904752,1973,34
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.82625,0.0875,38.43401636904752,1973,34
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.82625,0.0875,38.43901636904752,1973,34
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.82625,0.0875,38.444016369047525,1973,34
"DecisionTreeRegressor(ccp_alpha=0.00666666666665833, random_state=0)",0.00666666666665833,0.824375,0.0875,38.450683035714185,1971,34
"DecisionTreeRegressor(ccp_alpha=0.006666666666665151, random_state=0)",0.006666666666665151,0.8225,0.0875,38.45734970238085,1969,34
"DecisionTreeRegressor(ccp_alpha=0.006666666666667709, random_state=0)",0.006666666666667709,0.820625,0.0875,38.46401636904752,1967,34
"DecisionTreeRegressor(ccp_alpha=0.0075, random_state=0)",0.0075,0.810625,0.085,38.47151636904752,1959,34
"DecisionTreeRegressor(ccp_alpha=0.0075, random_state=0)",0.0075,0.810625,0.085,38.47901636904752,1959,34
"DecisionTreeRegressor(ccp_alpha=0.0075, random_state=0)",0.0075,0.810625,0.085,38.48651636904752,1959,34
"DecisionTreeRegressor(ccp_alpha=0.0075, random_state=0)",0.0075,0.810625,0.085,38.49401636904752,1959,34
"DecisionTreeRegressor(ccp_alpha=0.0075446428571490295, random_state=0)",0.0075446428571490295,0.808125,0.085,38.50156101190467,1957,34
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.801875,0.085,38.50937351190467,1947,34
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.801875,0.085,38.51718601190467,1947,34
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.801875,0.085,38.52499851190467,1947,34
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.801875,0.085,38.53281101190467,1947,34
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.801875,0.085,38.54062351190467,1947,34
"DecisionTreeRegressor(ccp_alpha=0.00802777777778715, random_state=0)",0.00802777777778715,0.80125,0.085,38.548651289682454,1945,34
"DecisionTreeRegressor(ccp_alpha=0.008437499999998863, random_state=0)",0.008437499999998863,0.79875,0.085,38.55708878968245,1941,34
"DecisionTreeRegressor(ccp_alpha=0.008437499999998863, random_state=0)",0.008437499999998863,0.79875,0.085,38.56552628968245,1941,34
"DecisionTreeRegressor(ccp_alpha=0.008437500000002273, random_state=0)",0.008437500000002273,0.7975,0.085,38.57396378968245,1939,34
"DecisionTreeRegressor(ccp_alpha=0.008802083333333427, random_state=0)",0.008802083333333427,0.795625,0.085,38.58276587301579,1937,34
"DecisionTreeRegressor(ccp_alpha=0.010416666666665152, random_state=0)",0.010416666666665152,0.79375,0.085,38.59318253968245,1935,34
"DecisionTreeRegressor(ccp_alpha=0.010666666666666628, random_state=0)",0.010666666666666628,0.79125,0.085,38.61451587301578,1931,34
"DecisionTreeRegressor(ccp_alpha=0.010848214285707626, random_state=0)",0.010848214285707626,0.790625,0.085,38.62536408730149,1929,34
"DecisionTreeRegressor(ccp_alpha=0.011020833333332689, random_state=0)",0.011020833333332689,0.7875,0.0825,38.636384920634825,1927,34
"DecisionTreeRegressor(ccp_alpha=0.01125, random_state=0)",0.01125,0.78375,0.0825,38.64763492063482,1921,34
"DecisionTreeRegressor(ccp_alpha=0.01125, random_state=0)",0.01125,0.78375,0.0825,38.65888492063482,1921,34
"DecisionTreeRegressor(ccp_alpha=0.01125, random_state=0)",0.01125,0.78375,0.0825,38.670134920634816,1921,34
