models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.975625,0.085,29.471413690476194,2247,36
"DecisionTreeRegressor(ccp_alpha=0.0002083333333337123, random_state=0)",0.0002083333333337123,0.975,0.085,29.47183035714286,2243,36
"DecisionTreeRegressor(ccp_alpha=0.0002812499999947704, random_state=0)",0.0002812499999947704,0.974375,0.085,29.47239285714285,2239,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.47270535714285,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.47301785714285,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.47333035714285,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.47364285714285,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.47395535714285,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.47426785714285,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.474580357142848,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.474892857142848,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.475205357142848,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.475517857142847,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.475830357142847,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.476142857142847,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.476455357142846,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.476767857142846,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.477080357142846,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.477392857142846,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.477705357142845,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.478017857142845,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.478330357142845,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.478642857142844,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.478955357142844,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.479267857142844,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.479580357142844,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.479892857142843,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.480205357142843,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.480517857142843,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.480830357142843,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.481142857142842,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.481455357142842,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955625,0.0875,29.48176785714284,2179,36
"DecisionTreeRegressor(ccp_alpha=0.0003750000000025011, random_state=0)",0.0003750000000025011,0.954375,0.0875,29.482517857142845,2175,36
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.95,0.0875,29.482934523809508,2161,36
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.95,0.0875,29.48335119047617,2161,36
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.95,0.0875,29.483767857142833,2161,36
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.95,0.0875,29.484184523809496,2161,36
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.95,0.0875,29.48460119047616,2161,36
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.95,0.0875,29.48501785714282,2161,36
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.95,0.0875,29.485434523809484,2161,36
"DecisionTreeRegressor(ccp_alpha=0.0004166666666661456, random_state=0)",0.0004166666666661456,0.949375,0.0875,29.48585119047615,2159,36
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.943125,0.0875,29.486267857142817,2139,36
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.943125,0.0875,29.486684523809483,2139,36
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.943125,0.0875,29.48710119047615,2139,36
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.943125,0.0875,29.487517857142816,2139,36
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.943125,0.0875,29.487934523809482,2139,36
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.943125,0.0875,29.48835119047615,2139,36
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.943125,0.0875,29.488767857142815,2139,36
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.943125,0.0875,29.48918452380948,2139,36
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.943125,0.0875,29.489601190476147,2139,36
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.943125,0.0875,29.490017857142814,2139,36
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.93875,0.09,29.490486607142813,2127,36
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.93875,0.09,29.490955357142813,2127,36
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.93875,0.09,29.491424107142812,2127,36
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.93875,0.09,29.49236160714281,2127,36
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.93875,0.09,29.49283035714281,2127,36
"DecisionTreeRegressor(ccp_alpha=0.00047619047619150477, random_state=0)",0.00047619047619150477,0.938125,0.09,29.493306547619003,2125,36
