models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.970625,0.1025,53.29192092803027,2237,32
"DecisionTreeRegressor(ccp_alpha=0.000234375, random_state=0)",0.000234375,0.97,0.1025,53.292389678030275,2233,32
"DecisionTreeRegressor(ccp_alpha=0.0002734375, random_state=0)",0.0002734375,0.969375,0.1025,53.29293655303027,2229,32
"DecisionTreeRegressor(ccp_alpha=0.0002777777777805568, random_state=0)",0.0002777777777805568,0.96875,0.1025,53.29349210858584,2225,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.29380460858584,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.29411710858584,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.29442960858584,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.29474210858584,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.295054608585836,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.295367108585836,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.295679608585836,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.295992108585835,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.296304608585835,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.296617108585835,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.296929608585835,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.297242108585834,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.297554608585834,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.297867108585834,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.29817960858583,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.29849210858583,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.29880460858583,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.29911710858583,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.29942960858583,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.29974210858583,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.30005460858583,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.30036710858583,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.30067960858583,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.30099210858583,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.30130460858583,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.30161710858583,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.30192960858583,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.30224210858583,2167,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.950625,0.1,53.30255460858583,2167,32
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.941875,0.1025,53.302971275252496,2139,32
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.941875,0.1025,53.30338794191916,2139,32
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.941875,0.1025,53.30380460858583,2139,32
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.941875,0.1025,53.304637941919154,2139,32
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.941875,0.1025,53.30505460858582,2139,32
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.941875,0.1025,53.305471275252486,2139,32
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.941875,0.1025,53.30588794191915,2139,32
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.941875,0.1025,53.30630460858582,2139,32
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.941875,0.1025,53.306721275252485,2139,32
