models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9725,0.1025,81.31680555555559,2185,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9525,0.1025,81.3171180555556,2121,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9525,0.1025,81.3174305555556,2121,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9525,0.1025,81.31774305555561,2121,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9525,0.1025,81.31805555555562,2121,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9525,0.1025,81.31836805555562,2121,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9525,0.1025,81.31868055555563,2121,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9525,0.1025,81.31899305555564,2121,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9525,0.1025,81.31930555555564,2121,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9525,0.1025,81.31961805555565,2121,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9525,0.1025,81.31993055555566,2121,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9525,0.1025,81.32024305555566,2121,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9525,0.1025,81.32055555555567,2121,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9525,0.1025,81.32086805555568,2121,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9525,0.1025,81.32118055555569,2121,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9525,0.1025,81.32149305555569,2121,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9525,0.1025,81.3218055555557,2121,38
