models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.973125,0.095,79.14562202380952,2131,25
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95875,0.095,79.14593452380953,2085,25
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95875,0.095,79.14624702380954,2085,25
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95875,0.095,79.14655952380954,2085,25
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95875,0.095,79.14687202380955,2085,25
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95875,0.095,79.14718452380956,2085,25
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95875,0.095,79.14749702380956,2085,25
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95875,0.095,79.14780952380957,2085,25
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95875,0.095,79.14812202380958,2085,25
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95875,0.095,79.14843452380958,2085,25
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95875,0.095,79.14874702380959,2085,25
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95875,0.095,79.1490595238096,2085,25
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95875,0.095,79.1493720238096,2085,25
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95875,0.095,79.14968452380961,2085,25
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95875,0.095,79.14999702380962,2085,25
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95875,0.095,79.15030952380963,2085,25
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95875,0.095,79.15062202380963,2085,25
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95875,0.095,79.15093452380964,2085,25
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95875,0.095,79.15124702380965,2085,25
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95875,0.095,79.15155952380965,2085,25
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95875,0.095,79.15187202380966,2085,25
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95875,0.095,79.15218452380967,2085,25
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95875,0.095,79.15249702380967,2085,25
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95875,0.095,79.15280952380968,2085,25
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.94875,0.0925,79.15322619047635,2053,25
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.94875,0.0925,79.15364285714301,2053,25
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.94875,0.0925,79.15405952380968,2053,25
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.94875,0.0925,79.15447619047634,2053,25
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.94875,0.0925,79.15489285714301,2053,25
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.94875,0.0925,79.15530952380968,2053,25
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.94875,0.0925,79.15572619047634,2053,25
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.94875,0.0925,79.15614285714301,2053,25
