models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.97,0.1,62.85168749999999,2165,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955,0.1,62.85199999999999,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955,0.1,62.85231249999999,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955,0.1,62.85262499999999,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955,0.1,62.85293749999999,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955,0.1,62.85324999999999,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955,0.1,62.85356249999999,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955,0.1,62.85387499999999,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955,0.1,62.85418749999999,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955,0.1,62.85481249999999,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955,0.1,62.85512499999999,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955,0.1,62.85543749999999,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955,0.1,62.855749999999986,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955,0.1,62.856062499999986,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955,0.1,62.856374999999986,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955,0.1,62.856687499999985,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955,0.1,62.856999999999985,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955,0.1,62.857312499999985,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955,0.1,62.857624999999985,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955,0.1,62.857937499999984,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955,0.1,62.858249999999984,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955,0.1,62.858562499999984,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955,0.1,62.85887499999998,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.955,0.1,62.85918749999998,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0003750000000025011, random_state=0)",0.0003750000000025011,0.95375,0.1,62.85993749999999,2113,29
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.946875,0.1025,62.86077083333331,2091,29
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.946875,0.1025,62.86118749999998,2091,29
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.946875,0.1025,62.861604166666645,2091,29
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.946875,0.1025,62.86202083333331,2091,29
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.946875,0.1025,62.86243749999998,2091,29
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.946875,0.1025,62.862854166666644,2091,29
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.946875,0.1025,62.86327083333331,2091,29
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.946875,0.1025,62.863687499999976,2091,29
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.946875,0.1025,62.86410416666664,2091,29
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.946875,0.1025,62.86452083333331,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0004166666666661456, random_state=0)",0.0004166666666661456,0.94625,0.1025,62.864937499999975,2089,29
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.94,0.1025,62.86535416666664,2069,29
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.94,0.1025,62.86577083333331,2069,29
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.94,0.1025,62.866187499999974,2069,29
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.94,0.1025,62.86660416666664,2069,29
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.94,0.1025,62.86702083333331,2069,29
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.94,0.1025,62.86743749999997,2069,29
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.94,0.1025,62.86785416666664,2069,29
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.94,0.1025,62.868270833333305,2069,29
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.94,0.1025,62.86868749999997,2069,29
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.94,0.1025,62.86910416666664,2069,29
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.9375,0.1025,62.86957291666664,2061,29
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.9375,0.1025,62.870041666666644,2061,29
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.9375,0.1025,62.87051041666665,2061,29
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.9375,0.1025,62.87097916666665,2061,29
"DecisionTreeRegressor(ccp_alpha=0.0004999999999995453, random_state=0)",0.0004999999999995453,0.934375,0.105,62.87147916666665,2051,29
"DecisionTreeRegressor(ccp_alpha=0.0004999999999995453, random_state=0)",0.0004999999999995453,0.934375,0.105,62.871979166666655,2051,29
