models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.97625,0.1125,42.005010822510805,2141,26
"DecisionTreeRegressor(ccp_alpha=0.0002380952380960366, random_state=0)",0.0002380952380960366,0.975625,0.1125,42.0052489177489,2139,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.0055614177489,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.0058739177489,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.0061864177489,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.0064989177489,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.0068114177489,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.0071239177489,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.0074364177489,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.0077489177489,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.0080614177489,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.0083739177489,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.0086864177489,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.0089989177489,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.0093114177489,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.0096239177489,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.0099364177489,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.010248917748896,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.010561417748896,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.010873917748896,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.011186417748895,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.011498917748895,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.011811417748895,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.012123917748895,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.012436417748894,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.012748917748894,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.013061417748894,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.01337391774889,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.01368641774889,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.01399891774889,2081,26
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9575,0.105,42.01431141774889,2081,26
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.953125,0.1025,42.01472808441556,2067,26
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.953125,0.1025,42.015144751082225,2067,26
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.953125,0.1025,42.01556141774889,2067,26
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.953125,0.1025,42.01597808441556,2067,26
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.953125,0.1025,42.016394751082224,2067,26
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.953125,0.1025,42.01681141774889,2067,26
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.953125,0.1025,42.01722808441556,2067,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.945625,0.1025,42.01764475108222,2043,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.945625,0.1025,42.01806141774889,2043,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.945625,0.1025,42.018478084415555,2043,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.945625,0.1025,42.01889475108222,2043,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.945625,0.1025,42.01931141774889,2043,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.945625,0.1025,42.019728084415554,2043,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.945625,0.1025,42.02014475108222,2043,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.945625,0.1025,42.02056141774889,2043,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.945625,0.1025,42.02097808441555,2043,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.945625,0.1025,42.02139475108222,2043,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.945625,0.1025,42.021811417748886,2043,26
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.945625,0.1025,42.02222808441555,2043,26
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.941875,0.1,42.022696834415555,2031,26
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.941875,0.1,42.02316558441556,2031,26
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.941875,0.1,42.02363433441556,2031,26
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.941875,0.1,42.024103084415565,2031,26
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.941875,0.1,42.02457183441557,2031,26
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.941875,0.1,42.02504058441557,2031,26
"DecisionTreeRegressor(ccp_alpha=0.0004999999999995453, random_state=0)",0.0004999999999995453,0.94125,0.1,42.02554058441557,2029,26
"DecisionTreeRegressor(ccp_alpha=0.0005000000000052296, random_state=0)",0.0005000000000052296,0.940625,0.1,42.026040584415576,2027,26
"DecisionTreeRegressor(ccp_alpha=0.0005208333333257542, random_state=0)",0.0005208333333257542,0.939375,0.1,42.0265614177489,2023,26
"DecisionTreeRegressor(ccp_alpha=0.0005208333333257542, random_state=0)",0.0005208333333257542,0.939375,0.1,42.02708225108223,2023,26
"DecisionTreeRegressor(ccp_alpha=0.0005208333333393966, random_state=0)",0.0005208333333393966,0.93875,0.1,42.02760308441557,2021,26
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.93375,0.0975,42.02822808441557,2013,26
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.93375,0.0975,42.028853084415566,2013,26
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.93375,0.0975,42.029478084415565,2013,26
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.93375,0.0975,42.030103084415565,2013,26
"DecisionTreeRegressor(ccp_alpha=0.0007499999999936336, random_state=0)",0.0007499999999936336,0.9325,0.0975,42.03085308441556,2011,26
"DecisionTreeRegressor(ccp_alpha=0.0007500000000050022, random_state=0)",0.0007500000000050022,0.93125,0.0975,42.031603084415565,2009,26
"DecisionTreeRegressor(ccp_alpha=0.0008333333333348492, random_state=0)",0.0008333333333348492,0.92875,0.0975,42.0324364177489,2005,26
"DecisionTreeRegressor(ccp_alpha=0.0008333333333348492, random_state=0)",0.0008333333333348492,0.92875,0.0975,42.03326975108223,2005,26
"DecisionTreeRegressor(ccp_alpha=0.0008928571428589294, random_state=0)",0.0008928571428589294,0.9275,0.0975,42.03416260822509,2003,26
"DecisionTreeRegressor(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.924375,0.0975,42.03510010822509,1999,26
"DecisionTreeRegressor(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.924375,0.0975,42.03603760822509,1999,26
