models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.96625,0.1075,106.06481610576924,2179,31
"DecisionTreeRegressor(ccp_alpha=0.00030681818181932385, random_state=0)",0.00030681818181932385,0.96625,0.1075,106.06512292395107,2177,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.06543542395107,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.06574792395108,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.06606042395109,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.06637292395109,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.0666854239511,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.0669979239511,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.06731042395111,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.06762292395112,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.06793542395113,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.06824792395113,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.06856042395114,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.06887292395115,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.06918542395115,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.06949792395116,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.06981042395117,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.07012292395117,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.07043542395118,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.07074792395119,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.0710604239512,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.0713729239512,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.07168542395121,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.07199792395122,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.07231042395122,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.07262292395123,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.07293542395124,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.07324792395124,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.07356042395125,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.07387292395126,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.07418542395126,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.07449792395127,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.07481042395128,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.94625,0.105,106.07512292395128,2113,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.939375,0.105,106.07595625728462,2091,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.939375,0.105,106.07637292395128,2091,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.939375,0.105,106.07720625728462,2091,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.939375,0.105,106.07762292395128,2091,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.939375,0.105,106.07803959061795,2091,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.939375,0.105,106.07845625728461,2091,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.939375,0.105,106.07887292395128,2091,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.939375,0.105,106.07928959061795,2091,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.939375,0.105,106.07970625728461,2091,31
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.93375,0.105,106.08012292395128,2073,31
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.93375,0.105,106.08053959061795,2073,31
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.93375,0.105,106.08095625728461,2073,31
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.93375,0.105,106.08137292395128,2073,31
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.93375,0.105,106.08178959061794,2073,31
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.93375,0.105,106.08220625728461,2073,31
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.93375,0.105,106.08262292395128,2073,31
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.93375,0.105,106.08303959061794,2073,31
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.93375,0.105,106.08345625728461,2073,31
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.928125,0.11,106.0839250072846,2055,31
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.928125,0.11,106.0843937572846,2055,31
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.928125,0.11,106.0848625072846,2055,31
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.928125,0.11,106.0853312572846,2055,31
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.928125,0.11,106.08580000728459,2055,31
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.928125,0.11,106.08626875728459,2055,31
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.928125,0.11,106.08673750728458,2055,31
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.928125,0.11,106.08720625728458,2055,31
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.928125,0.11,106.08767500728457,2055,31
"DecisionTreeRegressor(ccp_alpha=0.0005000000000052296, random_state=0)",0.0005000000000052296,0.9275,0.11,106.08817500728458,2053,31
"DecisionTreeRegressor(ccp_alpha=0.0005208333333342807, random_state=0)",0.0005208333333342807,0.926875,0.11,106.08869584061792,2051,31
"DecisionTreeRegressor(ccp_alpha=0.0006026785714323068, random_state=0)",0.0006026785714323068,0.925625,0.11,106.08929851918934,2049,31
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.913125,0.11,106.08992351918934,2029,31
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.913125,0.11,106.09054851918934,2029,31
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.913125,0.11,106.09117351918934,2029,31
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.913125,0.11,106.09179851918934,2029,31
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.913125,0.11,106.09242351918934,2029,31
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.913125,0.11,106.09304851918934,2029,31
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.913125,0.11,106.09367351918934,2029,31
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.913125,0.11,106.09429851918934,2029,31
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.913125,0.11,106.09492351918934,2029,31
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.913125,0.11,106.09554851918934,2029,31
"DecisionTreeRegressor(ccp_alpha=0.0007499999999936336, random_state=0)",0.0007499999999936336,0.911875,0.11,106.09629851918933,2027,31
"DecisionTreeRegressor(ccp_alpha=0.0007500000000050022, random_state=0)",0.0007500000000050022,0.904375,0.11,106.09704851918934,2015,31
"DecisionTreeRegressor(ccp_alpha=0.0007500000000050022, random_state=0)",0.0007500000000050022,0.904375,0.11,106.09779851918935,2015,31
"DecisionTreeRegressor(ccp_alpha=0.0007500000000050022, random_state=0)",0.0007500000000050022,0.904375,0.11,106.09854851918936,2015,31
"DecisionTreeRegressor(ccp_alpha=0.0007500000000050022, random_state=0)",0.0007500000000050022,0.904375,0.11,106.09929851918938,2015,31
"DecisionTreeRegressor(ccp_alpha=0.0007500000000050022, random_state=0)",0.0007500000000050022,0.904375,0.11,106.10004851918939,2015,31
"DecisionTreeRegressor(ccp_alpha=0.0007500000000050022, random_state=0)",0.0007500000000050022,0.904375,0.11,106.1007985191894,2015,31
"DecisionTreeRegressor(ccp_alpha=0.000833333333328028, random_state=0)",0.000833333333328028,0.900625,0.11,106.10163185252273,2009,31
"DecisionTreeRegressor(ccp_alpha=0.000833333333328028, random_state=0)",0.000833333333328028,0.900625,0.11,106.10246518585606,2009,31
"DecisionTreeRegressor(ccp_alpha=0.000833333333328028, random_state=0)",0.000833333333328028,0.900625,0.11,106.1032985191894,2009,31
"DecisionTreeRegressor(ccp_alpha=0.0008333333333348492, random_state=0)",0.0008333333333348492,0.899375,0.11,106.10413185252273,2007,31
"DecisionTreeRegressor(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.8975,0.11,106.10506935252273,2005,31
