models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.985,0.1,32.7659375,2187,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97125,0.1,32.76625,2143,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97125,0.1,32.766875,2143,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97125,0.1,32.7671875,2143,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97125,0.1,32.7675,2143,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97125,0.1,32.7678125,2143,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97125,0.1,32.768125,2143,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97125,0.1,32.7684375,2143,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97125,0.1,32.76875,2143,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97125,0.1,32.7690625,2143,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97125,0.1,32.769375,2143,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97125,0.1,32.769687499999996,2143,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97125,0.1,32.769999999999996,2143,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97125,0.1,32.770312499999996,2143,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97125,0.1,32.770624999999995,2143,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97125,0.1,32.770937499999995,2143,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97125,0.1,32.771249999999995,2143,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97125,0.1,32.771562499999995,2143,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97125,0.1,32.771874999999994,2143,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97125,0.1,32.772187499999994,2143,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97125,0.1,32.772499999999994,2143,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97125,0.1,32.77281249999999,2143,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9625,0.0975,32.77322916666666,2115,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9625,0.0975,32.773645833333326,2115,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9625,0.0975,32.77406249999999,2115,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9625,0.0975,32.77447916666666,2115,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9625,0.0975,32.774895833333325,2115,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9625,0.0975,32.77531249999999,2115,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9625,0.0975,32.77572916666666,2115,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9625,0.0975,32.776145833333324,2115,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9625,0.0975,32.77656249999999,2115,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9625,0.0975,32.776979166666656,2115,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9625,0.0975,32.77739583333332,2115,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9625,0.0975,32.77781249999999,2115,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9625,0.0975,32.778229166666655,2115,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.9625,0.0975,32.77864583333332,2115,31
"DecisionTreeRegressor(ccp_alpha=0.0004166666666661456, random_state=0)",0.0004166666666661456,0.961875,0.0975,32.77906249999999,2113,31
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.958125,0.0975,32.779479166666654,2101,31
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.958125,0.0975,32.77989583333332,2101,31
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.958125,0.0975,32.78031249999999,2101,31
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.958125,0.0975,32.78072916666665,2101,31
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.958125,0.0975,32.78114583333332,2101,31
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.958125,0.0975,32.781562499999986,2101,31
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.95125,0.0975,32.78203124999999,2083,31
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.95125,0.0975,32.78296874999999,2083,31
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.95125,0.0975,32.78390624999999,2083,31
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.95125,0.0975,32.78437499999999,2083,31
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.95125,0.0975,32.78484374999999,2083,31
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.95125,0.0975,32.785312499999996,2083,31
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.95125,0.0975,32.78578125,2083,31
"DecisionTreeRegressor(ccp_alpha=0.0004999999999881766, random_state=0)",0.0004999999999881766,0.950625,0.0975,32.78628124999999,2081,31
"DecisionTreeRegressor(ccp_alpha=0.0004999999999995453, random_state=0)",0.0004999999999995453,0.949375,0.0975,32.78678124999999,2077,31
"DecisionTreeRegressor(ccp_alpha=0.0004999999999995453, random_state=0)",0.0004999999999995453,0.949375,0.0975,32.78728124999999,2077,31
"DecisionTreeRegressor(ccp_alpha=0.0005000000000009664, random_state=0)",0.0005000000000009664,0.94875,0.0975,32.787781249999995,2075,31
"DecisionTreeRegressor(ccp_alpha=0.0005208333333257542, random_state=0)",0.0005208333333257542,0.948125,0.0975,32.78830208333332,2073,30
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.946875,0.0975,32.78892708333332,2071,30
"DecisionTreeRegressor(ccp_alpha=0.000703125, random_state=0)",0.000703125,0.944375,0.0975,32.78963020833332,2067,30
"DecisionTreeRegressor(ccp_alpha=0.000703125, random_state=0)",0.000703125,0.944375,0.0975,32.79033333333332,2067,30
"DecisionTreeRegressor(ccp_alpha=0.0007499999999936336, random_state=0)",0.0007499999999936336,0.936875,0.0975,32.79108333333332,2055,30
"DecisionTreeRegressor(ccp_alpha=0.0007499999999936336, random_state=0)",0.0007499999999936336,0.936875,0.0975,32.791833333333315,2055,30
"DecisionTreeRegressor(ccp_alpha=0.0007499999999936336, random_state=0)",0.0007499999999936336,0.936875,0.0975,32.79258333333331,2055,30
"DecisionTreeRegressor(ccp_alpha=0.0007499999999936336, random_state=0)",0.0007499999999936336,0.936875,0.0975,32.79333333333331,2055,30
"DecisionTreeRegressor(ccp_alpha=0.0007499999999936336, random_state=0)",0.0007499999999936336,0.936875,0.0975,32.794083333333305,2055,30
"DecisionTreeRegressor(ccp_alpha=0.0007499999999936336, random_state=0)",0.0007499999999936336,0.936875,0.0975,32.7948333333333,2055,30
"DecisionTreeRegressor(ccp_alpha=0.0007500000000050022, random_state=0)",0.0007500000000050022,0.931875,0.0975,32.795583333333305,2047,30
"DecisionTreeRegressor(ccp_alpha=0.0007500000000050022, random_state=0)",0.0007500000000050022,0.931875,0.0975,32.79633333333331,2047,30
"DecisionTreeRegressor(ccp_alpha=0.0007500000000050022, random_state=0)",0.0007500000000050022,0.931875,0.0975,32.79708333333331,2047,30
"DecisionTreeRegressor(ccp_alpha=0.0007500000000050022, random_state=0)",0.0007500000000050022,0.931875,0.0975,32.797833333333315,2047,30
"DecisionTreeRegressor(ccp_alpha=0.000833333333328028, random_state=0)",0.000833333333328028,0.93,0.1,32.79866666666664,2041,30
"DecisionTreeRegressor(ccp_alpha=0.000833333333328028, random_state=0)",0.000833333333328028,0.93,0.1,32.8003333333333,2041,30
"DecisionTreeRegressor(ccp_alpha=0.0008928571428589294, random_state=0)",0.0008928571428589294,0.9275,0.1,32.80122619047616,2037,30
"DecisionTreeRegressor(ccp_alpha=0.0008928571428589294, random_state=0)",0.0008928571428589294,0.9275,0.1,32.802119047619016,2037,30
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.9125,0.1,32.803369047619015,2013,30
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.9125,0.1,32.80461904761901,2013,30
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.9125,0.1,32.80586904761901,2013,30
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.9125,0.1,32.80711904761901,2013,30
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.9125,0.1,32.80836904761901,2013,30
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.9125,0.1,32.80961904761901,2013,30
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.9125,0.1,32.81086904761901,2013,30
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.9125,0.1,32.81211904761901,2013,30
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.9125,0.1,32.813369047619005,2013,30
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.9125,0.1,32.814619047619004,2013,30
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.9125,0.1,32.815869047619,2013,30
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.9125,0.1,32.817119047619,2013,30
"DecisionTreeRegressor(ccp_alpha=0.001666666666656056, random_state=0)",0.001666666666656056,0.910625,0.1,32.81878571428566,2011,30
"DecisionTreeRegressor(ccp_alpha=0.001875, random_state=0)",0.001875,0.909375,0.1,32.82066071428566,2007,30
"DecisionTreeRegressor(ccp_alpha=0.001875, random_state=0)",0.001875,0.909375,0.1,32.82253571428566,2007,30
"DecisionTreeRegressor(ccp_alpha=0.0020000000000003127, random_state=0)",0.0020000000000003127,0.90875,0.1,32.82453571428566,2005,30
"DecisionTreeRegressor(ccp_alpha=0.0020833333333337123, random_state=0)",0.0020833333333337123,0.908125,0.1,32.82661904761899,2003,30
"DecisionTreeRegressor(ccp_alpha=0.0025148809523818727, random_state=0)",0.0025148809523818727,0.9075,0.1,32.82913392857137,2001,30
"DecisionTreeRegressor(ccp_alpha=0.0025312499999972714, random_state=0)",0.0025312499999972714,0.906875,0.1,32.83166517857137,1999,30
"DecisionTreeRegressor(ccp_alpha=0.0026041666666660745, random_state=0)",0.0026041666666660745,0.90625,0.1,32.834269345238035,1997,30
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.9,0.1,32.83708184523803,1987,30
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.9,0.1,32.83989434523803,1987,30
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.9,0.1,32.84270684523803,1987,30
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.9,0.1,32.845519345238024,1987,30
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.9,0.1,32.84833184523802,1987,30
"DecisionTreeRegressor(ccp_alpha=0.00375, random_state=0)",0.00375,0.893125,0.0975,32.85208184523802,1979,30
"DecisionTreeRegressor(ccp_alpha=0.00375, random_state=0)",0.00375,0.893125,0.0975,32.855831845238015,1979,30
"DecisionTreeRegressor(ccp_alpha=0.00375, random_state=0)",0.00375,0.893125,0.0975,32.85958184523801,1979,30
"DecisionTreeRegressor(ccp_alpha=0.00375, random_state=0)",0.00375,0.893125,0.0975,32.86333184523801,1979,30
"DecisionTreeRegressor(ccp_alpha=0.0038095238095240806, random_state=0)",0.0038095238095240806,0.889375,0.0975,32.86714136904753,1977,30
"DecisionTreeRegressor(ccp_alpha=0.0048214285714294645, random_state=0)",0.0048214285714294645,0.88875,0.0975,32.87196279761896,1975,30
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.881875,0.0975,32.876962797618965,1963,30
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.881875,0.0975,32.88196279761897,1963,30
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.881875,0.0975,32.88696279761897,1963,30
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.881875,0.0975,32.89196279761897,1963,30
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.881875,0.0975,32.896962797618976,1963,30
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.881875,0.0975,32.90196279761898,1963,30
"DecisionTreeRegressor(ccp_alpha=0.005333333333342125, random_state=0)",0.005333333333342125,0.88125,0.0975,32.90729613095232,1961,30
"DecisionTreeRegressor(ccp_alpha=0.00666666666665833, random_state=0)",0.00666666666665833,0.879375,0.0975,32.91396279761898,1959,30
"DecisionTreeRegressor(ccp_alpha=0.0066666666666664294, random_state=0)",0.0066666666666664294,0.8775,0.0975,32.920629464285646,1957,30
"DecisionTreeRegressor(ccp_alpha=0.006666666666667425, random_state=0)",0.006666666666667425,0.8775,0.0975,32.927296130952314,1955,30
