models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.99375,0.09,0.0,2225,31
"DecisionTreeRegressor(ccp_alpha=0.00020833333333349912, random_state=0)",0.00020833333333349912,0.994375,0.0925,0.00041666666666699824,2221,31
"DecisionTreeRegressor(ccp_alpha=0.0002500000000026148, random_state=0)",0.0002500000000026148,0.99375,0.0925,0.0009166666666722278,2217,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.971875,0.09,0.001229166666672228,2147,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.971875,0.09,0.001541666666672228,2147,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.971875,0.09,0.001854166666672228,2147,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.971875,0.09,0.002166666666672228,2147,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.971875,0.09,0.002479166666672228,2147,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.971875,0.09,0.0027916666666722278,2147,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.971875,0.09,0.0031041666666722276,2147,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.971875,0.09,0.0034166666666722275,2147,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.971875,0.09,0.0037291666666722273,2147,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.971875,0.09,0.004041666666672227,2147,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.971875,0.09,0.004354166666672227,2147,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.971875,0.09,0.004666666666672228,2147,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.971875,0.09,0.004979166666672228,2147,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.971875,0.09,0.005291666666672228,2147,30
