models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9975,0.11,0.0,2213,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.0003125,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.000625,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.0009375,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.00125,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.0015625,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.0018750000000000001,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.0021875,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.0025,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.0028125,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.0031249999999999997,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.0034374999999999996,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.0037499999999999994,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.004062499999999999,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.0043749999999999995,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.0046875,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.005,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.0053125,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.005625000000000001,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.005937500000000001,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.006250000000000001,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.0065625000000000015,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.006875000000000002,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.007187500000000002,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.007500000000000002,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.007812500000000002,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.008125000000000002,2143,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975625,0.11,0.008437500000000002,2143,39
