         3241470150 function calls (3100549618 primitive calls) in 2764.390 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      105    0.282    0.003 2039.572   19.424 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/alt_classification/decision_tree_alternate/decision_tree_alternate.py:96(get_best_model)
    94111    0.408    0.000 1590.495    0.017 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/base.py:1456(wrapper)
    94111    1.657    0.000 1572.866    0.017 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_classes.py:1347(fit)
    94111 1281.346    0.014 1571.209    0.017 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_classes.py:231(_fit)
  1513651   18.293    0.000  609.720    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/validation.py:721(check_array)
   187802    1.070    0.000  540.616    0.003 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/alt_classification/decision_tree_alternate/decision_tree_alternate.py:86(score)
      105    0.013    0.000  484.120    4.611 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/alt_classification/decision_tree_alternate/decision_tree_alternate.py:17(__init__)
      105    0.008    0.000  483.108    4.601 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/parsers/readers.py:868(read_csv)
      105    0.412    0.004  483.096    4.601 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/parsers/readers.py:583(_read)
      105    0.006    0.000  482.520    4.595 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/parsers/readers.py:1907(read)
      105   32.965    0.314  479.220    4.564 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:222(read)
 84000000   69.027    0.000  444.574    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/ast.py:54(literal_eval)
189062/188222    1.322    0.000  354.926    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/_param_validation.py:182(wrapper)
   282018    1.223    0.000  335.710    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/base.py:537(_validate_data)
  7518884    7.870    0.000  325.680    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/generic.py:6432(dtypes)
   187802    0.646    0.000  325.037    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/metrics/_classification.py:151(accuracy_score)
   188747    0.797    0.000  318.050    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/metrics/_classification.py:72(_check_targets)
8463249/8463144   42.687    0.000  316.651    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/series.py:389(__init__)
      105    0.117    0.001  294.927    2.809 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/alt_classification/decision_tree_alternate/decision_tree_alternate.py:118(<listcomp>)
 84000000   21.611    0.000  264.533    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/ast.py:33(parse)
      105    0.121    0.001  245.927    2.342 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/alt_classification/decision_tree_alternate/decision_tree_alternate.py:119(<listcomp>)
      105    0.023    0.000  240.835    2.294 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/alt_classification/decision_tree_alternate/decision_tree_alternate.py:208(run_model)
 84000000  238.558    0.000  238.558    0.000 {built-in method builtins.compile}
 49993535    9.248    0.000  237.516    0.000 {built-in method builtins.hasattr}
   379384    3.821    0.000  215.477    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/multiclass.py:228(type_of_target)
   187907   19.722    0.000  197.722    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_classes.py:505(predict)
  3759400    1.682    0.000  177.505    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/accessor.py:220(__get__)
   187907    0.331    0.000  176.216    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_classes.py:482(_validate_X_predict)
  3759400    1.241    0.000  175.823    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/arrays/sparse/accessor.py:29(__init__)
  3759400    4.669    0.000  174.583    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/arrays/sparse/accessor.py:246(_validate)
  1892405    2.342    0.000  119.182    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/_array_api.py:725(_asarray_with_order)
8574774/7352822   55.625    0.000  113.109    0.000 {built-in method numpy.asarray}
    94111  106.583    0.001  109.290    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_classes.py:609(_prune_tree)
13353724/11474024    8.376    0.000  107.072    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/generic.py:6284(__getattr__)
168000000/84000000   86.233    0.000  100.886    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/ast.py:84(_convert)
   379384    1.356    0.000  100.295    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/multiclass.py:128(is_multilabel)
   378754    0.772    0.000   96.413    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/validation.py:1319(column_or_1d)
