models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.990625,0.12,19.7825,2173,30
"DecisionTreeRegressor(ccp_alpha=0.000234375, random_state=0)",0.000234375,0.990625,0.12,19.78296875,2169,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97375,0.1225,19.783281249999998,2115,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97375,0.1225,19.783593749999998,2115,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97375,0.1225,19.783906249999998,2115,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97375,0.1225,19.784218749999997,2115,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97375,0.1225,19.784531249999997,2115,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97375,0.1225,19.784843749999997,2115,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97375,0.1225,19.785156249999996,2115,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97375,0.1225,19.785468749999996,2115,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97375,0.1225,19.785781249999996,2115,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97375,0.1225,19.786093749999996,2115,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97375,0.1225,19.786406249999995,2115,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97375,0.1225,19.786718749999995,2115,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97375,0.1225,19.787031249999995,2115,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97375,0.1225,19.787343749999994,2115,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.97375,0.1225,19.787656249999994,2115,29
