models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.994375,0.0925,13.73697916666666,2235,31
"DecisionTreeRegressor(ccp_alpha=0.000234375, random_state=0)",0.000234375,0.99375,0.0925,13.73744791666666,2231,31
"DecisionTreeRegressor(ccp_alpha=0.0002604166666628771, random_state=0)",0.0002604166666628771,0.993125,0.0925,13.737968749999986,2227,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.979375,0.09,13.738281249999986,2183,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.979375,0.09,13.738593749999986,2183,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.979375,0.09,13.738906249999985,2183,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.979375,0.09,13.739218749999985,2183,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.979375,0.09,13.739531249999985,2183,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.979375,0.09,13.739843749999984,2183,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.979375,0.09,13.740156249999984,2183,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.979375,0.09,13.740468749999984,2183,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.979375,0.09,13.740781249999984,2183,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.979375,0.09,13.741093749999983,2183,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.979375,0.09,13.741406249999983,2183,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.979375,0.09,13.741718749999983,2183,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.979375,0.09,13.742031249999982,2183,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.979375,0.09,13.742343749999982,2183,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.979375,0.09,13.742656249999982,2183,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.979375,0.09,13.742968749999982,2183,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.979375,0.09,13.743281249999981,2183,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.979375,0.09,13.743593749999981,2183,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.979375,0.09,13.74390624999998,2183,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.979375,0.09,13.74421874999998,2183,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.979375,0.09,13.74453124999998,2183,31
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.979375,0.09,13.74484374999998,2183,31
"DecisionTreeRegressor(ccp_alpha=0.0003750000000025011, random_state=0)",0.0003750000000025011,0.978125,0.09,13.745593749999985,2179,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.97125,0.09,13.74601041666665,2157,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.97125,0.09,13.746427083333314,2157,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.97125,0.09,13.746843749999979,2157,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.97125,0.09,13.747260416666643,2157,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.97125,0.09,13.747677083333308,2157,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.97125,0.09,13.748093749999972,2157,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.97125,0.09,13.7489270833333,2157,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.97125,0.09,13.749343749999964,2157,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.97125,0.09,13.749760416666629,2157,31
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.97125,0.09,13.750177083333293,2157,31
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.9625,0.09,13.750593749999961,2129,31
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.9625,0.09,13.75101041666663,2129,31
