models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.995,0.1025,0.0,2243,30
"DecisionTreeRegressor(ccp_alpha=0.0002604166666628771, random_state=0)",0.0002604166666628771,0.994375,0.1025,0.0005208333333257542,2239,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.0008333333333257543,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.0011458333333257543,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.0014583333333257544,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.0017708333333257545,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.0020833333333257543,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.002395833333325754,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.002708333333325754,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.003020833333325754,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.0033333333333257537,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.0036458333333257535,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.003958333333325754,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.004270833333325754,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.004583333333325754,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.004895833333325755,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.005208333333325755,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.005520833333325755,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.0058333333333257555,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.006145833333325756,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.006458333333325756,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.006770833333325756,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.007083333333325757,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.007395833333325757,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.007708333333325757,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.008020833333325757,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.008333333333325758,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.008645833333325758,2185,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9775,0.1,0.008958333333325758,2185,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.970625,0.1025,0.009374999999989772,2163,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.970625,0.1025,0.009791666666653785,2163,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.970625,0.1025,0.010208333333317799,2163,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.970625,0.1025,0.010624999999981812,2163,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.970625,0.1025,0.011041666666645826,2163,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.970625,0.1025,0.01145833333330984,2163,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.970625,0.1025,0.012291666666637868,2163,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.970625,0.1025,0.012708333333301881,2163,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.970625,0.1025,0.013124999999965895,2163,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.970625,0.1025,0.013541666666629908,2163,30
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.965,0.1025,0.013958333333297332,2145,29
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.965,0.1025,0.014374999999964756,2145,29
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.965,0.1025,0.01479166666663218,2145,29
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.965,0.1025,0.015208333333299604,2145,29
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.965,0.1025,0.015624999999967028,2145,29
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.965,0.1025,0.016041666666634452,2145,29
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.965,0.1025,0.016458333333301878,2145,29
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.965,0.1025,0.016874999999969303,2145,29
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.965,0.1025,0.01729166666663673,2145,29
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.96,0.1,0.01776041666663673,2129,29
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.96,0.1,0.01822916666663673,2129,29
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.96,0.1,0.01869791666663673,2129,29
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.96,0.1,0.01916666666663673,2129,29
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.96,0.1,0.01963541666663673,2129,29
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.96,0.1,0.02010416666663673,2129,29
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.96,0.1,0.020572916666636732,2129,29
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.96,0.1,0.021041666666636732,2129,29
"DecisionTreeRegressor(ccp_alpha=0.0004999999999995453, random_state=0)",0.0004999999999995453,0.959375,0.1,0.02154166666663628,2127,29
"DecisionTreeRegressor(ccp_alpha=0.0005000000000052296, random_state=0)",0.0005000000000052296,0.95875,0.1,0.022041666666641507,2125,29
"DecisionTreeRegressor(ccp_alpha=0.0005208333333342807, random_state=0)",0.0005208333333342807,0.958125,0.1,0.02256249999997579,2123,29
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.954375,0.1,0.02318749999997579,2117,29
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.954375,0.1,0.02381249999997579,2117,29
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.954375,0.1,0.02443749999997579,2117,29
"DecisionTreeRegressor(ccp_alpha=0.0006510416666742457, random_state=0)",0.0006510416666742457,0.953125,0.1,0.025088541666650036,2115,29
"DecisionTreeRegressor(ccp_alpha=0.0007499999999936336, random_state=0)",0.0007499999999936336,0.951875,0.1,0.02583854166664367,2113,29
