models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.991875,0.11,0.0,2231,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.976875,0.1125,0.0003125,2183,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.976875,0.1125,0.000625,2183,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.976875,0.1125,0.0009375,2183,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.976875,0.1125,0.00125,2183,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.976875,0.1125,0.0015625,2183,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.976875,0.1125,0.0018750000000000001,2183,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.976875,0.1125,0.0021875,2183,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.976875,0.1125,0.0025,2183,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.976875,0.1125,0.0028125,2183,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.976875,0.1125,0.0031249999999999997,2183,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.976875,0.1125,0.0034374999999999996,2183,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.976875,0.1125,0.0037499999999999994,2183,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.976875,0.1125,0.004062499999999999,2183,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.976875,0.1125,0.0043749999999999995,2183,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.976875,0.1125,0.0046875,2183,32
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.976875,0.1125,0.005,2183,32
