models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.97625,0.0975,30.90462215909092,2263,39
"DecisionTreeRegressor(ccp_alpha=0.0002604166666628771, random_state=0)",0.0002604166666628771,0.975625,0.0975,30.905142992424246,2259,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.905455492424245,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.905767992424245,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.906080492424245,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.906392992424244,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.906705492424244,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.907017992424244,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.907330492424244,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.907642992424243,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.907955492424243,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.908267992424243,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.908580492424242,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.908892992424242,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.909205492424242,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.90951799242424,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.90983049242424,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.91014299242424,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.91045549242424,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.91076799242424,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.91108049242424,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.91139299242424,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.91170549242424,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.91201799242424,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.91233049242424,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.91264299242424,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.91295549242424,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.913267992424238,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.913580492424238,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.913892992424238,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.914205492424237,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.914517992424237,2181,39
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.95125,0.1,30.914830492424237,2181,39
