models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.97375,0.08,45.28393371212122,2231,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.28424621212122,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.28455871212122,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.28487121212122,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.28518371212122,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.28549621212122,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.28580871212122,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.286121212121216,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.286433712121216,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.286746212121216,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.287058712121215,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.287371212121215,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.287683712121215,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.287996212121215,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.288308712121214,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.288621212121214,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.288933712121214,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.28924621212121,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.28955871212121,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.28987121212121,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.29018371212121,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.29049621212121,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.29080871212121,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.29112121212121,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.29143371212121,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.29174621212121,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.29205871212121,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.29237121212121,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.29268371212121,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.29299621212121,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.29330871212121,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.29362121212121,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.29393371212121,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.29424621212121,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.29455871212121,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.951875,0.0775,45.29487121212121,2161,47
"DecisionTreeRegressor(ccp_alpha=0.0003749999999968168, random_state=0)",0.0003749999999968168,0.950625,0.0775,45.295621212121205,2157,47
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.94625,0.08,45.29603787878787,2143,47
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.94625,0.08,45.29645454545454,2143,47
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.94625,0.08,45.296871212121204,2143,47
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.94625,0.08,45.29728787878787,2143,47
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.94625,0.08,45.297704545454536,2143,47
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.94625,0.08,45.2981212121212,2143,47
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.94625,0.08,45.29853787878787,2143,47
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.940625,0.08,45.298954545454535,2125,47
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.940625,0.08,45.2993712121212,2125,47
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.940625,0.08,45.29978787878787,2125,47
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.940625,0.08,45.300204545454534,2125,47
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.940625,0.08,45.3006212121212,2125,47
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.940625,0.08,45.30103787878787,2125,47
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.940625,0.08,45.30145454545453,2125,47
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.940625,0.08,45.3018712121212,2125,47
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.940625,0.08,45.302287878787865,2125,47
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.935625,0.08,45.30275662878787,2109,47
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.935625,0.08,45.30322537878787,2109,47
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.935625,0.08,45.303694128787875,2109,47
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.935625,0.08,45.30416287878788,2109,47
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.935625,0.08,45.30463162878788,2109,47
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.935625,0.08,45.305100378787884,2109,47
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.935625,0.08,45.30556912878789,2109,47
