models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.978125,0.09,88.96367757936505,2161,38
"DecisionTreeRegressor(ccp_alpha=0.0002734375, random_state=0)",0.0002734375,0.9775,0.09,88.96422445436505,2157,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.96453695436506,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.96484945436507,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.96516195436507,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.96547445436508,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.96578695436509,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.9660994543651,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.9664119543651,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.9667244543651,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.96703695436511,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.96734945436512,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.96766195436513,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.96797445436513,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.96828695436514,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.96859945436515,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.96891195436515,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.96922445436516,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.96953695436517,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.96984945436517,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.97016195436518,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.97047445436519,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.9707869543652,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.9710994543652,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.97141195436521,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.97172445436522,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.97203695436522,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.97234945436523,2103,38
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.09,88.97266195436524,2103,38
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.955625,0.09,88.9730786210319,2087,38
