models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.97875,0.1025,75.11366666666667,2149,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.11397916666668,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.11429166666669,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.1146041666667,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.1149166666667,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.11522916666671,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.11554166666672,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.11616666666671,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.11647916666672,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.11679166666673,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.11710416666673,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.11741666666674,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.11772916666675,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.11804166666676,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.11835416666676,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.11866666666677,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.11897916666678,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.11929166666678,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.11960416666679,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.1199166666668,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.1202291666668,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.12054166666681,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.12085416666682,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.12116666666682,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.12147916666683,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.12179166666684,2091,29
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.960625,0.1025,75.12210416666684,2091,29
