models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9775,0.12,89.59224905303026,2127,24
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.96625,0.1225,89.59256155303027,2091,23
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.96625,0.1225,89.59287405303027,2091,23
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.96625,0.1225,89.59318655303028,2091,23
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.96625,0.1225,89.59349905303029,2091,23
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.96625,0.1225,89.59381155303029,2091,23
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.96625,0.1225,89.5941240530303,2091,23
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.96625,0.1225,89.5944365530303,2091,23
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.96625,0.1225,89.59474905303031,2091,23
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.96625,0.1225,89.59506155303032,2091,23
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.96625,0.1225,89.59537405303033,2091,23
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.96625,0.1225,89.59568655303033,2091,23
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.96625,0.1225,89.59599905303034,2091,23
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.96625,0.1225,89.59631155303035,2091,23
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.96625,0.1225,89.59662405303035,2091,23
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.96625,0.1225,89.59693655303036,2091,23
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.96625,0.1225,89.59724905303037,2091,23
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.96625,0.1225,89.59756155303037,2091,23
