models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.97125,0.0825,82.32025521353647,2133,34
"DecisionTreeRegressor(ccp_alpha=0.0002604166666628771, random_state=0)",0.0002604166666628771,0.970625,0.08,82.3207760468698,2129,34
"DecisionTreeRegressor(ccp_alpha=0.0002812499999947704, random_state=0)",0.0002812499999947704,0.97,0.08,82.32133854686978,2125,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.32165104686979,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.3219635468698,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.3222760468698,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.32258854686981,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.32290104686982,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.32321354686982,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.32352604686983,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.32383854686984,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.32415104686984,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.32446354686985,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.32477604686986,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.32508854686986,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.32540104686987,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.32571354686988,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.32602604686988,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.32633854686989,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.3266510468699,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.3269635468699,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.32727604686991,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.32758854686992,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.32790104686993,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.32821354686993,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.32852604686994,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.32883854686995,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.954375,0.0775,82.32915104686995,2075,34
"DecisionTreeRegressor(ccp_alpha=0.0003749999999968168, random_state=0)",0.0003749999999968168,0.953125,0.0775,82.32990104686995,2071,34
"DecisionTreeRegressor(ccp_alpha=0.0003750000000025011, random_state=0)",0.0003750000000025011,0.951875,0.0775,82.33065104686996,2067,32
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.946875,0.0775,82.33106771353663,2051,32
