models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9875,0.1125,28.622500000000002,2137,43
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1075,28.622812500000002,2097,43
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1075,28.623125,2097,43
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1075,28.6234375,2097,43
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1075,28.62375,2097,43
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1075,28.6240625,2097,43
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1075,28.6246875,2097,43
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1075,28.625,2097,43
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1075,28.6253125,2097,43
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1075,28.625625,2097,43
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1075,28.6259375,2097,43
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1075,28.62625,2097,43
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1075,28.6265625,2097,43
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1075,28.626875,2097,43
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1075,28.627187499999998,2097,43
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1075,28.627499999999998,2097,43
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1075,28.627812499999997,2097,43
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1075,28.628124999999997,2097,43
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1075,28.628437499999997,2097,43
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.1075,28.628749999999997,2097,43
