models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.989375,0.1225,28.6225,2125,30
"DecisionTreeRegressor(ccp_alpha=0.0002678571428560872, random_state=0)",0.0002678571428560872,0.98875,0.1225,28.62303571428571,2121,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.125,28.62334821428571,2077,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.125,28.62366071428571,2077,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.125,28.62397321428571,2077,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.125,28.62428571428571,2077,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.125,28.624598214285708,2077,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.125,28.624910714285708,2077,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.125,28.625223214285707,2077,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.125,28.625535714285707,2077,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.125,28.625848214285707,2077,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.125,28.626160714285707,2077,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.125,28.626473214285706,2077,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.125,28.626785714285706,2077,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.125,28.627098214285706,2077,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.125,28.627410714285705,2077,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.125,28.627723214285705,2077,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.125,28.628035714285705,2077,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.125,28.628348214285705,2077,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.125,28.628660714285704,2077,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.125,28.628973214285704,2077,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.125,28.629285714285704,2077,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.125,28.629598214285704,2077,30
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.975,0.125,28.629910714285703,2077,30
"DecisionTreeRegressor(ccp_alpha=0.0003749999999968168, random_state=0)",0.0003749999999968168,0.97375,0.125,28.630660714285696,2073,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.965,0.12,28.63107738095236,2045,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.965,0.12,28.63149404761902,2045,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.965,0.12,28.631910714285684,2045,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.965,0.12,28.632327380952347,2045,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.965,0.12,28.63274404761901,2045,30
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.965,0.12,28.633160714285673,2045,30
