models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.993125,0.125,0.0,2199,34
"DecisionTreeRegressor(ccp_alpha=0.00026785714286006626, random_state=0)",0.00026785714286006626,0.9925,0.125,0.0005357142857201325,2195,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.973125,0.125,0.0008482142857201326,2133,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.973125,0.125,0.0011607142857201326,2133,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.973125,0.125,0.0014732142857201327,2133,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.973125,0.125,0.0017857142857201328,2133,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.973125,0.125,0.0020982142857201326,2133,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.973125,0.125,0.0024107142857201324,2133,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.973125,0.125,0.0027232142857201323,2133,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.973125,0.125,0.003035714285720132,2133,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.973125,0.125,0.003348214285720132,2133,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.973125,0.125,0.003660714285720132,2133,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.973125,0.125,0.003973214285720132,2133,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.973125,0.125,0.004285714285720132,2133,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.973125,0.125,0.004598214285720132,2133,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.973125,0.125,0.0049107142857201325,2133,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.973125,0.125,0.005223214285720133,2133,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.973125,0.125,0.005535714285720133,2133,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.973125,0.125,0.005848214285720133,2133,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.973125,0.125,0.006160714285720134,2133,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.973125,0.125,0.006473214285720134,2133,34
