models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.99875,0.07,0.0,2241,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.986875,0.07,0.0003125,2203,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.986875,0.07,0.000625,2203,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.986875,0.07,0.0009375,2203,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.986875,0.07,0.00125,2203,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.986875,0.07,0.0015625,2203,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.986875,0.07,0.0018750000000000001,2203,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.986875,0.07,0.0021875,2203,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.986875,0.07,0.0025,2203,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.986875,0.07,0.0028125,2203,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.986875,0.07,0.0031249999999999997,2203,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.986875,0.07,0.0034374999999999996,2203,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.986875,0.07,0.0037499999999999994,2203,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.986875,0.07,0.004062499999999999,2203,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.986875,0.07,0.0043749999999999995,2203,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.986875,0.07,0.0046875,2203,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.986875,0.07,0.005,2203,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.986875,0.07,0.0053125,2203,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.986875,0.07,0.005625000000000001,2203,34
"DecisionTreeRegressor(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.986875,0.07,0.005937500000000001,2203,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.978125,0.0725,0.006354166666664015,2175,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.978125,0.0725,0.00677083333332803,2175,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.978125,0.0725,0.007187499999992044,2175,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.978125,0.0725,0.007604166666656058,2175,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.978125,0.0725,0.008020833333320073,2175,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.978125,0.0725,0.008437499999984086,2175,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.978125,0.0725,0.0088541666666481,2175,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.978125,0.0725,0.009270833333312113,2175,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.978125,0.0725,0.009687499999976127,2175,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.978125,0.0725,0.01010416666664014,2175,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.978125,0.0725,0.010937499999968169,2175,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.978125,0.0725,0.011354166666632182,2175,34
"DecisionTreeRegressor(ccp_alpha=0.000416666666664014, random_state=0)",0.000416666666664014,0.978125,0.0725,0.011770833333296196,2175,34
"DecisionTreeRegressor(ccp_alpha=0.0004166666666661456, random_state=0)",0.0004166666666661456,0.9775,0.0725,0.012187499999962341,2173,34
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.97125,0.075,0.012604166666629765,2153,34
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.97125,0.075,0.01302083333329719,2153,34
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.97125,0.075,0.013437499999964613,2153,34
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.97125,0.075,0.013854166666632037,2153,34
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.97125,0.075,0.014270833333299461,2153,34
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.97125,0.075,0.014687499999966885,2153,34
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.97125,0.075,0.015104166666634309,2153,34
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.97125,0.075,0.015520833333301733,2153,34
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.97125,0.075,0.015937499999969157,2153,34
"DecisionTreeRegressor(ccp_alpha=0.0004166666666674246, random_state=0)",0.0004166666666674246,0.97125,0.075,0.016354166666636583,2153,34
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.96625,0.075,0.016822916666636583,2137,34
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.96625,0.075,0.017291666666636583,2137,34
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.96625,0.075,0.017760416666636584,2137,34
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.96625,0.075,0.018229166666636584,2137,34
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.96625,0.075,0.018697916666636585,2137,34
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.96625,0.075,0.019166666666636585,2137,34
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.96625,0.075,0.019635416666636585,2137,34
"DecisionTreeRegressor(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.96625,0.075,0.020104166666636586,2137,34
"DecisionTreeRegressor(ccp_alpha=0.0004999999999995453, random_state=0)",0.0004999999999995453,0.965625,0.075,0.020604166666636132,2135,34
"DecisionTreeRegressor(ccp_alpha=0.0005000000000052296, random_state=0)",0.0005000000000052296,0.9625,0.075,0.02110416666664136,2125,34
"DecisionTreeRegressor(ccp_alpha=0.0005000000000052296, random_state=0)",0.0005000000000052296,0.9625,0.075,0.02160416666664659,2125,34
"DecisionTreeRegressor(ccp_alpha=0.0005000000000052296, random_state=0)",0.0005000000000052296,0.9625,0.075,0.02210416666665182,2125,34
"DecisionTreeRegressor(ccp_alpha=0.0005000000000052296, random_state=0)",0.0005000000000052296,0.9625,0.075,0.022604166666657047,2125,34
"DecisionTreeRegressor(ccp_alpha=0.0005000000000052296, random_state=0)",0.0005000000000052296,0.9625,0.075,0.023104166666662276,2125,34
"DecisionTreeRegressor(ccp_alpha=0.0005208333333257542, random_state=0)",0.0005208333333257542,0.961875,0.075,0.02362499999998803,2123,34
"DecisionTreeRegressor(ccp_alpha=0.0005357142857131691, random_state=0)",0.0005357142857131691,0.96125,0.075,0.0241607142857012,2121,34
"DecisionTreeRegressor(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.960625,0.075,0.024707589285701197,2119,34
"DecisionTreeRegressor(ccp_alpha=0.0005859375, random_state=0)",0.0005859375,0.95875,0.075,0.025879464285701197,2115,34
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.9525,0.075,0.026504464285701197,2105,34
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.9525,0.075,0.027129464285701198,2105,34
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.9525,0.075,0.0277544642857012,2105,34
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.9525,0.075,0.0283794642857012,2105,34
"DecisionTreeRegressor(ccp_alpha=0.000625, random_state=0)",0.000625,0.9525,0.075,0.0290044642857012,2105,34
"DecisionTreeRegressor(ccp_alpha=0.000703125, random_state=0)",0.000703125,0.95125,0.075,0.0297075892857012,2103,34
"DecisionTreeRegressor(ccp_alpha=0.0007499999999936336, random_state=0)",0.0007499999999936336,0.95,0.075,0.030457589285694833,2101,34
"DecisionTreeRegressor(ccp_alpha=0.0007500000000050022, random_state=0)",0.0007500000000050022,0.9475,0.075,0.031207589285699836,2097,34
"DecisionTreeRegressor(ccp_alpha=0.0007500000000050022, random_state=0)",0.0007500000000050022,0.9475,0.075,0.031957589285704836,2097,34
"DecisionTreeRegressor(ccp_alpha=0.000833333333328028, random_state=0)",0.000833333333328028,0.94625,0.075,0.03279092261903287,2095,34
"DecisionTreeRegressor(ccp_alpha=0.0008888888888827751, random_state=0)",0.0008888888888827751,0.944375,0.075,0.033679811507915644,2093,34
"DecisionTreeRegressor(ccp_alpha=0.0009523809523818728, random_state=0)",0.0009523809523818728,0.94375,0.075,0.034632192460297515,2091,34
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.931875,0.075,0.035882192460297516,2071,34
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.931875,0.075,0.03713219246029752,2071,34
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.931875,0.075,0.03838219246029752,2071,34
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.931875,0.075,0.03963219246029752,2071,34
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.931875,0.075,0.04088219246029752,2071,34
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.931875,0.075,0.04213219246029752,2071,34
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.931875,0.075,0.04338219246029752,2071,34
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.931875,0.075,0.04463219246029752,2071,34
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.931875,0.075,0.045882192460297525,2071,34
"DecisionTreeRegressor(ccp_alpha=0.00125, random_state=0)",0.00125,0.931875,0.075,0.047132192460297526,2071,34
"DecisionTreeRegressor(ccp_alpha=0.001388888888892552, random_state=0)",0.001388888888892552,0.929375,0.0725,0.04852108134919008,2069,34
"DecisionTreeRegressor(ccp_alpha=0.0014999999999872672, random_state=0)",0.0014999999999872672,0.926875,0.0725,0.05002108134917735,2067,34
"DecisionTreeRegressor(ccp_alpha=0.0016666666666662877, random_state=0)",0.0016666666666662877,0.923125,0.0725,0.05168774801584364,2063,34
"DecisionTreeRegressor(ccp_alpha=0.0016666666666662877, random_state=0)",0.0016666666666662877,0.923125,0.0725,0.053354414682509926,2063,34
"DecisionTreeRegressor(ccp_alpha=0.001875, random_state=0)",0.001875,0.92125,0.0725,0.05522941468250993,2057,34
"DecisionTreeRegressor(ccp_alpha=0.001875, random_state=0)",0.001875,0.92125,0.0725,0.05710441468250993,2057,34
"DecisionTreeRegressor(ccp_alpha=0.001875, random_state=0)",0.001875,0.92125,0.0725,0.05897941468250993,2057,34
"DecisionTreeRegressor(ccp_alpha=0.001999999999998181, random_state=0)",0.001999999999998181,0.919375,0.0725,0.060979414682508115,2051,34
"DecisionTreeRegressor(ccp_alpha=0.001999999999998181, random_state=0)",0.001999999999998181,0.919375,0.0725,0.0629794146825063,2051,34
"DecisionTreeRegressor(ccp_alpha=0.001999999999998181, random_state=0)",0.001999999999998181,0.919375,0.0725,0.06497941468250448,2051,34
"DecisionTreeRegressor(ccp_alpha=0.001999999999999602, random_state=0)",0.001999999999999602,0.91875,0.0725,0.06697941468250408,2049,34
"DecisionTreeRegressor(ccp_alpha=0.0020833333333337123, random_state=0)",0.0020833333333337123,0.918125,0.0725,0.0690627480158378,2047,34
"DecisionTreeRegressor(ccp_alpha=0.002604166666665151, random_state=0)",0.002604166666665151,0.9175,0.0725,0.07166691468250294,2045,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.9025,0.0725,0.07447941468250294,2021,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.9025,0.0725,0.07729191468250293,2021,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.9025,0.0725,0.08010441468250293,2021,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.9025,0.0725,0.08291691468250292,2021,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.9025,0.0725,0.08572941468250292,2021,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.9025,0.0725,0.08854191468250291,2021,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.9025,0.0725,0.09135441468250291,2021,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.9025,0.0725,0.0941669146825029,2021,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.9025,0.0725,0.0969794146825029,2021,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.9025,0.0725,0.0997919146825029,2021,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.9025,0.0725,0.10260441468250289,2021,34
"DecisionTreeRegressor(ccp_alpha=0.0028125, random_state=0)",0.0028125,0.9025,0.0725,0.10541691468250289,2021,34
"DecisionTreeRegressor(ccp_alpha=0.00375, random_state=0)",0.00375,0.895,0.0675,0.10916691468250289,2013,34
"DecisionTreeRegressor(ccp_alpha=0.00375, random_state=0)",0.00375,0.895,0.0675,0.1129169146825029,2013,34
"DecisionTreeRegressor(ccp_alpha=0.00375, random_state=0)",0.00375,0.895,0.0675,0.1166669146825029,2013,34
"DecisionTreeRegressor(ccp_alpha=0.00375, random_state=0)",0.00375,0.895,0.0675,0.1204169146825029,2013,34
"DecisionTreeRegressor(ccp_alpha=0.00421875, random_state=0)",0.00421875,0.8875,0.0675,0.1246356646825029,2007,34
"DecisionTreeRegressor(ccp_alpha=0.00421875, random_state=0)",0.00421875,0.8875,0.0675,0.1288544146825029,2007,34
"DecisionTreeRegressor(ccp_alpha=0.00421875, random_state=0)",0.00421875,0.8875,0.0675,0.13307316468250288,2007,34
"DecisionTreeRegressor(ccp_alpha=0.0045000000000001705, random_state=0)",0.0045000000000001705,0.875,0.0675,0.13757316468250305,1999,34
"DecisionTreeRegressor(ccp_alpha=0.0045000000000001705, random_state=0)",0.0045000000000001705,0.875,0.0675,0.14207316468250322,1999,34
"DecisionTreeRegressor(ccp_alpha=0.0045000000000001705, random_state=0)",0.0045000000000001705,0.875,0.0675,0.1465731646825034,1999,34
"DecisionTreeRegressor(ccp_alpha=0.0045000000000001705, random_state=0)",0.0045000000000001705,0.875,0.0675,0.15107316468250356,1999,34
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.8625,0.0675,0.15607316468250357,1979,33
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.8625,0.0675,0.16107316468250357,1979,33
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.8625,0.0675,0.16607316468250358,1979,33
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.8625,0.0675,0.17107316468250358,1979,33
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.8625,0.0675,0.17607316468250359,1979,33
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.8625,0.0675,0.1810731646825036,1979,33
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.8625,0.0675,0.1860731646825036,1979,33
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.8625,0.0675,0.1910731646825036,1979,33
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.8625,0.0675,0.1960731646825036,1979,33
"DecisionTreeRegressor(ccp_alpha=0.005, random_state=0)",0.005,0.8625,0.0675,0.2010731646825036,1979,33
"DecisionTreeRegressor(ccp_alpha=0.006302083333332575, random_state=0)",0.006302083333332575,0.86125,0.0675,0.20737524801583618,1977,33
"DecisionTreeRegressor(ccp_alpha=0.00666666666665833, random_state=0)",0.00666666666665833,0.859375,0.0675,0.2140419146824945,1975,33
"DecisionTreeRegressor(ccp_alpha=0.006666666666667282, random_state=0)",0.006666666666667282,0.8575,0.0675,0.2207085813491618,1973,33
"DecisionTreeRegressor(ccp_alpha=0.0075, random_state=0)",0.0075,0.85,0.0675,0.2282085813491618,1967,33
"DecisionTreeRegressor(ccp_alpha=0.0075, random_state=0)",0.0075,0.85,0.0675,0.2357085813491618,1967,33
"DecisionTreeRegressor(ccp_alpha=0.0075, random_state=0)",0.0075,0.85,0.0675,0.24320858134916182,1967,33
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.8375,0.065,0.2510210813491618,1947,33
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.8375,0.065,0.2588335813491618,1947,33
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.8375,0.065,0.2666460813491618,1947,33
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.8375,0.065,0.2744585813491618,1947,33
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.8375,0.065,0.2822710813491618,1947,33
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.8375,0.065,0.2900835813491618,1947,33
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.8375,0.065,0.2978960813491618,1947,33
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.8375,0.065,0.3057085813491618,1947,33
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.8375,0.065,0.3135210813491618,1947,33
"DecisionTreeRegressor(ccp_alpha=0.0078125, random_state=0)",0.0078125,0.8375,0.065,0.3213335813491618,1947,33
"DecisionTreeRegressor(ccp_alpha=0.008000000000001251, random_state=0)",0.008000000000001251,0.834375,0.065,0.329333581349163,1945,33
"DecisionTreeRegressor(ccp_alpha=0.00810267857142776, random_state=0)",0.00810267857142776,0.83375,0.065,0.3374362599205908,1943,33
