         1368402654 function calls (1274850096 primitive calls) in 738.679 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      105    0.014    0.000  506.602    4.825 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/alternate/decision_tree_alternate/decision_tree_alternate.py:19(__init__)
      105    0.010    0.000  505.498    4.814 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/parsers/readers.py:868(read_csv)
      105    0.511    0.005  505.484    4.814 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/parsers/readers.py:583(_read)
      105    0.006    0.000  504.773    4.807 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/parsers/readers.py:1907(read)
      105   34.438    0.328  501.018    4.772 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:222(read)
 84000105   69.324    0.000  464.736    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/ast.py:54(literal_eval)
 84000105   22.403    0.000  274.405    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/ast.py:33(parse)
 84000105  247.582    0.000  247.585    0.000 {built-in method builtins.compile}
      945    0.004    0.000  114.259    0.121 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/pyplot.py:1218(savefig)
      945    0.116    0.000  114.251    0.121 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/figure.py:3232(savefig)
      945    0.037    0.000  114.131    0.121 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:2077(print_figure)
168000945/84000105   95.196    0.000  110.553    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/ast.py:84(_convert)
     1890    0.004    0.000   68.825    0.036 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:2068(<lambda>)
     1890    0.002    0.000   68.820    0.036 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:449(print_png)
     1890    0.047    0.000   68.818    0.036 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:439(_print_pil)
     1890    0.002    0.000   55.857    0.030 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:93(draw_wrapper)
317220/1890    0.553    0.000   55.854    0.030 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:54(draw_wrapper)
     1890    0.022    0.000   55.849    0.030 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/figure.py:3135(draw)
5670/1890    0.044    0.000   55.315    0.029 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/image.py:114(_draw_list_compositing_images)
     3780    0.037    0.000   55.299    0.015 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:3044(draw)
      105    0.571    0.005   53.891    0.513 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/alternate/decision_tree_alternate/decision_tree_alternate.py:359(load_shap_values)
      105    0.006    0.000   52.553    0.501 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/npyio.py:282(load)
      105    0.003    0.000   52.453    0.500 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/format.py:738(read_array)
      105   49.087    0.467   52.409    0.499 {built-in method _pickle.load}
      945    0.021    0.000   45.345    0.048 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/image.py:1550(imsave)
      945    0.017    0.000   45.279    0.048 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/PIL/Image.py:2376(save)
      945    0.019    0.000   44.323    0.047 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/PIL/PngImagePlugin.py:1233(_save)
      945    0.008    0.000   44.268    0.047 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/PIL/ImageFile.py:517(_save)
      945    0.008    0.000   44.257    0.047 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/PIL/ImageFile.py:545(_encode_tile)
      945   43.968    0.047   43.968    0.047 {method 'encode' of 'ImagingEncoder' objects}
     7560    0.065    0.000   41.202    0.005 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:1414(draw)
      945    0.201    0.000   32.455    0.034 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/plots/_scatter.py:16(scatter)
605907231/605906874   27.699    0.000   28.454    0.000 {built-in method builtins.isinstance}
    27405    0.501    0.000   25.382    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:1294(_update_ticks)
     1890    0.009    0.000   23.425    0.012 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:380(draw)
      945    0.005    0.000   22.877    0.024 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/pyplot.py:1548(subplots)
3780/2835    0.026    0.000   20.771    0.007 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/__init__.py:1470(inner)
      945    0.054    0.000   18.865    0.020 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_axes.py:6701(hist)
    24650    0.046    0.000   17.285    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:1590(_get_tick)
