models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9966666666666667,0.3466666666666667,0.0027083333333333334,1687,51
"DecisionTreeClassifier(ccp_alpha=0.0001250000000000001, random_state=0)",0.0001250000000000001,0.9966666666666667,0.3466666666666667,0.0028333333333333335,1685,51
"DecisionTreeClassifier(ccp_alpha=0.00013888888888888886, random_state=0)",0.00013888888888888886,0.9966666666666667,0.3466666666666667,0.0029722222222222225,1681,51
"DecisionTreeClassifier(ccp_alpha=0.00013888888888888886, random_state=0)",0.00013888888888888886,0.9966666666666667,0.3466666666666667,0.0031111111111111114,1681,51
"DecisionTreeClassifier(ccp_alpha=0.00017361111111111114, random_state=0)",0.00017361111111111114,0.9966666666666667,0.3466666666666667,0.0032847222222222227,1679,51
"DecisionTreeClassifier(ccp_alpha=0.00024999999999999995, random_state=0)",0.00024999999999999995,0.99625,0.3466666666666667,0.0040347222222222225,1673,51
"DecisionTreeClassifier(ccp_alpha=0.0002678571428571429, random_state=0)",0.0002678571428571429,0.9954166666666666,0.345,0.005106150793650795,1665,47
"DecisionTreeClassifier(ccp_alpha=0.0002777777777777778, random_state=0)",0.0002777777777777778,0.9954166666666666,0.345,0.005939484126984128,1655,47
"DecisionTreeClassifier(ccp_alpha=0.0002777777777777778, random_state=0)",0.0002777777777777778,0.9954166666666666,0.345,0.006495039682539684,1655,47
"DecisionTreeClassifier(ccp_alpha=0.000282738095238095, random_state=0)",0.000282738095238095,0.995,0.345,0.006777777777777778,1653,46
"DecisionTreeClassifier(ccp_alpha=0.0003055555555555556, random_state=0)",0.0003055555555555556,0.9945833333333334,0.345,0.007388888888888889,1649,46
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9941666666666666,0.345,0.00801388888888889,1645,46
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.9920833333333333,0.3433333333333333,0.008680555555555556,1625,46
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.9920833333333333,0.3433333333333333,0.009347222222222222,1625,46
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.9920833333333333,0.3433333333333333,0.010013888888888888,1625,46
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.9920833333333333,0.3433333333333333,0.010680555555555554,1625,46
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.9920833333333333,0.3433333333333333,0.01134722222222222,1625,46
"DecisionTreeClassifier(ccp_alpha=0.00033374183006535947, random_state=0)",0.00033374183006535947,0.9908333333333333,0.34,0.013015931372549017,1615,45
"DecisionTreeClassifier(ccp_alpha=0.0003385416666666667, random_state=0)",0.0003385416666666667,0.99,0.34,0.014370098039215684,1607,45
"DecisionTreeClassifier(ccp_alpha=0.0003472222222222222, random_state=0)",0.0003472222222222222,0.9891666666666666,0.33666666666666667,0.01575898692810457,1599,45
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9883333333333333,0.3383333333333333,0.016453431372549017,1591,45
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9883333333333333,0.3383333333333333,0.017147875816993462,1591,45
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9870833333333333,0.34,0.01786216153127918,1579,45
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9870833333333333,0.34,0.018576447245564894,1579,45
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9870833333333333,0.34,0.01929073295985061,1579,45
"DecisionTreeClassifier(ccp_alpha=0.0003611111111111111, random_state=0)",0.0003611111111111111,0.9866666666666667,0.34,0.01965184407096172,1577,45
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9854166666666667,0.34,0.020381010737628387,1565,45
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9854166666666667,0.34,0.021110177404295053,1565,45
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9854166666666667,0.34,0.02183934407096172,1565,45
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9841666666666666,0.34,0.02258008481170246,1553,45
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9841666666666666,0.34,0.0233208255524432,1553,45
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9841666666666666,0.34,0.02406156629318394,1553,45
"DecisionTreeClassifier(ccp_alpha=0.00037499999999999995, random_state=0)",0.00037499999999999995,0.9833333333333333,0.34,0.02556156629318394,1545,45
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.9804166666666667,0.3383333333333333,0.02631156629318394,1517,45
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.9804166666666667,0.3383333333333333,0.02706156629318394,1517,45
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.9804166666666667,0.3383333333333333,0.027811566293183942,1517,45
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.9804166666666667,0.3383333333333333,0.028561566293183942,1517,45
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.9804166666666667,0.3383333333333333,0.029311566293183943,1517,45
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.9804166666666667,0.3383333333333333,0.030061566293183944,1517,45
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.9804166666666667,0.3383333333333333,0.030811566293183944,1517,45
"DecisionTreeClassifier(ccp_alpha=0.00037878787878787884, random_state=0)",0.00037878787878787884,0.97875,0.3383333333333333,0.0315691420507597,1501,45
"DecisionTreeClassifier(ccp_alpha=0.00037878787878787884, random_state=0)",0.00037878787878787884,0.97875,0.3383333333333333,0.03232671780833546,1501,45
"DecisionTreeClassifier(ccp_alpha=0.00037878787878787884, random_state=0)",0.00037878787878787884,0.97875,0.3383333333333333,0.033084293565911214,1501,45
"DecisionTreeClassifier(ccp_alpha=0.00037878787878787884, random_state=0)",0.00037878787878787884,0.97875,0.3383333333333333,0.03384186932348697,1501,45
"DecisionTreeClassifier(ccp_alpha=0.0003804347826086956, random_state=0)",0.0003804347826086956,0.9779166666666667,0.33666666666666667,0.03536360845392175,1493,45
"DecisionTreeClassifier(ccp_alpha=0.00038194444444444446, random_state=0)",0.00038194444444444446,0.9758333333333333,0.335,0.03612749734281064,1473,45
"DecisionTreeClassifier(ccp_alpha=0.00038194444444444446, random_state=0)",0.00038194444444444446,0.9758333333333333,0.335,0.03765527512058842,1473,45
"DecisionTreeClassifier(ccp_alpha=0.00038194444444444446, random_state=0)",0.00038194444444444446,0.9758333333333333,0.335,0.038419164009477313,1473,45
"DecisionTreeClassifier(ccp_alpha=0.00038194444444444446, random_state=0)",0.00038194444444444446,0.9758333333333333,0.335,0.039183052898366204,1473,45
"DecisionTreeClassifier(ccp_alpha=0.00038461538461538445, random_state=0)",0.00038461538461538445,0.9754166666666667,0.33666666666666667,0.039952283667596976,1469,45
"DecisionTreeClassifier(ccp_alpha=0.00038616557734204803, random_state=0)",0.00038616557734204803,0.9725,0.33666666666666667,0.04342777386367541,1451,38
"DecisionTreeClassifier(ccp_alpha=0.000386904761904762, random_state=0)",0.000386904761904762,0.97125,0.33666666666666667,0.044201583387484936,1439,38
"DecisionTreeClassifier(ccp_alpha=0.000386904761904762, random_state=0)",0.000386904761904762,0.97125,0.33666666666666667,0.04497539291129446,1439,38
"DecisionTreeClassifier(ccp_alpha=0.000386904761904762, random_state=0)",0.000386904761904762,0.97125,0.33666666666666667,0.04574920243510398,1439,38
"DecisionTreeClassifier(ccp_alpha=0.000388888888888889, random_state=0)",0.000388888888888889,0.9704166666666667,0.33666666666666667,0.04652698021288176,1431,38
"DecisionTreeClassifier(ccp_alpha=0.000388888888888889, random_state=0)",0.000388888888888889,0.9704166666666667,0.33666666666666667,0.04730475799065954,1431,38
"DecisionTreeClassifier(ccp_alpha=0.000390625, random_state=0)",0.000390625,0.97,0.33666666666666667,0.04808600799065954,1427,38
"DecisionTreeClassifier(ccp_alpha=0.00039215686274509813, random_state=0)",0.00039215686274509813,0.9695833333333334,0.33666666666666667,0.04887032171614974,1423,38
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9545833333333333,0.3383333333333333,0.04928698838281641,1351,38
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9545833333333333,0.3383333333333333,0.04970365504948308,1351,38
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9545833333333333,0.3383333333333333,0.050120321716149746,1351,38
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9545833333333333,0.3383333333333333,0.050536988382816415,1351,38
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9545833333333333,0.3383333333333333,0.050953655049483085,1351,38
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9545833333333333,0.3383333333333333,0.051370321716149754,1351,38
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9545833333333333,0.3383333333333333,0.051786988382816423,1351,38
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9545833333333333,0.3383333333333333,0.052620321716149755,1351,38
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9545833333333333,0.3383333333333333,0.053036988382816425,1351,38
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9545833333333333,0.3383333333333333,0.053453655049483094,1351,38
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.9545833333333333,0.3383333333333333,0.05387032171614976,1351,38
