models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.998125,0.5075,0.00125,797,34
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333327, random_state=0)",0.00020833333333333327,0.998125,0.5075,0.0014583333333333332,795,34
"DecisionTreeClassifier(ccp_alpha=0.00026041666666666666, random_state=0)",0.00026041666666666666,0.998125,0.5075,0.0019791666666666664,791,34
"DecisionTreeClassifier(ccp_alpha=0.0004999999999999999, random_state=0)",0.0004999999999999999,0.9975,0.5075,0.0029791666666666664,787,34
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.995,0.5075,0.004020833333333333,775,34
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.995,0.5075,0.005062499999999999,775,34
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.995,0.5075,0.006104166666666666,775,34
"DecisionTreeClassifier(ccp_alpha=0.0005357142857142858, random_state=0)",0.0005357142857142858,0.99375,0.5075,0.007175595238095238,767,34
"DecisionTreeClassifier(ccp_alpha=0.0005357142857142858, random_state=0)",0.0005357142857142858,0.99375,0.5075,0.00824702380952381,767,34
"DecisionTreeClassifier(ccp_alpha=0.0005468749999999999, random_state=0)",0.0005468749999999999,0.991875,0.505,0.01152827380952381,755,34
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.990625,0.505,0.012622023809523809,747,34
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.990625,0.505,0.01371577380952381,747,34
"DecisionTreeClassifier(ccp_alpha=0.0005654761904761905, random_state=0)",0.0005654761904761905,0.989375,0.5075,0.015977678571428573,739,34
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.988125,0.5075,0.01711404220779221,731,34
