models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.99675,0.207,0.0022500000000000003,3671,54
"DecisionTreeClassifier(ccp_alpha=6.25e-05, random_state=0)",6.25e-05,0.99675,0.207,0.0023750000000000004,3667,54
"DecisionTreeClassifier(ccp_alpha=7.499999999999995e-05, random_state=0)",7.499999999999995e-05,0.99675,0.207,0.0025250000000000003,3663,54
"DecisionTreeClassifier(ccp_alpha=8.333333333333332e-05, random_state=0)",8.333333333333332e-05,0.99675,0.207,0.0026083333333333336,3661,54
"DecisionTreeClassifier(ccp_alpha=8.333333333333334e-05, random_state=0)",8.333333333333334e-05,0.99675,0.207,0.002775,3657,54
"DecisionTreeClassifier(ccp_alpha=0.0001022727272727273, random_state=0)",0.0001022727272727273,0.99675,0.207,0.0029795454545454548,3653,54
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.99625,0.207,0.0033128787878787883,3637,54
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.99625,0.207,0.0036462121212121217,3637,54
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.99625,0.207,0.003979545454545455,3637,54
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.99625,0.207,0.004312878787878788,3637,54
"DecisionTreeClassifier(ccp_alpha=0.0001666666666666667, random_state=0)",0.0001666666666666667,0.996,0.207,0.004479545454545455,3635,54
"DecisionTreeClassifier(ccp_alpha=0.00017857142857142854, random_state=0)",0.00017857142857142854,0.9955,0.207,0.005193831168831169,3627,50
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.99475,0.207,0.005568831168831169,3615,50
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.99475,0.207,0.00594383116883117,3615,50
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.99475,0.207,0.00631883116883117,3615,50
"DecisionTreeClassifier(ccp_alpha=0.00019333333333333333, random_state=0)",0.00019333333333333333,0.99425,0.207,0.007285497835497837,3605,50
"DecisionTreeClassifier(ccp_alpha=0.0001944444444444445, random_state=0)",0.0001944444444444445,0.99375,0.207,0.007868831168831171,3599,50
"DecisionTreeClassifier(ccp_alpha=0.00019642857142857146, random_state=0)",0.00019642857142857146,0.99325,0.207,0.008654545454545456,3591,50
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.99225,0.207,0.009054545454545456,3575,50
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.99225,0.207,0.009454545454545455,3575,50
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.99225,0.207,0.009854545454545454,3575,50
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.99225,0.207,0.010254545454545454,3575,50
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333332, random_state=0)",0.00020833333333333332,0.9915,0.205,0.011087878787878787,3567,50
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.99,0.205,0.011504545454545453,3543,50
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.99,0.205,0.011921212121212119,3543,50
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.99,0.205,0.012337878787878785,3543,50
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.99,0.205,0.01275454545454545,3543,50
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.99,0.205,0.013171212121212117,3543,50
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.99,0.205,0.013587878787878782,3543,50
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.98825,0.206,0.014016450216450212,3515,50
