models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9987333755541482,0.1620253164556962,0.001266624445851805,1601,31
"DecisionTreeClassifier(ccp_alpha=0.00021110407430863405, random_state=0)",0.00021110407430863405,0.9987333755541482,0.1620253164556962,0.001477728520160439,1597,31
"DecisionTreeClassifier(ccp_alpha=0.00021110407430863405, random_state=0)",0.00021110407430863405,0.9987333755541482,0.1620253164556962,0.001688832594469073,1597,31
"DecisionTreeClassifier(ccp_alpha=0.00033776651889381467, random_state=0)",0.00033776651889381467,0.9981000633312223,0.15949367088607594,0.0023643656322567025,1593,31
"DecisionTreeClassifier(ccp_alpha=0.00037998733375554147, random_state=0)",0.00037998733375554147,0.9974667511082964,0.1620253164556962,0.002744352966012244,1591,31
"DecisionTreeClassifier(ccp_alpha=0.00042220814861726827, random_state=0)",0.00042220814861726827,0.9962001266624446,0.1620253164556962,0.0035887692632467806,1583,31
"DecisionTreeClassifier(ccp_alpha=0.00042220814861726827, random_state=0)",0.00042220814861726827,0.9962001266624446,0.1620253164556962,0.004433185560481317,1583,31
"DecisionTreeClassifier(ccp_alpha=0.00046442896347899523, random_state=0)",0.00046442896347899523,0.9955668144395187,0.1620253164556962,0.005362043487439307,1579,31
"DecisionTreeClassifier(ccp_alpha=0.0005066497783407218, random_state=0)",0.0005066497783407218,0.9943001899936669,0.1620253164556962,0.006375343044120751,1571,31
"DecisionTreeClassifier(ccp_alpha=0.0005066497783407218, random_state=0)",0.0005066497783407218,0.9943001899936669,0.1620253164556962,0.007388642600802194,1571,31
"DecisionTreeClassifier(ccp_alpha=0.0005277601857715853, random_state=0)",0.0005277601857715853,0.9930335655478151,0.1620253164556962,0.009499683343888536,1563,31
"DecisionTreeClassifier(ccp_alpha=0.0005277601857715855, random_state=0)",0.0005277601857715855,0.9917669411019633,0.1620253164556962,0.010555203715431706,1555,31
"DecisionTreeClassifier(ccp_alpha=0.0005277601857715855, random_state=0)",0.0005277601857715855,0.9917669411019633,0.1620253164556962,0.011610724086974876,1555,31
"DecisionTreeClassifier(ccp_alpha=0.0005428390482222022, random_state=0)",0.0005428390482222022,0.9892336922102597,0.1620253164556962,0.01269640218341928,1539,31
