models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.99875,0.4825,0.0,795,40
"DecisionTreeClassifier(ccp_alpha=0.0003935185185185186, random_state=0)",0.0003935185185185186,0.998125,0.485,0.0011805555555555558,789,40
"DecisionTreeClassifier(ccp_alpha=0.0004999999999999999, random_state=0)",0.0004999999999999999,0.9975,0.485,0.0021805555555555554,785,40
"DecisionTreeClassifier(ccp_alpha=0.0005357142857142858, random_state=0)",0.0005357142857142858,0.996875,0.485,0.003251984126984127,781,40
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.995625,0.48,0.004363095238095238,773,40
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.995625,0.48,0.005474206349206349,773,40
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.993125,0.4825,0.006599206349206349,757,40
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.993125,0.4825,0.0077242063492063496,757,40
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.993125,0.4825,0.00884920634920635,757,40
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.993125,0.4825,0.00997420634920635,757,40
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.99125,0.48,0.011120039682539684,745,40
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.99125,0.48,0.012265873015873018,745,40
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.99125,0.48,0.013411706349206352,745,40
"DecisionTreeClassifier(ccp_alpha=0.0005769230769230767, random_state=0)",0.0005769230769230767,0.990625,0.48,0.014565552503052505,741,40
"DecisionTreeClassifier(ccp_alpha=0.000580357142857143, random_state=0)",0.000580357142857143,0.99,0.4775,0.01572626678876679,737,40
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.988125,0.4775,0.016892933455433457,725,40
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.988125,0.4775,0.018059600122100124,725,40
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.988125,0.4775,0.01922626678876679,725,40
"DecisionTreeClassifier(ccp_alpha=0.0005882352941176472, random_state=0)",0.0005882352941176472,0.98625,0.475,0.020402737377002086,713,40
"DecisionTreeClassifier(ccp_alpha=0.0005882352941176472, random_state=0)",0.0005882352941176472,0.98625,0.475,0.02157920796523738,713,40
"DecisionTreeClassifier(ccp_alpha=0.0005882352941176472, random_state=0)",0.0005882352941176472,0.98625,0.475,0.022755678553472672,713,40
"DecisionTreeClassifier(ccp_alpha=0.0005902777777777779, random_state=0)",0.0005902777777777779,0.985,0.4775,0.023936234109028228,705,40
"DecisionTreeClassifier(ccp_alpha=0.0005902777777777779, random_state=0)",0.0005902777777777779,0.985,0.4775,0.025116789664583784,705,40
"DecisionTreeClassifier(ccp_alpha=0.0005965909090909094, random_state=0)",0.0005965909090909094,0.984375,0.4775,0.026309971482765603,701,40
"DecisionTreeClassifier(ccp_alpha=0.0005978260869565219, random_state=0)",0.0005978260869565219,0.98375,0.4775,0.02750562365667865,697,40
"DecisionTreeClassifier(ccp_alpha=0.0005999999999999998, random_state=0)",0.0005999999999999998,0.983125,0.4775,0.02870562365667865,693,40
"DecisionTreeClassifier(ccp_alpha=0.0006034482758620685, random_state=0)",0.0006034482758620685,0.9825,0.4775,0.029912520208402786,689,40
"DecisionTreeClassifier(ccp_alpha=0.000659375, random_state=0)",0.000659375,0.98,0.4775,0.033209395208402784,679,40
"DecisionTreeClassifier(ccp_alpha=0.0006821469907407407, random_state=0)",0.0006821469907407407,0.978125,0.4775,0.03730227715284723,667,40
"DecisionTreeClassifier(ccp_alpha=0.0007407407407407407, random_state=0)",0.0007407407407407407,0.976875,0.475,0.03952449937506945,661,40
"DecisionTreeClassifier(ccp_alpha=0.0007456140350877192, random_state=0)",0.0007456140350877192,0.975625,0.4775,0.04176134148033261,655,40
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.974375,0.475,0.04326134148033261,651,38
"DecisionTreeClassifier(ccp_alpha=0.000796875, random_state=0)",0.000796875,0.9725,0.4775,0.04644884148033261,643,38
"DecisionTreeClassifier(ccp_alpha=0.0008035714285714282, random_state=0)",0.0008035714285714282,0.971875,0.4775,0.04725241290890404,641,38
"DecisionTreeClassifier(ccp_alpha=0.000808080808080808, random_state=0)",0.000808080808080808,0.970625,0.4775,0.048868574525065656,637,38
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.9625,0.4725,0.04970190785839899,611,38
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.9625,0.4725,0.05053524119173232,611,38
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.9625,0.4725,0.05136857452506565,611,38
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.9625,0.4725,0.05220190785839898,611,38
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.9625,0.4725,0.053035241191732314,611,38
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.9625,0.4725,0.053868574525065646,611,38
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.9625,0.4725,0.05470190785839898,611,38
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.9625,0.4725,0.05553524119173231,611,38
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.9625,0.4725,0.05636857452506564,611,38
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.9625,0.4725,0.05720190785839897,611,38
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.9625,0.4725,0.058035241191732305,611,38
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.9625,0.4725,0.05970190785839897,611,38
"DecisionTreeClassifier(ccp_alpha=0.0008437499999999999, random_state=0)",0.0008437499999999999,0.961875,0.475,0.060545657858398966,609,38
"DecisionTreeClassifier(ccp_alpha=0.0008601190476190484, random_state=0)",0.0008601190476190484,0.96125,0.48,0.06140577690601801,607,38
"DecisionTreeClassifier(ccp_alpha=0.0008629261363636365, random_state=0)",0.0008629261363636365,0.960625,0.48,0.06226870304238165,605,38
"DecisionTreeClassifier(ccp_alpha=0.0008945312499999999, random_state=0)",0.0008945312499999999,0.958125,0.48,0.06584682804238165,597,38
"DecisionTreeClassifier(ccp_alpha=0.0009204545454545453, random_state=0)",0.0009204545454545453,0.9575,0.48,0.0667672825878362,595,38
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.949375,0.48,0.06770478258783619,569,38
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.949375,0.48,0.06864228258783618,569,38
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.949375,0.48,0.06957978258783618,569,38
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.949375,0.48,0.07239228258783617,569,38
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.949375,0.48,0.07332978258783616,569,38
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.949375,0.48,0.07426728258783616,569,38
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.949375,0.48,0.07520478258783615,569,38
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.949375,0.48,0.07614228258783615,569,38
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.949375,0.48,0.07707978258783614,569,38
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.949375,0.48,0.07801728258783613,569,38
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.949375,0.48,0.07895478258783613,569,38
"DecisionTreeClassifier(ccp_alpha=0.0009485176282051285, random_state=0)",0.0009485176282051285,0.946875,0.4775,0.08274885310065665,561,38
"DecisionTreeClassifier(ccp_alpha=0.0009506578947368421, random_state=0)",0.0009506578947368421,0.94625,0.475,0.0836995109953935,559,38
"DecisionTreeClassifier(ccp_alpha=0.0009523809523809524, random_state=0)",0.0009523809523809524,0.945625,0.4775,0.08465189194777445,557,38
"DecisionTreeClassifier(ccp_alpha=0.000969551282051282, random_state=0)",0.000969551282051282,0.945,0.4775,0.08562144322982573,555,38
"DecisionTreeClassifier(ccp_alpha=0.0009722222222222221, random_state=0)",0.0009722222222222221,0.9425,0.48,0.08756588767427018,547,37
"DecisionTreeClassifier(ccp_alpha=0.0009722222222222221, random_state=0)",0.0009722222222222221,0.9425,0.48,0.08951033211871462,547,37
"DecisionTreeClassifier(ccp_alpha=0.0009906462585034016, random_state=0)",0.0009906462585034016,0.938125,0.48,0.09644485592823843,533,37
"DecisionTreeClassifier(ccp_alpha=0.0009920634920634922, random_state=0)",0.0009920634920634922,0.936875,0.48,0.09743691942030192,531,37
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.93125,0.485,0.09943691942030192,511,37
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.93125,0.485,0.10043691942030192,511,37
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.93125,0.485,0.10143691942030192,511,37
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.93125,0.485,0.10343691942030192,511,37
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.93125,0.485,0.10443691942030192,511,37
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.93125,0.485,0.10543691942030192,511,37
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.93125,0.485,0.10643691942030192,511,37
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.93125,0.485,0.10743691942030192,511,37
"DecisionTreeClassifier(ccp_alpha=0.0010112847222222222, random_state=0)",0.0010112847222222222,0.926875,0.485,0.1114820583091908,503,36
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666664, random_state=0)",0.0010416666666666664,0.925,0.475,0.11252372497585747,501,36
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.9175,0.4825,0.11356539164252413,477,36
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.9175,0.4825,0.1146070583091908,477,36
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.9175,0.4825,0.11564872497585746,477,36
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.9175,0.4825,0.11669039164252412,477,36
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.9175,0.4825,0.11981539164252412,477,36
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.9175,0.4825,0.12085705830919079,477,36
