models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9968334388853705,0.10886075949367088,0.00253324889170361,1613,34
"DecisionTreeClassifier(ccp_alpha=0.00021110407430863405, random_state=0)",0.00021110407430863405,0.9968334388853705,0.10886075949367088,0.002744352966012244,1611,34
"DecisionTreeClassifier(ccp_alpha=0.0003166561114629512, random_state=0)",0.0003166561114629512,0.9968334388853705,0.10886075949367088,0.003061009077475195,1609,34
"DecisionTreeClassifier(ccp_alpha=0.0003618926988148015, random_state=0)",0.0003618926988148015,0.9962001266624446,0.10886075949367088,0.0041466871739196,1603,34
"DecisionTreeClassifier(ccp_alpha=0.00042220814861726827, random_state=0)",0.00042220814861726827,0.9930335655478151,0.10886075949367088,0.004991103471154136,1583,34
"DecisionTreeClassifier(ccp_alpha=0.00042220814861726827, random_state=0)",0.00042220814861726827,0.9930335655478151,0.10886075949367088,0.005835519768388672,1583,34
"DecisionTreeClassifier(ccp_alpha=0.00042220814861726827, random_state=0)",0.00042220814861726827,0.9930335655478151,0.10886075949367088,0.006679936065623208,1583,34
"DecisionTreeClassifier(ccp_alpha=0.00042220814861726827, random_state=0)",0.00042220814861726827,0.9930335655478151,0.10886075949367088,0.0075243523628577445,1583,34
"DecisionTreeClassifier(ccp_alpha=0.00042220814861726827, random_state=0)",0.00042220814861726827,0.9930335655478151,0.10886075949367088,0.008368768660092282,1583,34
"DecisionTreeClassifier(ccp_alpha=0.00047498416719442683, random_state=0)",0.00047498416719442683,0.9924002533248891,0.10886075949367088,0.009318736994481136,1579,34
"DecisionTreeClassifier(ccp_alpha=0.0005066497783407218, random_state=0)",0.0005066497783407218,0.9911336288790373,0.10886075949367088,0.01033203655116258,1571,34
"DecisionTreeClassifier(ccp_alpha=0.0005066497783407218, random_state=0)",0.0005066497783407218,0.9911336288790373,0.10886075949367088,0.011345336107844023,1571,34
"DecisionTreeClassifier(ccp_alpha=0.0005277601857715853, random_state=0)",0.0005277601857715853,0.9898670044331855,0.10886075949367088,0.013456376850930363,1563,34
"DecisionTreeClassifier(ccp_alpha=0.0005277601857715855, random_state=0)",0.0005277601857715855,0.9892336922102597,0.10886075949367088,0.014511897222473534,1559,34
"DecisionTreeClassifier(ccp_alpha=0.0005428390482222022, random_state=0)",0.0005428390482222022,0.9879670677644079,0.10886075949367088,0.015597575318917938,1551,34
"DecisionTreeClassifier(ccp_alpha=0.0005428390482222022, random_state=0)",0.0005428390482222022,0.9879670677644079,0.10886075949367088,0.016683253415362344,1551,34
"DecisionTreeClassifier(ccp_alpha=0.0005541481950601647, random_state=0)",0.0005541481950601647,0.987333755541482,0.10886075949367088,0.017791549805482674,1547,34
"DecisionTreeClassifier(ccp_alpha=0.0005629441981563578, random_state=0)",0.0005629441981563578,0.986700443318556,0.10886075949367088,0.018917438201795388,1543,34
"DecisionTreeClassifier(ccp_alpha=0.0005699810006333122, random_state=0)",0.0005699810006333122,0.9860671310956302,0.10886075949367088,0.02005740020306201,1539,34
"DecisionTreeClassifier(ccp_alpha=0.0005757383844780933, random_state=0)",0.0005757383844780933,0.9854338188727042,0.10886075949367088,0.021208876972018197,1535,34
"DecisionTreeClassifier(ccp_alpha=0.0005910914080641757, random_state=0)",0.0005910914080641757,0.9841671944268524,0.10886075949367088,0.02239105978814655,1531,33
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.023024372011072453,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.023657684233998357,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.025557620902776065,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.02682424534862787,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.027457557571553774,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.028090869794479677,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.02872418201740558,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.029357494240331485,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.02999080646325739,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.030624118686183293,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.0318907431320351,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.032524055354961,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.033157367577886905,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.03379067980081281,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.03442399202373871,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.03505730424666462,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.03569061646959052,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.036323928692516425,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.03695724091544233,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.03759055313836823,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.03885717758422004,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.04012380203007185,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.041390426475923656,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.04202373869884956,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.04265705092177546,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.04329036314470137,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.04392367536762727,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.044556987590553175,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.04582361203640498,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.04772354870518269,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.04835686092810859,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.048990173151034495,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.0496234853739604,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.05089010981981221,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.05152342204273811,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.052156734265664015,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.05279004648858992,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.05468998315736762,1283,32
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.9056364787840405,0.10886075949367088,0.05595660760321943,1283,32
