models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,1.0,0.49,0.0,795,34
"DecisionTreeClassifier(ccp_alpha=0.00035714285714285725, random_state=0)",0.00035714285714285725,0.999375,0.49,0.0010714285714285717,789,34
"DecisionTreeClassifier(ccp_alpha=0.00041666666666666664, random_state=0)",0.00041666666666666664,0.99875,0.49,0.001904761904761905,785,34
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.998125,0.49,0.0029464285714285716,781,34
"DecisionTreeClassifier(ccp_alpha=0.0005357142857142858, random_state=0)",0.0005357142857142858,0.9975,0.49,0.004017857142857143,777,34
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.996875,0.49,0.005128968253968255,773,34
"DecisionTreeClassifier(ccp_alpha=0.0005603448275862069, random_state=0)",0.0005603448275862069,0.995,0.49,0.008491037219485496,761,34
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.99375,0.4925,0.009616037219485497,753,34
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.99375,0.4925,0.010741037219485498,753,34
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.993125,0.4925,0.011877400855849134,749,34
"DecisionTreeClassifier(ccp_alpha=0.0005769230769230767, random_state=0)",0.0005769230769230767,0.989375,0.495,0.013031247009695287,725,33
"DecisionTreeClassifier(ccp_alpha=0.0005769230769230767, random_state=0)",0.0005769230769230767,0.989375,0.495,0.015338939317387595,725,33
"DecisionTreeClassifier(ccp_alpha=0.0005769230769230767, random_state=0)",0.0005769230769230767,0.989375,0.495,0.01649278547123375,725,33
"DecisionTreeClassifier(ccp_alpha=0.0005769230769230767, random_state=0)",0.0005769230769230767,0.989375,0.495,0.017646631625079904,725,33
"DecisionTreeClassifier(ccp_alpha=0.0005769230769230767, random_state=0)",0.0005769230769230767,0.989375,0.495,0.01880047777892606,725,33
"DecisionTreeClassifier(ccp_alpha=0.000580357142857143, random_state=0)",0.000580357142857143,0.98875,0.495,0.019961192064640344,721,33
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.988125,0.4925,0.02112785873130701,717,33
"DecisionTreeClassifier(ccp_alpha=0.0005859375, random_state=0)",0.0005859375,0.9875,0.4925,0.02229973373130701,713,33
"DecisionTreeClassifier(ccp_alpha=0.0005937499999999999, random_state=0)",0.0005937499999999999,0.986875,0.4925,0.02348723373130701,709,33
"DecisionTreeClassifier(ccp_alpha=0.0005965909090909094, random_state=0)",0.0005965909090909094,0.98625,0.49,0.02468041554948883,705,33
"DecisionTreeClassifier(ccp_alpha=0.0005978260869565219, random_state=0)",0.0005978260869565219,0.985,0.4875,0.025876067723401876,697,33
"DecisionTreeClassifier(ccp_alpha=0.0005978260869565219, random_state=0)",0.0005978260869565219,0.985,0.4875,0.027071719897314918,697,33
"DecisionTreeClassifier(ccp_alpha=0.0005989583333333337, random_state=0)",0.0005989583333333337,0.984375,0.4875,0.028269636563981584,693,33
"DecisionTreeClassifier(ccp_alpha=0.0006060606060606057, random_state=0)",0.0006060606060606057,0.98375,0.49,0.029481757776102797,689,33
