models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.996,0.174,0.003833333333333335,3645,39
"DecisionTreeClassifier(ccp_alpha=8.333333333333332e-05, random_state=0)",8.333333333333332e-05,0.996,0.174,0.003916666666666668,3633,38
"DecisionTreeClassifier(ccp_alpha=8.333333333333332e-05, random_state=0)",8.333333333333332e-05,0.996,0.174,0.004000000000000002,3633,38
"DecisionTreeClassifier(ccp_alpha=8.333333333333332e-05, random_state=0)",8.333333333333332e-05,0.996,0.174,0.0040833333333333355,3633,38
"DecisionTreeClassifier(ccp_alpha=8.333333333333332e-05, random_state=0)",8.333333333333332e-05,0.996,0.174,0.004166666666666669,3633,38
"DecisionTreeClassifier(ccp_alpha=8.333333333333332e-05, random_state=0)",8.333333333333332e-05,0.996,0.174,0.004250000000000003,3633,38
"DecisionTreeClassifier(ccp_alpha=8.333333333333332e-05, random_state=0)",8.333333333333332e-05,0.996,0.174,0.004333333333333337,3633,38
"DecisionTreeClassifier(ccp_alpha=8.333333333333348e-05, random_state=0)",8.333333333333348e-05,0.996,0.174,0.00441666666666667,3631,38
"DecisionTreeClassifier(ccp_alpha=0.000125, random_state=0)",0.000125,0.996,0.174,0.00454166666666667,3627,38
"DecisionTreeClassifier(ccp_alpha=0.000125, random_state=0)",0.000125,0.996,0.174,0.0046666666666666705,3627,38
"DecisionTreeClassifier(ccp_alpha=0.0001333333333333333, random_state=0)",0.0001333333333333333,0.9955,0.174,0.004933333333333337,3617,38
"DecisionTreeClassifier(ccp_alpha=0.0001333333333333333, random_state=0)",0.0001333333333333333,0.9955,0.174,0.0053333333333333375,3617,38
"DecisionTreeClassifier(ccp_alpha=0.00014583333333333332, random_state=0)",0.00014583333333333332,0.99525,0.174,0.005625000000000004,3613,38
"DecisionTreeClassifier(ccp_alpha=0.0001499999999999999, random_state=0)",0.0001499999999999999,0.99525,0.174,0.005775000000000004,3611,38
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.994,0.175,0.0062750000000000045,3589,38
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.994,0.175,0.006608333333333338,3589,38
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.994,0.175,0.006941666666666671,3589,38
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.994,0.175,0.007275000000000004,3589,38
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.994,0.175,0.007608333333333337,3589,38
"DecisionTreeClassifier(ccp_alpha=0.0001666666666666667, random_state=0)",0.0001666666666666667,0.99375,0.175,0.007775000000000003,3587,38
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666674, random_state=0)",0.00016666666666666674,0.99375,0.175,0.00794166666666667,3585,38
"DecisionTreeClassifier(ccp_alpha=0.00018333333333333334, random_state=0)",0.00018333333333333334,0.99325,0.175,0.00849166666666667,3579,37
"DecisionTreeClassifier(ccp_alpha=0.0001833333333333334, random_state=0)",0.0001833333333333334,0.993,0.175,0.008858333333333336,3575,37
"DecisionTreeClassifier(ccp_alpha=0.00018518518518518518, random_state=0)",0.00018518518518518518,0.99225,0.175,0.009969444444444447,3563,37
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.9915,0.176,0.010344444444444448,3551,37
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.9915,0.176,0.011094444444444448,3551,37
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9895,0.177,0.011494444444444448,3519,37
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9895,0.177,0.011894444444444447,3519,37
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9895,0.177,0.012294444444444446,3519,37
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9895,0.177,0.012694444444444446,3519,37
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9895,0.177,0.013094444444444445,3519,37
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9895,0.177,0.013494444444444444,3519,37
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9895,0.177,0.013894444444444444,3519,37
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9895,0.177,0.014294444444444443,3519,37
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999998, random_state=0)",0.00019999999999999998,0.98925,0.177,0.014694444444444442,3515,37
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.988,0.177,0.015111111111111108,3495,37
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.988,0.177,0.015527777777777774,3495,37
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.988,0.177,0.01594444444444444,3495,37
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.988,0.177,0.016361111111111108,3495,37
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.988,0.177,0.016777777777777773,3495,37
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571417, random_state=0)",0.00021428571428571417,0.98775,0.177,0.01699206349206349,3493,37
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.98675,0.177,0.017420634920634916,3477,37
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.98675,0.177,0.017849206349206344,3477,37
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.98675,0.177,0.01827777777777777,3477,37
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.98675,0.177,0.0187063492063492,3477,37
"DecisionTreeClassifier(ccp_alpha=0.00021527777777777767, random_state=0)",0.00021527777777777767,0.9865,0.177,0.019136904761904754,3473,37
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.98475,0.177,0.019574404761904755,3445,37
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.98475,0.177,0.020011904761904755,3445,37
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.98475,0.177,0.020449404761904755,3445,37
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.98475,0.177,0.020886904761904756,3445,37
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.98475,0.177,0.021324404761904756,3445,37
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.98475,0.177,0.021761904761904757,3445,37
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.98475,0.177,0.022199404761904757,3445,37
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.9825,0.177,0.022643849206349202,3409,37
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.9825,0.177,0.023088293650793647,3409,37
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.9825,0.177,0.023532738095238093,3409,37
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.9825,0.177,0.023977182539682538,3409,37
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.9825,0.177,0.024421626984126983,3409,37
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.9825,0.177,0.02486607142857143,3409,37
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.9825,0.177,0.025310515873015874,3409,37
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.9825,0.177,0.02575496031746032,3409,37
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.9825,0.177,0.026199404761904764,3409,37
"DecisionTreeClassifier(ccp_alpha=0.00022500000000000005, random_state=0)",0.00022500000000000005,0.98125,0.177,0.026649404761904763,3389,37
"DecisionTreeClassifier(ccp_alpha=0.00022500000000000005, random_state=0)",0.00022500000000000005,0.98125,0.177,0.027099404761904762,3389,37
"DecisionTreeClassifier(ccp_alpha=0.00022500000000000005, random_state=0)",0.00022500000000000005,0.98125,0.177,0.02754940476190476,3389,37
"DecisionTreeClassifier(ccp_alpha=0.00022500000000000005, random_state=0)",0.00022500000000000005,0.98125,0.177,0.02799940476190476,3389,37
"DecisionTreeClassifier(ccp_alpha=0.00022500000000000005, random_state=0)",0.00022500000000000005,0.98125,0.177,0.02844940476190476,3389,37
"DecisionTreeClassifier(ccp_alpha=0.0002272727272727273, random_state=0)",0.0002272727272727273,0.98025,0.176,0.028903950216450213,3373,37
"DecisionTreeClassifier(ccp_alpha=0.0002272727272727273, random_state=0)",0.0002272727272727273,0.98025,0.176,0.029358495670995667,3373,37
"DecisionTreeClassifier(ccp_alpha=0.0002272727272727273, random_state=0)",0.0002272727272727273,0.98025,0.176,0.02981304112554112,3373,37
"DecisionTreeClassifier(ccp_alpha=0.0002272727272727273, random_state=0)",0.0002272727272727273,0.98025,0.176,0.030267586580086575,3373,37
"DecisionTreeClassifier(ccp_alpha=0.0002279411764705882, random_state=0)",0.0002279411764705882,0.97975,0.176,0.031179351285968927,3365,37
"DecisionTreeClassifier(ccp_alpha=0.0002291666666666667, random_state=0)",0.0002291666666666667,0.97925,0.176,0.03163768461930226,3357,37
"DecisionTreeClassifier(ccp_alpha=0.0002291666666666667, random_state=0)",0.0002291666666666667,0.97925,0.176,0.03209601795263559,3357,37
"DecisionTreeClassifier(ccp_alpha=0.00023076923076923068, random_state=0)",0.00023076923076923068,0.97875,0.176,0.03255755641417406,3349,37
"DecisionTreeClassifier(ccp_alpha=0.00023076923076923068, random_state=0)",0.00023076923076923068,0.97875,0.176,0.03301909487571252,3349,37
"DecisionTreeClassifier(ccp_alpha=0.00023125000000000006, random_state=0)",0.00023125000000000006,0.97825,0.176,0.033944094875712524,3341,37
"DecisionTreeClassifier(ccp_alpha=0.00023214285714285717, random_state=0)",0.00023214285714285717,0.97775,0.176,0.034640523447141094,3335,37
"DecisionTreeClassifier(ccp_alpha=0.00023333333333333339, random_state=0)",0.00023333333333333339,0.97725,0.176,0.03510719011380776,3327,37
"DecisionTreeClassifier(ccp_alpha=0.00023333333333333339, random_state=0)",0.00023333333333333339,0.97725,0.176,0.03557385678047442,3327,37
"DecisionTreeClassifier(ccp_alpha=0.00023958333333333332, random_state=0)",0.00023958333333333332,0.977,0.176,0.03605302344714109,3323,37
"DecisionTreeClassifier(ccp_alpha=0.0002410714285714286, random_state=0)",0.0002410714285714286,0.97675,0.176,0.03629409487571252,3321,37
"DecisionTreeClassifier(ccp_alpha=0.00024305555555555517, random_state=0)",0.00024305555555555517,0.9765,0.177,0.036537150431268074,3319,37
"DecisionTreeClassifier(ccp_alpha=0.00024940476190476194, random_state=0)",0.00024940476190476194,0.9755,0.177,0.03753476947888712,3311,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.03778476947888712,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.03803476947888712,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.03828476947888712,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.03853476947888712,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.03903476947888712,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.03928476947888712,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.03978476947888712,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.04028476947888712,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.04053476947888712,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.04078476947888712,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.04103476947888712,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.04128476947888712,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.041534769478887124,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.041784769478887124,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.042034769478887124,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.042284769478887124,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.042534769478887124,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.043034769478887125,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.043284769478887125,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.043534769478887125,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.044034769478887126,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.044284769478887126,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.044534769478887126,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.044784769478887126,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.04503476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.04528476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.04553476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.04603476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.04628476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.04653476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.04678476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.04703476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.04753476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.04803476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.04828476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.04853476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.04878476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.04928476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.04978476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.05003476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.05028476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.05053476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.05078476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.05128476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.05153476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.05178476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.05203476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.05228476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.05253476947888713,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.052784769478887134,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.053034769478887134,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.053284769478887134,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.053534769478887134,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.053784769478887134,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.054034769478887135,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.054284769478887135,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.054534769478887135,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.054784769478887135,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.055034769478887136,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.055284769478887136,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.055534769478887136,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.056034769478887136,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.05628476947888714,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.05653476947888714,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.05678476947888714,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.05703476947888714,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.05728476947888714,2925,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9275,0.174,0.05753476947888714,2925,37
