models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9979166666666667,0.3283333333333333,0.0,1599,26
"DecisionTreeClassifier(ccp_alpha=0.00026041666666666666, random_state=0)",0.00026041666666666666,0.9975,0.3283333333333333,0.00078125,1593,26
"DecisionTreeClassifier(ccp_alpha=0.0002777777777777778, random_state=0)",0.0002777777777777778,0.9975,0.33,0.0013368055555555555,1589,26
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9979166666666667,0.33,0.0019618055555555556,1585,26
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9970833333333333,0.3283333333333333,0.00265625,1577,26
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9970833333333333,0.3283333333333333,0.0033506944444444448,1577,26
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9966666666666667,0.3283333333333333,0.004064980158730159,1573,26
"DecisionTreeClassifier(ccp_alpha=0.00036024305555555554, random_state=0)",0.00036024305555555554,0.9958333333333333,0.3283333333333333,0.005505952380952381,1565,26
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9945833333333334,0.3283333333333333,0.006235119047619048,1553,26
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9945833333333334,0.3283333333333333,0.006964285714285715,1553,26
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9945833333333334,0.3283333333333333,0.007693452380952382,1553,26
"DecisionTreeClassifier(ccp_alpha=0.00036858974358974355, random_state=0)",0.00036858974358974355,0.99375,0.3283333333333333,0.009167811355311356,1545,26
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9920833333333333,0.3283333333333333,0.009908552096052098,1529,25
