models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.999375,0.51,0.0,771,24
"DecisionTreeClassifier(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.99875,0.51,0.0009375,767,24
"DecisionTreeClassifier(ccp_alpha=0.0004999999999999999, random_state=0)",0.0004999999999999999,0.998125,0.51,0.0019374999999999998,763,24
"DecisionTreeClassifier(ccp_alpha=0.0005592105263157894, random_state=0)",0.0005592105263157894,0.996875,0.5075,0.004174342105263158,755,24
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.995,0.5075,0.0053107057416267945,743,24
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.995,0.5075,0.006447069377990431,743,24
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.995,0.5075,0.007583433014354068,743,24
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.993125,0.51,0.0087292663476874,731,24
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.993125,0.51,0.011020933014354067,731,24
"DecisionTreeClassifier(ccp_alpha=0.0005769230769230767, random_state=0)",0.0005769230769230767,0.991875,0.51,0.01217477916820022,723,24
"DecisionTreeClassifier(ccp_alpha=0.0005769230769230767, random_state=0)",0.0005769230769230767,0.991875,0.51,0.013328625322046372,723,24
"DecisionTreeClassifier(ccp_alpha=0.000580357142857143, random_state=0)",0.000580357142857143,0.99125,0.51,0.014489339607760658,719,24
"DecisionTreeClassifier(ccp_alpha=0.0005859375, random_state=0)",0.0005859375,0.99,0.51,0.015661214607760657,711,24
"DecisionTreeClassifier(ccp_alpha=0.0005859375, random_state=0)",0.0005859375,0.99,0.51,0.016833089607760657,711,24
"DecisionTreeClassifier(ccp_alpha=0.0005882352941176472, random_state=0)",0.0005882352941176472,0.989375,0.51,0.01800956019599595,707,24
"DecisionTreeClassifier(ccp_alpha=0.0005921052631578951, random_state=0)",0.0005921052631578951,0.9875,0.505,0.01919377072231174,695,24
"DecisionTreeClassifier(ccp_alpha=0.0005921052631578951, random_state=0)",0.0005921052631578951,0.9875,0.505,0.02037798124862753,695,24
"DecisionTreeClassifier(ccp_alpha=0.0005921052631578951, random_state=0)",0.0005921052631578951,0.9875,0.505,0.021562191774943323,695,24
"DecisionTreeClassifier(ccp_alpha=0.0005937499999999999, random_state=0)",0.0005937499999999999,0.986875,0.505,0.022749691774943324,691,24
"DecisionTreeClassifier(ccp_alpha=0.0005989583333333337, random_state=0)",0.0005989583333333337,0.98625,0.5025,0.02394760844160999,687,24
"DecisionTreeClassifier(ccp_alpha=0.0006009615384615388, random_state=0)",0.0006009615384615388,0.985625,0.5025,0.025149531518533066,683,24
"DecisionTreeClassifier(ccp_alpha=0.0006097560975609758, random_state=0)",0.0006097560975609758,0.985,0.5025,0.02636904371365502,679,24
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.98125,0.505,0.02786904371365502,667,24
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.98125,0.505,0.02936904371365502,667,24
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.98125,0.505,0.030869043713655023,667,24
"DecisionTreeClassifier(ccp_alpha=0.0007758620689655169, random_state=0)",0.0007758620689655169,0.98,0.505,0.03319662992055157,661,24
"DecisionTreeClassifier(ccp_alpha=0.0008030303030303031, random_state=0)",0.0008030303030303031,0.9775,0.505,0.03560572082964248,655,24
"DecisionTreeClassifier(ccp_alpha=0.0008203125, random_state=0)",0.0008203125,0.975625,0.5025,0.03888697082964248,647,24
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.960625,0.4975,0.03972030416297581,597,24
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.960625,0.4975,0.04055363749630914,597,24
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.960625,0.4975,0.041386970829642475,597,24
