models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9975,0.3566666666666667,0.0,1615,28
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.9970833333333333,0.3566666666666667,0.0006666666666666665,1611,28
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9966666666666667,0.3566666666666667,0.0013611111111111111,1607,28
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.99625,0.3566666666666667,0.0020753968253968257,1603,28
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9941666666666666,0.3566666666666667,0.0028045634920634923,1583,27
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9941666666666666,0.3566666666666667,0.003533730158730159,1583,27
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9941666666666666,0.3566666666666667,0.004262896825396826,1583,27
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9941666666666666,0.3566666666666667,0.004992063492063493,1583,27
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9941666666666666,0.3566666666666667,0.00572123015873016,1583,27
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9925,0.3566666666666667,0.006461970899470901,1567,27
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9925,0.3566666666666667,0.007202711640211641,1567,27
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9925,0.3566666666666667,0.007943452380952383,1567,27
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9925,0.3566666666666667,0.008684193121693124,1567,27
"DecisionTreeClassifier(ccp_alpha=0.00037499999999999995, random_state=0)",0.00037499999999999995,0.9916666666666667,0.35833333333333334,0.010184193121693124,1559,27
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.98875,0.355,0.010934193121693124,1531,27
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.98875,0.355,0.011684193121693125,1531,27
