models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.99875,0.4675,0.0,793,22
"DecisionTreeClassifier(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.99625,0.47,0.0009375,777,22
"DecisionTreeClassifier(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.99625,0.47,0.001875,777,22
"DecisionTreeClassifier(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.99625,0.47,0.00375,777,22
"DecisionTreeClassifier(ccp_alpha=0.0004999999999999999, random_state=0)",0.0004999999999999999,0.995625,0.47,0.00475,773,22
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.99375,0.4725,0.00584375,761,22
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.99375,0.4725,0.0069375,761,22
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.99375,0.4725,0.00803125,761,22
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9925,0.4775,0.009142361111111112,753,22
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9925,0.4775,0.010253472222222223,753,22
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.991875,0.4775,0.011378472222222224,749,22
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.99125,0.4775,0.01251483585858586,745,22
"DecisionTreeClassifier(ccp_alpha=0.0005714285714285714, random_state=0)",0.0005714285714285714,0.989375,0.48,0.01594340728715729,733,22
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.98875,0.48,0.017089240620490623,729,22
"DecisionTreeClassifier(ccp_alpha=0.000575, random_state=0)",0.000575,0.9875,0.48,0.019389240620490623,721,22
"DecisionTreeClassifier(ccp_alpha=0.000580357142857143, random_state=0)",0.000580357142857143,0.986875,0.48,0.02054995490620491,717,22
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.98625,0.48,0.021716621572871575,713,22
"DecisionTreeClassifier(ccp_alpha=0.0005859375, random_state=0)",0.0005859375,0.985625,0.48,0.022888496572871574,709,22
"DecisionTreeClassifier(ccp_alpha=0.0005882352941176472, random_state=0)",0.0005882352941176472,0.984375,0.48,0.02406496716110687,701,22
"DecisionTreeClassifier(ccp_alpha=0.0005882352941176472, random_state=0)",0.0005882352941176472,0.984375,0.48,0.025241437749342163,701,22
"DecisionTreeClassifier(ccp_alpha=0.0005902777777777779, random_state=0)",0.0005902777777777779,0.98375,0.4775,0.02642199330489772,697,22
"DecisionTreeClassifier(ccp_alpha=0.0005978260869565219, random_state=0)",0.0005978260869565219,0.983125,0.4775,0.027617645478810765,693,22
"DecisionTreeClassifier(ccp_alpha=0.0005989583333333337, random_state=0)",0.0005989583333333337,0.9825,0.4775,0.02881556214547743,689,22
"DecisionTreeClassifier(ccp_alpha=0.0006041666666666664, random_state=0)",0.0006041666666666664,0.981875,0.4775,0.030023895478810764,685,22
"DecisionTreeClassifier(ccp_alpha=0.0006060606060606056, random_state=0)",0.0006060606060606056,0.98125,0.4775,0.031236016690931977,681,22
"DecisionTreeClassifier(ccp_alpha=0.000625, random_state=0)",0.000625,0.97875,0.48,0.03248601669093198,675,22
"DecisionTreeClassifier(ccp_alpha=0.000625, random_state=0)",0.000625,0.97875,0.48,0.03311101669093198,675,22
"DecisionTreeClassifier(ccp_alpha=0.0006597222222222221, random_state=0)",0.0006597222222222221,0.97875,0.48,0.03443046113537642,671,22
"DecisionTreeClassifier(ccp_alpha=0.0007222222222222223, random_state=0)",0.0007222222222222223,0.9775,0.48,0.036597127802043085,665,22
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.975,0.4825,0.038097127802043086,657,22
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.975,0.4825,0.03959712780204309,657,22
"DecisionTreeClassifier(ccp_alpha=0.0007878151260504204, random_state=0)",0.0007878151260504204,0.975,0.48,0.040384942928093505,655,22
"DecisionTreeClassifier(ccp_alpha=0.0008148148148148147, random_state=0)",0.0008148148148148147,0.975,0.48,0.04119975774290832,653,22
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.96625,0.4775,0.042033091076241653,625,22
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.96625,0.4775,0.042866424409574985,625,22
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.96625,0.4775,0.04369975774290832,625,22
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.96625,0.4775,0.04453309107624165,625,22
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.96625,0.4775,0.04536642440957498,625,22
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.96625,0.4775,0.047033091076241644,625,22
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.96625,0.4775,0.047866424409574976,625,22
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.96625,0.4775,0.04869975774290831,625,22
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.96625,0.4775,0.04953309107624164,625,22
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.96625,0.4775,0.05036642440957497,625,22
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.96625,0.4775,0.052033091076241635,625,22
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.96625,0.4775,0.052866424409574966,625,22
"DecisionTreeClassifier(ccp_alpha=0.0008437499999999998, random_state=0)",0.0008437499999999998,0.965,0.4775,0.05455392440957497,621,22
"DecisionTreeClassifier(ccp_alpha=0.0008506944444444441, random_state=0)",0.0008506944444444441,0.964375,0.4775,0.05540461885401941,619,22
"DecisionTreeClassifier(ccp_alpha=0.0008766233766233761, random_state=0)",0.0008766233766233761,0.96375,0.4775,0.05628124223064279,617,22
"DecisionTreeClassifier(ccp_alpha=0.0008888888888888885, random_state=0)",0.0008888888888888885,0.963125,0.48,0.05717013111953168,615,22
