models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.99725,0.195,0.0,3511,37
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.9975,0.195,0.0003333333333333333,3507,37
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.99675,0.195,0.0007333333333333332,3495,37
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.99675,0.195,0.0011333333333333332,3495,37
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.99675,0.195,0.0015333333333333332,3495,37
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.996,0.195,0.00195,3475,37
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.996,0.195,0.0023666666666666667,3475,37
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.996,0.195,0.0027833333333333334,3475,37
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.996,0.195,0.0032,3475,37
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.996,0.195,0.003616666666666667,3475,37
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.9955,0.195,0.004045238095238096,3467,37
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.9955,0.195,0.004473809523809524,3467,37
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.99375,0.195,0.004911309523809524,3439,37
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.99375,0.195,0.005348809523809525,3439,37
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.99375,0.195,0.005786309523809525,3439,37
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.99375,0.195,0.0062238095238095256,3439,37
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.99375,0.195,0.006661309523809526,3439,37
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.99375,0.195,0.007098809523809526,3439,37
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.99375,0.195,0.007536309523809527,3439,37
"DecisionTreeClassifier(ccp_alpha=0.00022115384615384613, random_state=0)",0.00022115384615384613,0.99325,0.195,0.008420924908424911,3431,37
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.992,0.194,0.008865369352869357,3411,37
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.992,0.194,0.009309813797313802,3411,37
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.992,0.194,0.009754258241758247,3411,37
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.992,0.194,0.010198702686202692,3411,37
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.992,0.194,0.010643147130647138,3411,37
"DecisionTreeClassifier(ccp_alpha=0.00022500000000000005, random_state=0)",0.00022500000000000005,0.99125,0.194,0.011093147130647138,3399,37
"DecisionTreeClassifier(ccp_alpha=0.00022500000000000005, random_state=0)",0.00022500000000000005,0.99125,0.194,0.011543147130647139,3399,37
"DecisionTreeClassifier(ccp_alpha=0.00022500000000000005, random_state=0)",0.00022500000000000005,0.99125,0.194,0.01199314713064714,3399,37
"DecisionTreeClassifier(ccp_alpha=0.0002272727272727273, random_state=0)",0.0002272727272727273,0.99,0.194,0.012447692585192594,3379,37
"DecisionTreeClassifier(ccp_alpha=0.0002272727272727273, random_state=0)",0.0002272727272727273,0.99,0.194,0.012902238039738048,3379,37
"DecisionTreeClassifier(ccp_alpha=0.0002272727272727273, random_state=0)",0.0002272727272727273,0.99,0.194,0.013356783494283502,3379,37
"DecisionTreeClassifier(ccp_alpha=0.0002272727272727273, random_state=0)",0.0002272727272727273,0.99,0.194,0.013811328948828956,3379,37
"DecisionTreeClassifier(ccp_alpha=0.0002272727272727273, random_state=0)",0.0002272727272727273,0.99,0.194,0.01426587440337441,3379,37
"DecisionTreeClassifier(ccp_alpha=0.0002291666666666667, random_state=0)",0.0002291666666666667,0.9895,0.194,0.015182541070041076,3367,37
"DecisionTreeClassifier(ccp_alpha=0.0002291666666666667, random_state=0)",0.0002291666666666667,0.9895,0.194,0.01564087440337441,3367,37
