models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9975,0.32,0.0,1641,42
"DecisionTreeClassifier(ccp_alpha=0.0003333333333333334, random_state=0)",0.0003333333333333334,0.9966666666666667,0.31833333333333336,0.0013333333333333335,1633,42
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.99625,0.31833333333333336,0.002027777777777778,1629,42
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.995,0.31833333333333336,0.0027420634920634927,1617,42
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.995,0.31833333333333336,0.003456349206349207,1617,42
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.995,0.31833333333333336,0.004170634920634921,1617,42
"DecisionTreeClassifier(ccp_alpha=0.00036858974358974355, random_state=0)",0.00036858974358974355,0.9941666666666666,0.31833333333333336,0.005644993894993895,1609,42
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9933333333333333,0.31833333333333336,0.006385734635734636,1601,42
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9933333333333333,0.31833333333333336,0.007126475376475376,1601,42
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.99125,0.31833333333333336,0.007876475376475376,1581,42
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.99125,0.31833333333333336,0.008626475376475377,1581,42
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.99125,0.31833333333333336,0.009376475376475377,1581,42
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.99125,0.31833333333333336,0.010126475376475378,1581,42
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.99125,0.31833333333333336,0.010876475376475379,1581,42
"DecisionTreeClassifier(ccp_alpha=0.00037878787878787884, random_state=0)",0.00037878787878787884,0.9908333333333333,0.32,0.011634051134051136,1577,42
"DecisionTreeClassifier(ccp_alpha=0.00038194444444444446, random_state=0)",0.00038194444444444446,0.9883333333333333,0.32,0.012397940022940025,1553,42
