models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.99875,0.4725,0.0,753,30
"DecisionTreeClassifier(ccp_alpha=0.00041666666666666664, random_state=0)",0.00041666666666666664,0.99875,0.4725,0.0008333333333333333,749,30
"DecisionTreeClassifier(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.998125,0.4725,0.0017708333333333332,745,30
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.9975,0.4725,0.0028125,741,30
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.995,0.4725,0.003923611111111111,725,30
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.995,0.4725,0.0050347222222222225,725,30
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.995,0.4725,0.006145833333333334,725,30
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.995,0.4725,0.007256944444444445,725,30
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.994375,0.4725,0.008393308080808081,721,30
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.99375,0.4675,0.009539141414141415,717,30
"DecisionTreeClassifier(ccp_alpha=0.0005769230769230767, random_state=0)",0.0005769230769230767,0.991875,0.4675,0.010692987567987568,705,30
"DecisionTreeClassifier(ccp_alpha=0.0005769230769230767, random_state=0)",0.0005769230769230767,0.991875,0.4675,0.01184683372183372,705,30
"DecisionTreeClassifier(ccp_alpha=0.0005769230769230767, random_state=0)",0.0005769230769230767,0.991875,0.4675,0.013000679875679873,705,30
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.990625,0.47,0.01416734654234654,697,30
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.990625,0.47,0.015334013209013207,697,30
"DecisionTreeClassifier(ccp_alpha=0.0005882352941176472, random_state=0)",0.0005882352941176472,0.99,0.47,0.016510483797248503,693,30
"DecisionTreeClassifier(ccp_alpha=0.0005902777777777779, random_state=0)",0.0005902777777777779,0.98875,0.465,0.01769103935280406,685,30
"DecisionTreeClassifier(ccp_alpha=0.0005902777777777779, random_state=0)",0.0005902777777777779,0.98875,0.465,0.018871594908359615,685,30
"DecisionTreeClassifier(ccp_alpha=0.0005937499999999999, random_state=0)",0.0005937499999999999,0.988125,0.465,0.020059094908359616,681,30
"DecisionTreeClassifier(ccp_alpha=0.0005965909090909094, random_state=0)",0.0005965909090909094,0.986875,0.4675,0.021252276726541435,673,30
"DecisionTreeClassifier(ccp_alpha=0.0005965909090909094, random_state=0)",0.0005965909090909094,0.986875,0.4675,0.022445458544723254,673,30
"DecisionTreeClassifier(ccp_alpha=0.0005978260869565219, random_state=0)",0.0005978260869565219,0.98625,0.4675,0.023641110718636296,669,30
"DecisionTreeClassifier(ccp_alpha=0.0006097560975609758, random_state=0)",0.0006097560975609758,0.985625,0.4675,0.02486062291375825,665,30
"DecisionTreeClassifier(ccp_alpha=0.000625, random_state=0)",0.000625,0.985,0.47,0.02548562291375825,663,30
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.9825,0.4675,0.02698562291375825,655,30
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.9825,0.4675,0.02848562291375825,655,30
"DecisionTreeClassifier(ccp_alpha=0.0007575757575757577, random_state=0)",0.0007575757575757577,0.98125,0.465,0.030758350186485525,649,30
"DecisionTreeClassifier(ccp_alpha=0.0008148148148148147, random_state=0)",0.0008148148148148147,0.98125,0.465,0.03157316500130034,647,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.97375,0.47,0.032406498334633674,623,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.97375,0.47,0.033239831667967006,623,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.97375,0.47,0.03407316500130034,623,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.97375,0.47,0.03490649833463367,623,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.97375,0.47,0.03657316500130033,623,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.97375,0.47,0.037406498334633664,623,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.97375,0.47,0.038239831667966996,623,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.97375,0.47,0.03907316500130033,623,30
