models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.99825,0.185,0.0,3533,33
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.99775,0.186,0.0003999999999999999,3521,33
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.99775,0.186,0.0007999999999999998,3521,33
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.99775,0.186,0.0011999999999999997,3521,33
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.99675,0.186,0.0016166666666666664,3505,33
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.99675,0.186,0.002033333333333333,3505,33
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.99675,0.186,0.00245,3505,33
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.99675,0.186,0.0028666666666666667,3505,33
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.995,0.186,0.0032952380952380954,3477,33
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.995,0.186,0.003723809523809524,3477,33
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.995,0.186,0.0041523809523809525,3477,33
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.995,0.186,0.004580952380952381,3477,33
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.995,0.186,0.005009523809523809,3477,33
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.995,0.186,0.0054380952380952375,3477,33
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.995,0.186,0.005866666666666666,3477,33
"DecisionTreeClassifier(ccp_alpha=0.00021590909090909088, random_state=0)",0.00021590909090909088,0.9945,0.185,0.006730303030303029,3469,33
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.992,0.185,0.0071678030303030296,3429,33
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.992,0.185,0.00760530303030303,3429,33
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.992,0.185,0.00804280303030303,3429,33
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.992,0.185,0.00848030303030303,3429,33
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.992,0.185,0.008917803030303031,3429,33
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.992,0.185,0.009355303030303031,3429,33
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.992,0.185,0.009792803030303032,3429,33
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.992,0.185,0.010230303030303032,3429,33
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.992,0.185,0.010667803030303033,3429,33
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.992,0.185,0.011105303030303033,3429,33
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.99125,0.185,0.011549747474747478,3417,33
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.99125,0.185,0.011994191919191923,3417,33
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.99125,0.185,0.012438636363636369,3417,33
"DecisionTreeClassifier(ccp_alpha=0.00022500000000000005, random_state=0)",0.00022500000000000005,0.98975,0.185,0.01288863636363637,3393,33
"DecisionTreeClassifier(ccp_alpha=0.00022500000000000005, random_state=0)",0.00022500000000000005,0.98975,0.185,0.01333863636363637,3393,33
"DecisionTreeClassifier(ccp_alpha=0.00022500000000000005, random_state=0)",0.00022500000000000005,0.98975,0.185,0.013788636363636371,3393,33
"DecisionTreeClassifier(ccp_alpha=0.00022500000000000005, random_state=0)",0.00022500000000000005,0.98975,0.185,0.014238636363636372,3393,33
"DecisionTreeClassifier(ccp_alpha=0.00022500000000000005, random_state=0)",0.00022500000000000005,0.98975,0.185,0.014688636363636372,3393,33
"DecisionTreeClassifier(ccp_alpha=0.00022500000000000005, random_state=0)",0.00022500000000000005,0.98975,0.185,0.015138636363636373,3393,33
"DecisionTreeClassifier(ccp_alpha=0.0002272727272727273, random_state=0)",0.0002272727272727273,0.989,0.185,0.015593181818181827,3381,33
"DecisionTreeClassifier(ccp_alpha=0.0002272727272727273, random_state=0)",0.0002272727272727273,0.989,0.185,0.016047727272727283,3381,33
"DecisionTreeClassifier(ccp_alpha=0.0002272727272727273, random_state=0)",0.0002272727272727273,0.989,0.185,0.016502272727272737,3381,33
"DecisionTreeClassifier(ccp_alpha=0.0002291666666666667, random_state=0)",0.0002291666666666667,0.98875,0.185,0.016960606060606072,3377,33
"DecisionTreeClassifier(ccp_alpha=0.00023076923076923068, random_state=0)",0.00023076923076923068,0.9885,0.185,0.017422144522144533,3373,31
"DecisionTreeClassifier(ccp_alpha=0.0002321428571428572, random_state=0)",0.0002321428571428572,0.98825,0.185,0.01788643023643025,3369,31
"DecisionTreeClassifier(ccp_alpha=0.00023333333333333339, random_state=0)",0.00023333333333333339,0.98775,0.185,0.018353096903096916,3361,31
"DecisionTreeClassifier(ccp_alpha=0.00023333333333333339, random_state=0)",0.00023333333333333339,0.98775,0.185,0.018819763569763583,3361,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.019069763569763584,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.019569763569763584,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.019819763569763584,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.020069763569763584,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.020319763569763585,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.020569763569763585,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.020819763569763585,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.021069763569763585,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.021319763569763586,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.021569763569763586,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.021819763569763586,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.022069763569763586,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.022319763569763586,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.022569763569763587,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.022819763569763587,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.023069763569763587,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.023319763569763587,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.023819763569763588,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.024319763569763588,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.02456976356976359,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.02481976356976359,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.02531976356976359,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.02631976356976359,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.02656976356976359,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.02681976356976359,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.02706976356976359,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.02756976356976359,2991,31
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.9415,0.183,0.02781976356976359,2991,31
