models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9835,0.182,0.017379894179894183,3535,41
"DecisionTreeClassifier(ccp_alpha=8.333333333333332e-05, random_state=0)",8.333333333333332e-05,0.9835,0.182,0.017463227513227517,3531,41
"DecisionTreeClassifier(ccp_alpha=8.333333333333332e-05, random_state=0)",8.333333333333332e-05,0.9835,0.182,0.017546560846560852,3531,41
"DecisionTreeClassifier(ccp_alpha=9.802043422733019e-05, random_state=0)",9.802043422733019e-05,0.9835,0.182,0.017644581280788184,3529,41
"DecisionTreeClassifier(ccp_alpha=0.000125, random_state=0)",0.000125,0.9835,0.182,0.017769581280788184,3527,41
"DecisionTreeClassifier(ccp_alpha=0.0001294642857142857, random_state=0)",0.0001294642857142857,0.9835,0.182,0.01789904556650247,3525,41
"DecisionTreeClassifier(ccp_alpha=0.00013160919540229892, random_state=0)",0.00013160919540229892,0.9835,0.182,0.01803065476190477,3523,41
"DecisionTreeClassifier(ccp_alpha=0.00014154411764705872, random_state=0)",0.00014154411764705872,0.9835,0.182,0.018172198879551828,3521,41
"DecisionTreeClassifier(ccp_alpha=0.0001547619047619045, random_state=0)",0.0001547619047619045,0.9835,0.182,0.018326960784313732,3519,41
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.9815,0.182,0.018826960784313732,3491,38
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.9815,0.182,0.019326960784313733,3491,38
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.9815,0.182,0.019660294117647067,3491,38
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.9815,0.182,0.019993627450980402,3491,38
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.9815,0.182,0.020326960784313737,3491,38
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.9815,0.182,0.020660294117647072,3491,38
"DecisionTreeClassifier(ccp_alpha=0.0001666666666666667, random_state=0)",0.0001666666666666667,0.9815,0.182,0.020826960784313737,3489,38
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666696, random_state=0)",0.00016666666666666696,0.98125,0.182,0.020993627450980403,3487,38
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.98025,0.183,0.021368627450980403,3467,38
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.98025,0.183,0.021743627450980404,3467,38
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.98025,0.183,0.022118627450980404,3467,38
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.98025,0.183,0.022493627450980404,3467,38
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.98025,0.183,0.022868627450980405,3467,38
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9795,0.184,0.023268627450980406,3455,38
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9795,0.184,0.023668627450980407,3455,38
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9795,0.184,0.024068627450980408,3455,38
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.97825,0.184,0.024485294117647074,3435,38
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.97825,0.184,0.02490196078431374,3435,38
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.97825,0.184,0.025318627450980406,3435,38
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.97825,0.184,0.02573529411764707,3435,38
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.97825,0.184,0.026151960784313737,3435,38
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.97575,0.182,0.026580532212885165,3395,38
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.97575,0.182,0.027009103641456592,3395,38
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.97575,0.182,0.02743767507002802,3395,38
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.97575,0.182,0.027866246498599447,3395,38
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.97575,0.182,0.028294817927170875,3395,38
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.97575,0.182,0.028723389355742302,3395,38
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.97575,0.182,0.02915196078431373,3395,38
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.97575,0.182,0.029580532212885157,3395,38
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.97575,0.182,0.030009103641456585,3395,38
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.97575,0.182,0.030437675070028012,3395,38
"DecisionTreeClassifier(ccp_alpha=0.00021666666666666677, random_state=0)",0.00021666666666666677,0.9755,0.182,0.03065434173669468,3393,38
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.97325,0.183,0.03109184173669468,3357,38
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.97325,0.183,0.03152934173669468,3357,38
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.97325,0.183,0.03196684173669468,3357,38
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.97325,0.183,0.03240434173669468,3357,38
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.97325,0.183,0.03284184173669468,3357,38
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.97325,0.183,0.03327934173669468,3357,38
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.97325,0.183,0.03371684173669468,3357,38
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.97325,0.183,0.03415434173669468,3357,38
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.97325,0.183,0.03459184173669468,3357,38
"DecisionTreeClassifier(ccp_alpha=0.00021929824561403447, random_state=0)",0.00021929824561403447,0.97325,0.182,0.03481113998230872,3355,38
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.9715,0.183,0.03525558442675316,3327,38
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.9715,0.183,0.0357000288711976,3327,38
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.9715,0.183,0.036144473315642044,3327,38
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.9715,0.183,0.036588917760086485,3327,38
