models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9895833333333334,0.30666666666666664,0.011833333333333331,1661,38
"DecisionTreeClassifier(ccp_alpha=2.777777777777761e-05, random_state=0)",2.777777777777761e-05,0.9895833333333334,0.30666666666666664,0.011861111111111109,1659,37
"DecisionTreeClassifier(ccp_alpha=0.00011695906432748586, random_state=0)",0.00011695906432748586,0.9895833333333334,0.30666666666666664,0.011978070175438595,1657,36
"DecisionTreeClassifier(ccp_alpha=0.00013888888888888886, random_state=0)",0.00013888888888888886,0.9895833333333334,0.30666666666666664,0.012116959064327483,1655,36
"DecisionTreeClassifier(ccp_alpha=0.00018518518518518493, random_state=0)",0.00018518518518518493,0.9895833333333334,0.30666666666666664,0.012487329434697853,1651,36
"DecisionTreeClassifier(ccp_alpha=0.00020513523391812853, random_state=0)",0.00020513523391812853,0.9891666666666666,0.30666666666666664,0.013307870370370366,1643,36
"DecisionTreeClassifier(ccp_alpha=0.00023484848484848489, random_state=0)",0.00023484848484848489,0.98875,0.30833333333333335,0.013542718855218851,1641,36
"DecisionTreeClassifier(ccp_alpha=0.00026041666666666666, random_state=0)",0.00026041666666666666,0.9875,0.30833333333333335,0.01510521885521885,1629,36
"DecisionTreeClassifier(ccp_alpha=0.0002777777777777778, random_state=0)",0.0002777777777777778,0.9866666666666667,0.30833333333333335,0.015938552188552182,1623,36
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.98625,0.30833333333333335,0.016563552188552183,1619,36
"DecisionTreeClassifier(ccp_alpha=0.0003240740740740747, random_state=0)",0.0003240740740740747,0.9858333333333333,0.30833333333333335,0.016887626262626257,1617,36
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.9845833333333334,0.30666666666666664,0.017554292929292923,1605,36
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.9845833333333334,0.30666666666666664,0.01822095959595959,1605,36
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.9845833333333334,0.30666666666666664,0.018887626262626255,1605,36
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9841666666666666,0.30666666666666664,0.0195820707070707,1601,36
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9833333333333333,0.30666666666666664,0.020296356421356417,1593,36
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9833333333333333,0.30666666666666664,0.021010642135642132,1593,36
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9825,0.30666666666666664,0.0217398088023088,1585,36
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.9825,0.30666666666666664,0.022468975468975465,1585,36
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9808333333333333,0.30833333333333335,0.023209716209716204,1569,36
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9808333333333333,0.30833333333333335,0.023950456950456944,1569,36
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9808333333333333,0.30833333333333335,0.024691197691197684,1569,36
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9808333333333333,0.30833333333333335,0.025431938431938424,1569,36
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.9804166666666667,0.30833333333333335,0.026181938431938424,1565,36
"DecisionTreeClassifier(ccp_alpha=0.00037500000000000033, random_state=0)",0.00037500000000000033,0.98,0.30833333333333335,0.026556938431938425,1563,36
"DecisionTreeClassifier(ccp_alpha=0.00037878787878787884, random_state=0)",0.00037878787878787884,0.97875,0.31166666666666665,0.027314514189514184,1551,36
"DecisionTreeClassifier(ccp_alpha=0.00037878787878787884, random_state=0)",0.00037878787878787884,0.97875,0.31166666666666665,0.028072089947089943,1551,36
"DecisionTreeClassifier(ccp_alpha=0.00037878787878787884, random_state=0)",0.00037878787878787884,0.97875,0.31166666666666665,0.0288296657046657,1551,36
"DecisionTreeClassifier(ccp_alpha=0.00038194444444444446, random_state=0)",0.00038194444444444446,0.9783333333333334,0.31166666666666665,0.029593554593554592,1547,36
"DecisionTreeClassifier(ccp_alpha=0.0003839285714285698, random_state=0)",0.0003839285714285698,0.9770833333333333,0.31833333333333336,0.029977483164983162,1545,36
"DecisionTreeClassifier(ccp_alpha=0.00038425925925925916, random_state=0)",0.00038425925925925916,0.9758333333333333,0.31833333333333336,0.03228303872053872,1533,36
"DecisionTreeClassifier(ccp_alpha=0.00038461538461538445, random_state=0)",0.00038461538461538445,0.9745833333333334,0.31666666666666665,0.03305226948976949,1521,36
"DecisionTreeClassifier(ccp_alpha=0.00038461538461538445, random_state=0)",0.00038461538461538445,0.9745833333333334,0.31666666666666665,0.03382150025900026,1521,36
"DecisionTreeClassifier(ccp_alpha=0.00038461538461538445, random_state=0)",0.00038461538461538445,0.9745833333333334,0.31666666666666665,0.034590731028231035,1521,36
"DecisionTreeClassifier(ccp_alpha=0.000386904761904762, random_state=0)",0.000386904761904762,0.9741666666666666,0.31666666666666665,0.03536454055204056,1517,36
"DecisionTreeClassifier(ccp_alpha=0.000388888888888889, random_state=0)",0.000388888888888889,0.9733333333333334,0.315,0.03614231832981834,1509,36
"DecisionTreeClassifier(ccp_alpha=0.000388888888888889, random_state=0)",0.000388888888888889,0.9733333333333334,0.315,0.03692009610759612,1509,36
"DecisionTreeClassifier(ccp_alpha=0.000390625, random_state=0)",0.000390625,0.9729166666666667,0.315,0.037701346107596116,1505,36
"DecisionTreeClassifier(ccp_alpha=0.00039473684210526337, random_state=0)",0.00039473684210526337,0.9725,0.31666666666666665,0.038490819791806644,1501,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.03890748645847331,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.03932415312513998,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.03974081979180665,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.04015748645847332,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.04057415312513999,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.04099081979180666,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.04140748645847333,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.04224081979180666,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.04265748645847333,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.04307415312514,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.04349081979180667,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.04390748645847334,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.04432415312514001,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.04474081979180668,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.045157486458473346,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.045574153125140016,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.045990819791806685,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.046407486458473354,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.046824153125140024,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.04724081979180669,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.04765748645847336,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.04807415312514003,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.0484908197918067,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.04890748645847337,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.04932415312514004,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.04974081979180671,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.05015748645847338,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.05057415312514005,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.05099081979180672,1423,36
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.95625,0.315,0.051407486458473386,1423,36
