models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.98475,0.22,0.01617787878787879,3601,35
"DecisionTreeClassifier(ccp_alpha=6.357142857142933e-05, random_state=0)",6.357142857142933e-05,0.98475,0.22,0.01624145021645022,3599,35
"DecisionTreeClassifier(ccp_alpha=0.000125, random_state=0)",0.000125,0.98475,0.22,0.01636645021645022,3597,35
"DecisionTreeClassifier(ccp_alpha=0.000140625, random_state=0)",0.000140625,0.9845,0.222,0.01692895021645022,3589,35
"DecisionTreeClassifier(ccp_alpha=0.00015000000000000004, random_state=0)",0.00015000000000000004,0.98425,0.222,0.01737895021645022,3583,35
"DecisionTreeClassifier(ccp_alpha=0.000153763440860215, random_state=0)",0.000153763440860215,0.98425,0.222,0.017532713657310434,3581,35
"DecisionTreeClassifier(ccp_alpha=0.00016194581280788104, random_state=0)",0.00016194581280788104,0.98425,0.222,0.017694659470118314,3579,35
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.9835,0.222,0.01802799280345165,3567,34
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.9835,0.222,0.018361326136784983,3567,34
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.9835,0.222,0.018694659470118318,3567,34
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.9825,0.22,0.01906965947011832,3551,34
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.9825,0.22,0.01981965947011832,3551,34
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.9825,0.22,0.02019465947011832,3551,34
"DecisionTreeClassifier(ccp_alpha=0.00019466073414905506, random_state=0)",0.00019466073414905506,0.982,0.219,0.02058398093841643,3547,34
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9805,0.22,0.02098398093841643,3523,34
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9805,0.22,0.02138398093841643,3523,34
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9805,0.22,0.021783980938416433,3523,34
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9805,0.22,0.022183980938416434,3523,34
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9805,0.22,0.022583980938416435,3523,34
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.9805,0.22,0.022983980938416436,3523,34
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.97825,0.221,0.023400647605083102,3489,34
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.97825,0.221,0.023817314271749768,3489,34
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.97825,0.221,0.024233980938416434,3489,34
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.97825,0.221,0.024858980938416434,3489,34
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.97825,0.221,0.0252756476050831,3489,34
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.97825,0.221,0.025692314271749766,3489,34
