models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9841671944268524,0.1189873417721519,0.016523691634521276,1633,25
"DecisionTreeClassifier(ccp_alpha=0.00021110407430863405, random_state=0)",0.00021110407430863405,0.9841671944268524,0.1189873417721519,0.016734795708829908,1631,25
"DecisionTreeClassifier(ccp_alpha=0.00029906410527056433, random_state=0)",0.00029906410527056433,0.9841671944268524,0.1189873417721519,0.017033859814100473,1627,25
"DecisionTreeClassifier(ccp_alpha=0.00029906410527056433, random_state=0)",0.00029906410527056433,0.9841671944268524,0.1189873417721519,0.017332923919371038,1627,25
"DecisionTreeClassifier(ccp_alpha=0.00042220814861726827, random_state=0)",0.00042220814861726827,0.9822672577580748,0.1189873417721519,0.018177340216605574,1615,25
"DecisionTreeClassifier(ccp_alpha=0.00042220814861726827, random_state=0)",0.00042220814861726827,0.9822672577580748,0.1189873417721519,0.01902175651384011,1615,25
"DecisionTreeClassifier(ccp_alpha=0.00042220814861726827, random_state=0)",0.00042220814861726827,0.9822672577580748,0.1189873417721519,0.019866172811074646,1615,25
"DecisionTreeClassifier(ccp_alpha=0.00047498416719442683, random_state=0)",0.00047498416719442683,0.9797340088663711,0.12151898734177215,0.0208161411454635,1599,24
"DecisionTreeClassifier(ccp_alpha=0.00047498416719442683, random_state=0)",0.00047498416719442683,0.9797340088663711,0.12151898734177215,0.02176610947985235,1599,24
"DecisionTreeClassifier(ccp_alpha=0.00047498416719442683, random_state=0)",0.00047498416719442683,0.9797340088663711,0.12151898734177215,0.022716077814241203,1599,24
"DecisionTreeClassifier(ccp_alpha=0.00047498416719442683, random_state=0)",0.00047498416719442683,0.9797340088663711,0.12151898734177215,0.023666046148630056,1599,24
"DecisionTreeClassifier(ccp_alpha=0.0004925761733868142, random_state=0)",0.0004925761733868142,0.9784673844205193,0.12151898734177215,0.02415862232201687,1595,24
"DecisionTreeClassifier(ccp_alpha=0.0004925761733868142, random_state=0)",0.0004925761733868142,0.9784673844205193,0.12151898734177215,0.024651198495403683,1595,24
"DecisionTreeClassifier(ccp_alpha=0.0005066497783407218, random_state=0)",0.0005066497783407218,0.9778340721975934,0.12151898734177215,0.025664498052085125,1591,24
"DecisionTreeClassifier(ccp_alpha=0.0005145661811272957, random_state=0)",0.0005145661811272957,0.9765674477517416,0.12151898734177215,0.027722762776594308,1583,24
"DecisionTreeClassifier(ccp_alpha=0.0005277601857715855, random_state=0)",0.0005277601857715855,0.9759341355288157,0.12151898734177215,0.02877828314813748,1579,24
