models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.99125,0.5,0.01139110889110889,813,39
"DecisionTreeClassifier(ccp_alpha=0.00011538461538461442, random_state=0)",0.00011538461538461442,0.99125,0.5,0.011506493506493505,811,39
"DecisionTreeClassifier(ccp_alpha=0.00012500000000000098, random_state=0)",0.00012500000000000098,0.99125,0.5,0.011631493506493507,809,39
"DecisionTreeClassifier(ccp_alpha=0.00013986013986013986, random_state=0)",0.00013986013986013986,0.99125,0.5,0.011911213786213785,805,39
"DecisionTreeClassifier(ccp_alpha=0.00023088023088023175, random_state=0)",0.00023088023088023175,0.990625,0.5,0.012142094017094016,803,39
"DecisionTreeClassifier(ccp_alpha=0.00023391812865497085, random_state=0)",0.00023391812865497085,0.990625,0.5,0.012376012145748988,801,39
"DecisionTreeClassifier(ccp_alpha=0.00036613272311212825, random_state=0)",0.00036613272311212825,0.990625,0.5,0.013108277591973245,797,39
"DecisionTreeClassifier(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.989375,0.5,0.014045777591973244,789,37
"DecisionTreeClassifier(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.989375,0.5,0.014983277591973244,789,37
"DecisionTreeClassifier(ccp_alpha=0.0004891304347826083, random_state=0)",0.0004891304347826083,0.988125,0.4975,0.01596153846153846,785,37
"DecisionTreeClassifier(ccp_alpha=0.0005113636363636364, random_state=0)",0.0005113636363636364,0.986875,0.5,0.018006993006993006,777,37
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.985625,0.5025,0.019048659673659672,769,37
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.985625,0.5025,0.02009032634032634,769,37
"DecisionTreeClassifier(ccp_alpha=0.0005357142857142858, random_state=0)",0.0005357142857142858,0.985,0.505,0.02116175491175491,765,37
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.983125,0.5125,0.02225550491175491,753,37
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.983125,0.5125,0.02334925491175491,753,37
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.983125,0.5125,0.024443004911754912,753,37
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9825,0.5125,0.025554116022866023,749,37
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000001, random_state=0)",0.0005625000000000001,0.981875,0.515,0.026116616022866024,747,36
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.979375,0.5175,0.027241616022866025,731,36
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.979375,0.5175,0.028366616022866026,731,36
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.979375,0.5175,0.029491616022866027,731,36
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.979375,0.5175,0.030616616022866028,731,36
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.978125,0.515,0.031752979659229665,723,36
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.978125,0.515,0.0328893432955933,723,36
"DecisionTreeClassifier(ccp_alpha=0.000580357142857143, random_state=0)",0.000580357142857143,0.97625,0.5175,0.03405005758130759,711,36
"DecisionTreeClassifier(ccp_alpha=0.000580357142857143, random_state=0)",0.000580357142857143,0.97625,0.5175,0.03521077186702187,711,36
"DecisionTreeClassifier(ccp_alpha=0.000580357142857143, random_state=0)",0.000580357142857143,0.97625,0.5175,0.03637148615273616,711,36
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.975625,0.5175,0.03753815281940283,707,36
"DecisionTreeClassifier(ccp_alpha=0.0005859375, random_state=0)",0.0005859375,0.974375,0.5175,0.03871002781940283,699,36
"DecisionTreeClassifier(ccp_alpha=0.0005859375, random_state=0)",0.0005859375,0.974375,0.5175,0.039881902819402834,699,36
"DecisionTreeClassifier(ccp_alpha=0.0005882352941176472, random_state=0)",0.0005882352941176472,0.97375,0.5175,0.04105837340763813,695,36
"DecisionTreeClassifier(ccp_alpha=0.0005902777777777779, random_state=0)",0.0005902777777777779,0.973125,0.5175,0.04223892896319368,691,36
"DecisionTreeClassifier(ccp_alpha=0.0005921052631578951, random_state=0)",0.0005921052631578951,0.9725,0.52,0.04342313948950947,687,36
"DecisionTreeClassifier(ccp_alpha=0.0005952380952380954, random_state=0)",0.0005952380952380954,0.971875,0.52,0.04461361567998566,683,36
"DecisionTreeClassifier(ccp_alpha=0.0005978260869565219, random_state=0)",0.0005978260869565219,0.97125,0.52,0.0458092678538987,679,36
"DecisionTreeClassifier(ccp_alpha=0.0006034482758620685, random_state=0)",0.0006034482758620685,0.970625,0.52,0.04701616440562284,675,36
"DecisionTreeClassifier(ccp_alpha=0.0006428571428571425, random_state=0)",0.0006428571428571425,0.970625,0.5175,0.04765902154847998,673,36
"DecisionTreeClassifier(ccp_alpha=0.0006465517241379315, random_state=0)",0.0006465517241379315,0.969375,0.5175,0.048952124996755844,669,36
"DecisionTreeClassifier(ccp_alpha=0.0006667564655172412, random_state=0)",0.0006667564655172412,0.966875,0.5175,0.05295266378985929,657,36
"DecisionTreeClassifier(ccp_alpha=0.0006934380032206115, random_state=0)",0.0006934380032206115,0.965625,0.515,0.05503297779952113,651,36
"DecisionTreeClassifier(ccp_alpha=0.0006944444444444445, random_state=0)",0.0006944444444444445,0.964375,0.515,0.05711631113285446,645,36
"DecisionTreeClassifier(ccp_alpha=0.0007456140350877192, random_state=0)",0.0007456140350877192,0.963125,0.5175,0.059353153238117615,639,36
"DecisionTreeClassifier(ccp_alpha=0.0007456896551724136, random_state=0)",0.0007456896551724136,0.961875,0.515,0.06159022220363486,633,36
