models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.99,0.495,0.011821428571428573,811,32
"DecisionTreeClassifier(ccp_alpha=8.333333333333283e-05, random_state=0)",8.333333333333283e-05,0.99,0.495,0.011904761904761906,809,32
"DecisionTreeClassifier(ccp_alpha=0.00012820512820512853, random_state=0)",0.00012820512820512853,0.99,0.495,0.012032967032967034,807,32
"DecisionTreeClassifier(ccp_alpha=0.000180995475113122, random_state=0)",0.000180995475113122,0.99,0.495,0.012394957983193278,803,32
"DecisionTreeClassifier(ccp_alpha=0.00022321428571428584, random_state=0)",0.00022321428571428584,0.99,0.495,0.01284138655462185,799,32
"DecisionTreeClassifier(ccp_alpha=0.0002840909090909092, random_state=0)",0.0002840909090909092,0.99,0.4925,0.01312547746371276,797,32
"DecisionTreeClassifier(ccp_alpha=0.0003482142857142856, random_state=0)",0.0003482142857142856,0.98875,0.4925,0.014866548892284188,787,28
"DecisionTreeClassifier(ccp_alpha=0.0004166666666666667, random_state=0)",0.0004166666666666667,0.988125,0.4925,0.01611654889228419,781,28
"DecisionTreeClassifier(ccp_alpha=0.00042842741935483894, random_state=0)",0.00042842741935483894,0.9875,0.4925,0.016973403730993868,777,28
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.98625,0.4925,0.018015070397660534,769,28
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.98625,0.4925,0.0190567370643272,769,28
"DecisionTreeClassifier(ccp_alpha=0.0005357142857142858, random_state=0)",0.0005357142857142858,0.985,0.495,0.02012816563575577,761,28
"DecisionTreeClassifier(ccp_alpha=0.0005357142857142858, random_state=0)",0.0005357142857142858,0.985,0.495,0.02119959420718434,761,28
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.98375,0.495,0.022293344207184342,753,28
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.98375,0.495,0.023387094207184343,753,28
"DecisionTreeClassifier(ccp_alpha=0.0005516862170087964, random_state=0)",0.0005516862170087964,0.983125,0.4975,0.024490466641201934,749,28
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.9825,0.495,0.025601577752313046,745,28
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.980625,0.495,0.026726577752313047,733,28
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.980625,0.495,0.027851577752313048,733,28
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.980625,0.495,0.02897657775231305,733,28
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.98,0.495,0.030112941388676685,729,28
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818201, random_state=0)",0.0005681818181818201,0.979375,0.4975,0.030681123206858507,727,28
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.9775,0.4975,0.03182695654019184,715,28
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.9775,0.4975,0.03297278987352517,715,28
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.9775,0.4975,0.0341186232068585,715,28
"DecisionTreeClassifier(ccp_alpha=0.0005787037037037037, random_state=0)",0.0005787037037037037,0.97625,0.4975,0.036433438021673314,707,28
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.975625,0.4975,0.037600104688339984,703,28
"DecisionTreeClassifier(ccp_alpha=0.0005859375, random_state=0)",0.0005859375,0.974375,0.5,0.03877197968833999,695,28
"DecisionTreeClassifier(ccp_alpha=0.0005859375, random_state=0)",0.0005859375,0.974375,0.5,0.03994385468833999,695,28
"DecisionTreeClassifier(ccp_alpha=0.0005882352941176472, random_state=0)",0.0005882352941176472,0.97375,0.5,0.04112032527657528,691,28
"DecisionTreeClassifier(ccp_alpha=0.0005902777777777779, random_state=0)",0.0005902777777777779,0.971875,0.5025,0.042300880832130835,679,28
"DecisionTreeClassifier(ccp_alpha=0.0005902777777777779, random_state=0)",0.0005902777777777779,0.971875,0.5025,0.04348143638768639,679,28
"DecisionTreeClassifier(ccp_alpha=0.0005902777777777779, random_state=0)",0.0005902777777777779,0.971875,0.5025,0.04466199194324194,679,28
"DecisionTreeClassifier(ccp_alpha=0.0005952380952380954, random_state=0)",0.0005952380952380954,0.970625,0.5,0.045852468133718134,671,28
"DecisionTreeClassifier(ccp_alpha=0.0005952380952380954, random_state=0)",0.0005952380952380954,0.970625,0.5,0.04704294432419433,671,28
"DecisionTreeClassifier(ccp_alpha=0.0005989583333333337, random_state=0)",0.0005989583333333337,0.97,0.5,0.048240860990860994,667,28
"DecisionTreeClassifier(ccp_alpha=0.0006808035714285718, random_state=0)",0.0006808035714285718,0.96875,0.5,0.05028327170514671,661,28
"DecisionTreeClassifier(ccp_alpha=0.0006903594771241837, random_state=0)",0.0006903594771241837,0.968125,0.5,0.05097363118227089,659,27
"DecisionTreeClassifier(ccp_alpha=0.0007142857142857142, random_state=0)",0.0007142857142857142,0.96625,0.5025,0.05311648832512803,653,27
"DecisionTreeClassifier(ccp_alpha=0.0007352941176470587, random_state=0)",0.0007352941176470587,0.965,0.5025,0.05532237067806921,647,27
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.96375,0.505,0.05682237067806921,643,27
"DecisionTreeClassifier(ccp_alpha=0.0007653061224489798, random_state=0)",0.0007653061224489798,0.960625,0.5075,0.06217951353521207,629,27
"DecisionTreeClassifier(ccp_alpha=0.0007812499999999999, random_state=0)",0.0007812499999999999,0.959375,0.51,0.06452326353521207,623,27
"DecisionTreeClassifier(ccp_alpha=0.0008035714285714282, random_state=0)",0.0008035714285714282,0.95875,0.51,0.0653268349637835,621,27
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95,0.5075,0.06616016829711684,593,27
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95,0.5075,0.06699350163045018,593,27
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95,0.5075,0.06782683496378351,593,27
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95,0.5075,0.06949350163045018,593,27
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95,0.5075,0.07032683496378352,593,27
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95,0.5075,0.07116016829711685,593,27
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95,0.5075,0.07282683496378352,593,27
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95,0.5075,0.07366016829711686,593,27
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95,0.5075,0.0744935016304502,593,27
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95,0.5075,0.07532683496378353,593,27
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95,0.5075,0.07616016829711687,593,27
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95,0.5075,0.07699350163045021,593,27
"DecisionTreeClassifier(ccp_alpha=0.0008410493827160489, random_state=0)",0.0008410493827160489,0.948125,0.5075,0.07951664977859836,587,26
"DecisionTreeClassifier(ccp_alpha=0.0008506944444444441, random_state=0)",0.0008506944444444441,0.9475,0.5075,0.0803673442230428,585,26
"DecisionTreeClassifier(ccp_alpha=0.0008928571428571423, random_state=0)",0.0008928571428571423,0.946875,0.51,0.08126020136589994,583,26
"DecisionTreeClassifier(ccp_alpha=0.0008932461873638357, random_state=0)",0.0008932461873638357,0.945625,0.51,0.0830466937406276,579,26
"DecisionTreeClassifier(ccp_alpha=0.000909090909090909, random_state=0)",0.000909090909090909,0.941875,0.5125,0.08577396646790034,567,24
"DecisionTreeClassifier(ccp_alpha=0.000909090909090909, random_state=0)",0.000909090909090909,0.941875,0.5125,0.08850123919517307,567,24
"DecisionTreeClassifier(ccp_alpha=0.0009191176470588242, random_state=0)",0.0009191176470588242,0.94125,0.5125,0.08942035684223189,565,24
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.9325,0.51,0.09035785684223188,541,24
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.9325,0.51,0.09129535684223188,541,24
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.9325,0.51,0.09223285684223187,541,24
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.9325,0.51,0.09410785684223187,541,24
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.9325,0.51,0.09504535684223187,541,24
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.9325,0.51,0.09598285684223186,541,24
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.9325,0.51,0.09785785684223186,541,24
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.9325,0.51,0.09973285684223186,541,24
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.9325,0.51,0.10067035684223186,541,24
"DecisionTreeClassifier(ccp_alpha=0.0009469696969696968, random_state=0)",0.0009469696969696968,0.931875,0.51,0.10161732653920155,539,24
"DecisionTreeClassifier(ccp_alpha=0.0009556878306878308, random_state=0)",0.0009556878306878308,0.93,0.51,0.10448439003126504,533,24
"DecisionTreeClassifier(ccp_alpha=0.0009615384615384615, random_state=0)",0.0009615384615384615,0.926875,0.51,0.10833054387741889,525,24
"DecisionTreeClassifier(ccp_alpha=0.0009669811320754725, random_state=0)",0.0009669811320754725,0.925,0.505,0.11026450614156984,521,23
"DecisionTreeClassifier(ccp_alpha=0.000969551282051282, random_state=0)",0.000969551282051282,0.924375,0.505,0.11123405742362112,519,23
"DecisionTreeClassifier(ccp_alpha=0.0009742063492063493, random_state=0)",0.0009742063492063493,0.9225,0.505,0.11415667647124017,513,23
"DecisionTreeClassifier(ccp_alpha=0.0009821428571428574, random_state=0)",0.0009821428571428574,0.920625,0.505,0.11710310504266874,507,23
"DecisionTreeClassifier(ccp_alpha=0.0009868421052631577, random_state=0)",0.0009868421052631577,0.920625,0.5025,0.1180899471479319,505,23
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.9175,0.5025,0.1190899471479319,495,23
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.9175,0.5025,0.1200899471479319,495,23
