models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.993125,0.525,0.007749999999999999,815,33
"DecisionTreeClassifier(ccp_alpha=2.2058823529411912e-05, random_state=0)",2.2058823529411912e-05,0.993125,0.525,0.007794117647058823,811,33
"DecisionTreeClassifier(ccp_alpha=6.944444444444424e-05, random_state=0)",6.944444444444424e-05,0.993125,0.525,0.007863562091503268,809,33
"DecisionTreeClassifier(ccp_alpha=0.0001654411764705887, random_state=0)",0.0001654411764705887,0.9925,0.525,0.008194444444444445,805,33
"DecisionTreeClassifier(ccp_alpha=0.00029761904761904743, random_state=0)",0.00029761904761904743,0.9925,0.525,0.008492063492063492,803,33
"DecisionTreeClassifier(ccp_alpha=0.0005175983436853, random_state=0)",0.0005175983436853,0.9925,0.525,0.009009661835748792,801,33
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.99,0.525,0.010051328502415458,785,33
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.99,0.525,0.011092995169082125,785,33
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.99,0.525,0.012134661835748791,785,33
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.99,0.525,0.013176328502415457,785,33
"DecisionTreeClassifier(ccp_alpha=0.0005357142857142858, random_state=0)",0.0005357142857142858,0.989375,0.525,0.01424775707384403,781,33
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.988125,0.5225,0.015358868184955141,773,33
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.988125,0.5225,0.01646997929606625,773,33
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.985625,0.5225,0.01759497929606625,757,33
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.985625,0.5225,0.018719979296066253,757,33
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.985625,0.5225,0.019844979296066254,757,33
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.985625,0.5225,0.020969979296066255,757,33
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.985,0.5225,0.02210634293242989,753,33
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.98375,0.5225,0.023252176265763223,745,33
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.98375,0.5225,0.024398009599096555,745,33
"DecisionTreeClassifier(ccp_alpha=0.0005769230769230767, random_state=0)",0.0005769230769230767,0.98125,0.52,0.02555185575294271,729,33
"DecisionTreeClassifier(ccp_alpha=0.0005769230769230767, random_state=0)",0.0005769230769230767,0.98125,0.52,0.026705701906788865,729,33
"DecisionTreeClassifier(ccp_alpha=0.0005769230769230767, random_state=0)",0.0005769230769230767,0.98125,0.52,0.02785954806063502,729,33
"DecisionTreeClassifier(ccp_alpha=0.0005769230769230767, random_state=0)",0.0005769230769230767,0.98125,0.52,0.029013394214481174,729,33
"DecisionTreeClassifier(ccp_alpha=0.0005787037037037037, random_state=0)",0.0005787037037037037,0.98,0.52,0.03132820902929599,721,33
"DecisionTreeClassifier(ccp_alpha=0.000580357142857143, random_state=0)",0.000580357142857143,0.978125,0.5225,0.03248892331501028,709,33
