models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9925,0.5225,0.008968750000000001,811,35
"DecisionTreeClassifier(ccp_alpha=0.00010227272727272689, random_state=0)",0.00010227272727272689,0.9925,0.5225,0.009071022727272728,809,35
"DecisionTreeClassifier(ccp_alpha=0.00014285714285714281, random_state=0)",0.00014285714285714281,0.9925,0.5225,0.009356737012987013,805,35
"DecisionTreeClassifier(ccp_alpha=0.00015624999999999998, random_state=0)",0.00015624999999999998,0.9925,0.52,0.009669237012987013,801,35
"DecisionTreeClassifier(ccp_alpha=0.0002239583333333334, random_state=0)",0.0002239583333333334,0.99125,0.5175,0.01011715367965368,797,33
"DecisionTreeClassifier(ccp_alpha=0.0003137254901960781, random_state=0)",0.0003137254901960781,0.990625,0.5175,0.010744604660045837,793,31
"DecisionTreeClassifier(ccp_alpha=0.00032682391138273356, random_state=0)",0.00032682391138273356,0.990625,0.5175,0.01107142857142857,791,31
"DecisionTreeClassifier(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.989375,0.515,0.01200892857142857,783,31
"DecisionTreeClassifier(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.989375,0.515,0.01294642857142857,783,31
"DecisionTreeClassifier(ccp_alpha=0.0004885912698412709, random_state=0)",0.0004885912698412709,0.9875,0.525,0.013923611111111112,779,29
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.986875,0.525,0.014965277777777779,775,29
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.985625,0.525,0.01605902777777778,767,29
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.985625,0.525,0.01715277777777778,767,29
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.984375,0.525,0.019375000000000003,759,29
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.9825,0.5275,0.020500000000000004,747,29
