models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.985,0.209,0.016372045454545455,3515,33
"DecisionTreeClassifier(ccp_alpha=7.894736842105213e-05, random_state=0)",7.894736842105213e-05,0.985,0.209,0.01645099282296651,3513,32
"DecisionTreeClassifier(ccp_alpha=8.333333333333332e-05, random_state=0)",8.333333333333332e-05,0.985,0.209,0.016534326156299843,3509,32
"DecisionTreeClassifier(ccp_alpha=8.333333333333332e-05, random_state=0)",8.333333333333332e-05,0.985,0.209,0.016617659489633178,3509,32
"DecisionTreeClassifier(ccp_alpha=0.00012343358395990002, random_state=0)",0.00012343358395990002,0.985,0.209,0.016741093073593078,3507,32
"DecisionTreeClassifier(ccp_alpha=0.00015734265734265707, random_state=0)",0.00015734265734265707,0.98475,0.208,0.017055778388278393,3503,32
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.98375,0.208,0.017389111721611727,3489,32
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.98375,0.208,0.017722445054945062,3489,32
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.98375,0.208,0.018222445054945063,3489,32
"DecisionTreeClassifier(ccp_alpha=0.0001666666666666667, random_state=0)",0.0001666666666666667,0.9835,0.208,0.01838911172161173,3487,32
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.982,0.207,0.01876411172161173,3455,32
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.982,0.207,0.01913911172161173,3455,32
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.982,0.207,0.01951411172161173,3455,32
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.982,0.207,0.01988911172161173,3455,32
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.982,0.207,0.02026411172161173,3455,32
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.982,0.207,0.02063911172161173,3455,32
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.982,0.207,0.02101411172161173,3455,32
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.982,0.207,0.02138911172161173,3455,32
"DecisionTreeClassifier(ccp_alpha=0.00019128787878787878, random_state=0)",0.00019128787878787878,0.98075,0.206,0.022919414751914762,3439,32
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.97975,0.206,0.023319414751914763,3423,32
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.97975,0.206,0.023719414751914764,3423,32
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.97975,0.206,0.024119414751914765,3423,32
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.97975,0.206,0.024519414751914766,3423,32
"DecisionTreeClassifier(ccp_alpha=0.00020169413919413916, random_state=0)",0.00020169413919413916,0.9795,0.205,0.024922803030303045,3419,32
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.97875,0.205,0.02533946969696971,3407,32
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.97875,0.205,0.025756136363636377,3407,32
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.97875,0.205,0.026172803030303043,3407,32
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.97675,0.206,0.02660137445887447,3375,32
