models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9784673844205193,0.14430379746835442,0.022419252691576953,1605,35
"DecisionTreeClassifier(ccp_alpha=0.00018999366687776943, random_state=0)",0.00018999366687776943,0.9784673844205193,0.1468354430379747,0.022609246358454724,1603,34
"DecisionTreeClassifier(ccp_alpha=0.00021110407430863405, random_state=0)",0.00021110407430863405,0.9784673844205193,0.1468354430379747,0.022820350432763356,1601,34
"DecisionTreeClassifier(ccp_alpha=0.00042220814861726827, random_state=0)",0.00042220814861726827,0.9778340721975934,0.1468354430379747,0.023664766729997892,1597,34
"DecisionTreeClassifier(ccp_alpha=0.00047498416719442683, random_state=0)",0.00047498416719442683,0.9765674477517416,0.1468354430379747,0.024614735064386745,1589,34
"DecisionTreeClassifier(ccp_alpha=0.00047498416719442683, random_state=0)",0.00047498416719442683,0.9765674477517416,0.1468354430379747,0.025564703398775597,1589,34
"DecisionTreeClassifier(ccp_alpha=0.00048553937090985963, random_state=0)",0.00048553937090985963,0.9746675110829639,0.1468354430379747,0.027021321511505176,1583,31
"DecisionTreeClassifier(ccp_alpha=0.000497602460870352, random_state=0)",0.000497602460870352,0.9734008866371121,0.1468354430379747,0.029011731354986584,1575,31
"DecisionTreeClassifier(ccp_alpha=0.0005066497783407218, random_state=0)",0.0005066497783407218,0.9696010132995567,0.1468354430379747,0.030025030911668027,1551,31
"DecisionTreeClassifier(ccp_alpha=0.0005066497783407218, random_state=0)",0.0005066497783407218,0.9696010132995567,0.1468354430379747,0.03103833046834947,1551,31
"DecisionTreeClassifier(ccp_alpha=0.0005066497783407218, random_state=0)",0.0005066497783407218,0.9696010132995567,0.1468354430379747,0.03205163002503091,1551,31
"DecisionTreeClassifier(ccp_alpha=0.0005066497783407218, random_state=0)",0.0005066497783407218,0.9696010132995567,0.1468354430379747,0.03306492958171236,1551,31
"DecisionTreeClassifier(ccp_alpha=0.0005066497783407218, random_state=0)",0.0005066497783407218,0.9696010132995567,0.1468354430379747,0.034078229138393805,1551,31
"DecisionTreeClassifier(ccp_alpha=0.0005066497783407218, random_state=0)",0.0005066497783407218,0.9696010132995567,0.1468354430379747,0.03509152869507525,1551,31
"DecisionTreeClassifier(ccp_alpha=0.000506649778340722, random_state=0)",0.000506649778340722,0.9689677010766308,0.1468354430379747,0.03711812780843814,1543,31
"DecisionTreeClassifier(ccp_alpha=0.0005277601857715855, random_state=0)",0.0005277601857715855,0.967701076630779,0.14430379746835442,0.038173648179981305,1535,31
"DecisionTreeClassifier(ccp_alpha=0.0005277601857715855, random_state=0)",0.0005277601857715855,0.967701076630779,0.14430379746835442,0.039229168551524474,1535,31
"DecisionTreeClassifier(ccp_alpha=0.0005368075032419553, random_state=0)",0.0005368075032419553,0.9658011399620012,0.14430379746835442,0.04083959106125034,1529,30
"DecisionTreeClassifier(ccp_alpha=0.0005428390482222022, random_state=0)",0.0005428390482222022,0.9639012032932236,0.14430379746835442,0.04192526915769475,1517,30
"DecisionTreeClassifier(ccp_alpha=0.0005428390482222022, random_state=0)",0.0005428390482222022,0.9639012032932236,0.14430379746835442,0.043010947254139155,1517,30
"DecisionTreeClassifier(ccp_alpha=0.0005428390482222022, random_state=0)",0.0005428390482222022,0.9639012032932236,0.14430379746835442,0.04409662535058356,1517,30
"DecisionTreeClassifier(ccp_alpha=0.0005541481950601647, random_state=0)",0.0005541481950601647,0.9613679544015199,0.14177215189873418,0.04520492174070389,1501,30
"DecisionTreeClassifier(ccp_alpha=0.0005541481950601647, random_state=0)",0.0005541481950601647,0.9613679544015199,0.14177215189873418,0.046313218130824216,1501,30
"DecisionTreeClassifier(ccp_alpha=0.0005541481950601647, random_state=0)",0.0005541481950601647,0.9613679544015199,0.14177215189873418,0.04742151452094454,1501,30
"DecisionTreeClassifier(ccp_alpha=0.0005541481950601647, random_state=0)",0.0005541481950601647,0.9613679544015199,0.14177215189873418,0.04852981091106487,1501,30
"DecisionTreeClassifier(ccp_alpha=0.0005699810006333124, random_state=0)",0.0005699810006333124,0.9607346421785941,0.14177215189873418,0.049669772912331496,1497,30
"DecisionTreeClassifier(ccp_alpha=0.0005709862581300199, random_state=0)",0.0005709862581300199,0.9601013299556681,0.14177215189873418,0.050240759170461516,1495,30
"DecisionTreeClassifier(ccp_alpha=0.0005910914080641755, random_state=0)",0.0005910914080641755,0.9588347055098163,0.14177215189873418,0.051422941986589865,1491,29
