models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.99125,0.5175,0.010950757575757575,765,41
"DecisionTreeClassifier(ccp_alpha=5.208333333333345e-05, random_state=0)",5.208333333333345e-05,0.99125,0.5175,0.011002840909090908,763,41
"DecisionTreeClassifier(ccp_alpha=0.0002994318181818185, random_state=0)",0.0002994318181818185,0.990625,0.5175,0.0125,753,41
"DecisionTreeClassifier(ccp_alpha=0.00036764705882352984, random_state=0)",0.00036764705882352984,0.990625,0.5175,0.01323529411764706,749,41
"DecisionTreeClassifier(ccp_alpha=0.0003977272727272729, random_state=0)",0.0003977272727272729,0.99,0.5175,0.01442847593582888,743,41
"DecisionTreeClassifier(ccp_alpha=0.00041666666666666664, random_state=0)",0.00041666666666666664,0.989375,0.515,0.015261809269162213,739,39
"DecisionTreeClassifier(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.98875,0.5125,0.016199309269162212,735,39
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.986875,0.515,0.01724097593582888,727,37
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.986875,0.515,0.018282642602495545,727,37
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.98625,0.5125,0.019376392602495546,723,37
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.985625,0.5125,0.020487503713606657,719,37
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.985,0.5125,0.021612503713606658,715,37
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.98375,0.515,0.022748867349970295,707,37
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.98375,0.515,0.02388523098633393,707,37
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.981875,0.515,0.02732273098633393,695,37
"DecisionTreeClassifier(ccp_alpha=0.0005769230769230767, random_state=0)",0.0005769230769230767,0.98125,0.5175,0.028476577140180086,691,37
"DecisionTreeClassifier(ccp_alpha=0.000580357142857143, random_state=0)",0.000580357142857143,0.98,0.5175,0.02963729142589437,683,37
"DecisionTreeClassifier(ccp_alpha=0.000580357142857143, random_state=0)",0.000580357142857143,0.98,0.5175,0.030798005711608657,683,37
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.979375,0.515,0.03196467237827533,679,37
"DecisionTreeClassifier(ccp_alpha=0.0005902777777777779, random_state=0)",0.0005902777777777779,0.97875,0.515,0.03314522793383088,675,37
"DecisionTreeClassifier(ccp_alpha=0.0005921052631578951, random_state=0)",0.0005921052631578951,0.976875,0.5125,0.03432943846014667,663,37
"DecisionTreeClassifier(ccp_alpha=0.0005921052631578951, random_state=0)",0.0005921052631578951,0.976875,0.5125,0.035513648986462455,663,37
"DecisionTreeClassifier(ccp_alpha=0.0005921052631578951, random_state=0)",0.0005921052631578951,0.976875,0.5125,0.03669785951277824,663,37
"DecisionTreeClassifier(ccp_alpha=0.0005937499999999999, random_state=0)",0.0005937499999999999,0.97625,0.5125,0.037885359512778244,659,37
"DecisionTreeClassifier(ccp_alpha=0.0005965909090909094, random_state=0)",0.0005965909090909094,0.975,0.5125,0.03907854133096006,651,37
"DecisionTreeClassifier(ccp_alpha=0.0005965909090909094, random_state=0)",0.0005965909090909094,0.975,0.5125,0.040271723149141875,651,37
"DecisionTreeClassifier(ccp_alpha=0.0005999999999999998, random_state=0)",0.0005999999999999998,0.974375,0.5125,0.041471723149141874,647,37
"DecisionTreeClassifier(ccp_alpha=0.0006026785714285714, random_state=0)",0.0006026785714285714,0.97375,0.5125,0.042677080291999014,643,37
"DecisionTreeClassifier(ccp_alpha=0.0006108597285067862, random_state=0)",0.0006108597285067862,0.973125,0.5125,0.0432879400205058,641,37
"DecisionTreeClassifier(ccp_alpha=0.0007133838383838381, random_state=0)",0.0007133838383838381,0.971875,0.5125,0.045428091535657314,635,37
