models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.98275,0.209,0.017779946524064175,3627,52
"DecisionTreeClassifier(ccp_alpha=3.517608517608541e-05, random_state=0)",3.517608517608541e-05,0.98275,0.209,0.01781512260924026,3625,52
"DecisionTreeClassifier(ccp_alpha=4.1666666666666686e-05, random_state=0)",4.1666666666666686e-05,0.98275,0.209,0.017856789275906927,3623,52
"DecisionTreeClassifier(ccp_alpha=5.000000000000002e-05, random_state=0)",5.000000000000002e-05,0.98275,0.209,0.01790678927590693,3621,52
"DecisionTreeClassifier(ccp_alpha=8.333333333333332e-05, random_state=0)",8.333333333333332e-05,0.98275,0.209,0.017990122609240263,3617,52
"DecisionTreeClassifier(ccp_alpha=8.333333333333332e-05, random_state=0)",8.333333333333332e-05,0.98275,0.209,0.018073455942573598,3617,52
"DecisionTreeClassifier(ccp_alpha=0.000125, random_state=0)",0.000125,0.98275,0.208,0.018198455942573598,3615,52
"DecisionTreeClassifier(ccp_alpha=0.00012770897832817306, random_state=0)",0.00012770897832817306,0.9825,0.209,0.01832616492090177,3613,52
"DecisionTreeClassifier(ccp_alpha=0.00014501039501039516, random_state=0)",0.00014501039501039516,0.98225,0.209,0.018471175315912164,3611,52
"DecisionTreeClassifier(ccp_alpha=0.00014583333333333337, random_state=0)",0.00014583333333333337,0.98225,0.21,0.01876284198257883,3607,52
"DecisionTreeClassifier(ccp_alpha=0.00015288220551378418, random_state=0)",0.00015288220551378418,0.982,0.21,0.0190686063936064,3603,52
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.9815,0.21,0.019401939726939734,3595,52
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.9815,0.21,0.01973527306027307,3595,52
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.97925,0.209,0.02011027306027307,3559,50
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.97925,0.209,0.02048527306027307,3559,50
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.97925,0.209,0.02086027306027307,3559,50
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.97925,0.209,0.02123527306027307,3559,50
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.97925,0.209,0.02161027306027307,3559,50
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.97925,0.209,0.02198527306027307,3559,50
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.97925,0.209,0.02236027306027307,3559,50
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.97925,0.209,0.02273527306027307,3559,50
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.97925,0.209,0.023110273060273072,3559,50
"DecisionTreeClassifier(ccp_alpha=0.0001895104895104898, random_state=0)",0.0001895104895104898,0.97925,0.209,0.023299783549783563,3557,50
"DecisionTreeClassifier(ccp_alpha=0.00019436906377204733, random_state=0)",0.00019436906377204733,0.9785,0.208,0.023688521677327656,3553,50
"DecisionTreeClassifier(ccp_alpha=0.00019444444444444435, random_state=0)",0.00019444444444444435,0.9785,0.208,0.0238829661217721,3551,50
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.977,0.208,0.024282966121772102,3527,50
