models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9941666666666666,0.325,0.004583333333333333,1701,36
"DecisionTreeClassifier(ccp_alpha=5.555555555555549e-05, random_state=0)",5.555555555555549e-05,0.9941666666666666,0.325,0.004694444444444445,1697,36
"DecisionTreeClassifier(ccp_alpha=6.944444444444446e-05, random_state=0)",6.944444444444446e-05,0.9941666666666666,0.325,0.004763888888888889,1695,36
"DecisionTreeClassifier(ccp_alpha=8.333333333333348e-05, random_state=0)",8.333333333333348e-05,0.9941666666666666,0.325,0.004847222222222222,1693,36
"DecisionTreeClassifier(ccp_alpha=8.928571428571438e-05, random_state=0)",8.928571428571438e-05,0.9941666666666666,0.325,0.004936507936507937,1691,36
"DecisionTreeClassifier(ccp_alpha=0.00013888888888888886, random_state=0)",0.00013888888888888886,0.9941666666666666,0.325,0.005075396825396826,1689,36
"DecisionTreeClassifier(ccp_alpha=0.00014898989898989913, random_state=0)",0.00014898989898989913,0.99375,0.325,0.005522366522366523,1683,36
"DecisionTreeClassifier(ccp_alpha=0.00025974025974025974, random_state=0)",0.00025974025974025974,0.9933333333333333,0.325,0.006301587301587303,1677,36
"DecisionTreeClassifier(ccp_alpha=0.0002777777777777778, random_state=0)",0.0002777777777777778,0.9933333333333333,0.325,0.0068571428571428585,1669,36
"DecisionTreeClassifier(ccp_alpha=0.0002777777777777778, random_state=0)",0.0002777777777777778,0.9933333333333333,0.325,0.007412698412698414,1669,36
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9920833333333333,0.32666666666666666,0.008037698412698415,1657,36
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9920833333333333,0.32666666666666666,0.008662698412698415,1657,36
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9920833333333333,0.32666666666666666,0.009287698412698416,1657,36
"DecisionTreeClassifier(ccp_alpha=0.00033333333333333327, random_state=0)",0.00033333333333333327,0.9916666666666667,0.32666666666666666,0.009954365079365082,1653,36
"DecisionTreeClassifier(ccp_alpha=0.0003431372549019608, random_state=0)",0.0003431372549019608,0.9904166666666666,0.32666666666666666,0.012013188608776846,1641,36
