models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9945833333333334,0.31,0.004027777777777778,1597,33
"DecisionTreeClassifier(ccp_alpha=8.680555555555557e-05, random_state=0)",8.680555555555557e-05,0.9945833333333334,0.31,0.004201388888888889,1593,33
"DecisionTreeClassifier(ccp_alpha=0.00013888888888888886, random_state=0)",0.00013888888888888886,0.9945833333333334,0.31,0.004340277777777778,1587,33
"DecisionTreeClassifier(ccp_alpha=0.00013888888888888886, random_state=0)",0.00013888888888888886,0.9945833333333334,0.31,0.004479166666666667,1587,33
"DecisionTreeClassifier(ccp_alpha=0.00013888888888888886, random_state=0)",0.00013888888888888886,0.9945833333333334,0.31,0.004618055555555556,1587,33
"DecisionTreeClassifier(ccp_alpha=0.00013888888888888892, random_state=0)",0.00013888888888888892,0.9945833333333334,0.31,0.004895833333333334,1583,32
"DecisionTreeClassifier(ccp_alpha=0.00015873015873015884, random_state=0)",0.00015873015873015884,0.9945833333333334,0.31,0.005054563492063492,1581,32
"DecisionTreeClassifier(ccp_alpha=0.00022222222222222223, random_state=0)",0.00022222222222222223,0.9941666666666666,0.31,0.0054990079365079365,1577,32
"DecisionTreeClassifier(ccp_alpha=0.0002256944444444445, random_state=0)",0.0002256944444444445,0.99375,0.31,0.005950396825396826,1573,32
"DecisionTreeClassifier(ccp_alpha=0.00024999999999999984, random_state=0)",0.00024999999999999984,0.99375,0.31,0.006200396825396826,1571,32
"DecisionTreeClassifier(ccp_alpha=0.00027777777777777783, random_state=0)",0.00027777777777777783,0.9929166666666667,0.31,0.006478174603174604,1567,32
"DecisionTreeClassifier(ccp_alpha=0.00027777777777777783, random_state=0)",0.00027777777777777783,0.9929166666666667,0.31,0.006755952380952382,1567,32
"DecisionTreeClassifier(ccp_alpha=0.00030555555555555555, random_state=0)",0.00030555555555555555,0.9920833333333333,0.30833333333333335,0.007978174603174603,1559,30
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9920833333333333,0.30833333333333335,0.008603174603174604,1551,30
"DecisionTreeClassifier(ccp_alpha=0.0003125, random_state=0)",0.0003125,0.9920833333333333,0.30833333333333335,0.009228174603174604,1551,30
