models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9930335655478151,0.13670886075949368,0.005383153894870171,1649,30
"DecisionTreeClassifier(ccp_alpha=0.00018999366687777057, random_state=0)",0.00018999366687777057,0.9930335655478151,0.13670886075949368,0.005763141228625712,1645,30
"DecisionTreeClassifier(ccp_alpha=0.00021110407430863405, random_state=0)",0.00021110407430863405,0.9930335655478151,0.13670886075949368,0.0059742453029343464,1641,30
"DecisionTreeClassifier(ccp_alpha=0.00021110407430863405, random_state=0)",0.00021110407430863405,0.9930335655478151,0.13670886075949368,0.0061853493772429805,1641,30
"DecisionTreeClassifier(ccp_alpha=0.0003166561114629512, random_state=0)",0.0003166561114629512,0.9930335655478151,0.13670886075949368,0.0065020054887059316,1639,30
"DecisionTreeClassifier(ccp_alpha=0.00042220814861726827, random_state=0)",0.00042220814861726827,0.9924002533248891,0.13670886075949368,0.007346421785940468,1635,30
"DecisionTreeClassifier(ccp_alpha=0.00042220814861726843, random_state=0)",0.00042220814861726843,0.9917669411019633,0.13670886075949368,0.007768629934557736,1633,30
"DecisionTreeClassifier(ccp_alpha=0.00046442896347899523, random_state=0)",0.00046442896347899523,0.9911336288790373,0.13670886075949368,0.008697487861515727,1629,30
"DecisionTreeClassifier(ccp_alpha=0.00047498416719442683, random_state=0)",0.00047498416719442683,0.9879670677644079,0.1341772151898734,0.009647456195904581,1609,30
"DecisionTreeClassifier(ccp_alpha=0.00047498416719442683, random_state=0)",0.00047498416719442683,0.9879670677644079,0.1341772151898734,0.010597424530293435,1609,30
"DecisionTreeClassifier(ccp_alpha=0.00047498416719442683, random_state=0)",0.00047498416719442683,0.9879670677644079,0.1341772151898734,0.01154739286468229,1609,30
"DecisionTreeClassifier(ccp_alpha=0.00047498416719442683, random_state=0)",0.00047498416719442683,0.9879670677644079,0.1341772151898734,0.012497361199071143,1609,30
"DecisionTreeClassifier(ccp_alpha=0.00047498416719442683, random_state=0)",0.00047498416719442683,0.9879670677644079,0.1341772151898734,0.013447329533459998,1609,30
"DecisionTreeClassifier(ccp_alpha=0.0004749841671944269, random_state=0)",0.0004749841671944269,0.987333755541482,0.1341772151898734,0.014397297867848852,1605,30
"DecisionTreeClassifier(ccp_alpha=0.0005066497783407218, random_state=0)",0.0005066497783407218,0.986700443318556,0.1341772151898734,0.015410597424530294,1601,30
"DecisionTreeClassifier(ccp_alpha=0.0005277601857715855, random_state=0)",0.0005277601857715855,0.9841671944268524,0.1341772151898734,0.016466117796073466,1585,30
"DecisionTreeClassifier(ccp_alpha=0.0005277601857715855, random_state=0)",0.0005277601857715855,0.9841671944268524,0.1341772151898734,0.01752163816761664,1585,30
"DecisionTreeClassifier(ccp_alpha=0.0005277601857715855, random_state=0)",0.0005277601857715855,0.9841671944268524,0.1341772151898734,0.01857715853915981,1585,30
"DecisionTreeClassifier(ccp_alpha=0.0005277601857715855, random_state=0)",0.0005277601857715855,0.9841671944268524,0.1341772151898734,0.019632678910702982,1585,30
"DecisionTreeClassifier(ccp_alpha=0.000538315389487017, random_state=0)",0.000538315389487017,0.9829005699810006,0.1341772151898734,0.021785940468651052,1577,30
"DecisionTreeClassifier(ccp_alpha=0.0005428390482222022, random_state=0)",0.0005428390482222022,0.981000633312223,0.1341772151898734,0.022871618565095456,1565,30
"DecisionTreeClassifier(ccp_alpha=0.0005428390482222022, random_state=0)",0.0005428390482222022,0.981000633312223,0.1341772151898734,0.02395729666153986,1565,30
"DecisionTreeClassifier(ccp_alpha=0.0005428390482222022, random_state=0)",0.0005428390482222022,0.981000633312223,0.1341772151898734,0.025042974757984265,1565,30
"DecisionTreeClassifier(ccp_alpha=0.0005488705932024488, random_state=0)",0.0005488705932024488,0.9784673844205193,0.13164556962025317,0.02778732772399651,1555,30
"DecisionTreeClassifier(ccp_alpha=0.0005512161940281003, random_state=0)",0.0005512161940281003,0.9772007599746675,0.1291139240506329,0.02944097630608081,1549,30
"DecisionTreeClassifier(ccp_alpha=0.0005541481950601647, random_state=0)",0.0005541481950601647,0.9759341355288157,0.1291139240506329,0.03054927269620114,1541,30
"DecisionTreeClassifier(ccp_alpha=0.0005541481950601647, random_state=0)",0.0005541481950601647,0.9759341355288157,0.1291139240506329,0.03165756908632147,1541,30
"DecisionTreeClassifier(ccp_alpha=0.0005699810006333122, random_state=0)",0.0005699810006333122,0.9753008233058899,0.1291139240506329,0.03222755008695478,1539,30
"DecisionTreeClassifier(ccp_alpha=0.0005699810006333124, random_state=0)",0.0005699810006333124,0.9734008866371121,0.1291139240506329,0.033367512088221404,1527,30
"DecisionTreeClassifier(ccp_alpha=0.0005699810006333124, random_state=0)",0.0005699810006333124,0.9734008866371121,0.1291139240506329,0.03450747408948803,1527,30
"DecisionTreeClassifier(ccp_alpha=0.0005699810006333124, random_state=0)",0.0005699810006333124,0.9734008866371121,0.1291139240506329,0.03564743609075466,1527,30
"DecisionTreeClassifier(ccp_alpha=0.0005757383844780933, random_state=0)",0.0005757383844780933,0.9727675744141862,0.1291139240506329,0.03679891285971085,1523,30
"DecisionTreeClassifier(ccp_alpha=0.000580536204348744, random_state=0)",0.000580536204348744,0.9721342621912603,0.1291139240506329,0.03795998526840833,1519,30
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.882837238758708,0.12658227848101267,0.038593297491334236,1235,28
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.882837238758708,0.12658227848101267,0.03922660971426014,1235,28
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.882837238758708,0.12658227848101267,0.04049323416011195,1235,28
"DecisionTreeClassifier(ccp_alpha=0.0006333122229259025, random_state=0)",0.0006333122229259025,0.882837238758708,0.12658227848101267,0.04112654638303785,1235,28
